,Type,Year built,Heating,Cooling,Parking,HOA,Price/sqft,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Lot,Half bathrooms
10,Single Family,1915,Gas,No Data,2 spaces,,$149,"$499,000","835 N Cuyler Ave, Oak Park, IL 60302","3,350", No, 4, 2, 1,"Home values in 60302 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60302 will fall 4.5% (↓) in the next year.This home is valued 17.4% higher (↑) than the median home in 60302.The median Zestimate® for this neighborhood is $425,027.",https://www.zillow.com/homedetails/835-N-Cuyler-Ave-Oak-Park-IL-60302/3799307_zpid/,"4,725 sqft", 1
11,Condo,1971,"Baseboard, Gas",Wall,2 spaces,$464/mo,,"$185,000","1025 Randolph St APT 105, Oak Park, IL 60302",, No, 2, 1, 1,"Home values in 60302 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60302 will fall 4.5% (↓) in the next year.This home is valued 56.5% lower (↓) than the median home in 60302.The median Zestimate® for this neighborhood is $425,027.",https://www.zillow.com/homedetails/1025-Randolph-St-APT-105-Oak-Park-IL-60302/3805233_zpid/,,
12,Single Family,1940,"Forced air, Gas",Central,2 spaces,,$287,"$799,900","948 Fair Oaks Ave, Oak Park, IL 60302","2,790", No, 4, 3, 2,"Home values in 60302 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60302 will fall 4.5% (↓) in the next year.This home is valued 88.2% higher (↑) than the median home in 60302.The median Zestimate® for this neighborhood is $425,027.",https://www.zillow.com/homedetails/948-Fair-Oaks-Ave-Oak-Park-IL-60302/3801745_zpid/,"10,715 sqft", 1
13,Single Family,1934,"Forced air, Gas",Central,2 spaces,,$193,"$599,000","1215 N East Ave, Oak Park, IL 60302","3,100", No, 5, 3, 3,"Home values in 60302 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60302 will decrease 4.5% (↓) in the next year.This home is valued 40.9% higher (↑) than the median home in 60302.The median Zestimate® for this neighborhood is $425,027.",https://www.zillow.com/homedetails/1215-N-East-Ave-Oak-Park-IL-60302/3801179_zpid/,"6,198 sqft",
14,Condo,1931,"Other, Radiant",Other,1 space,$574/month,$164,"$295,000","815 Washington Blvd APT B, Oak Park, IL 60302","1,800", No, 3, 1, 1,"Home values in 60302 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60302 will fall 4.5% (↓) in the next year.This home is valued 30.6% lower (↓) than the median home in 60302.The median Zestimate® for this neighborhood is $425,027.",https://www.zillow.com/homedetails/815-Washington-Blvd-APT-B-Oak-Park-IL-60302/3805834_zpid/,,
15,Single Family,1933,Forced air,Central,2 spaces,,$210,"$650,000","1215 N Grove Ave, Oak Park, IL 60302","3,097", No, 5, 4, 2,"Home values in 60302 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60302 will fall 4.5% (↓) in the next year.This home is valued 52.9% higher (↑) than the median home in 60302.The median Zestimate® for this neighborhood is $425,027.",https://www.zillow.com/homedetails/1215-N-Grove-Ave-Oak-Park-IL-60302/3800549_zpid/,"8,058 sqft", 2
16,Condo,1918,Forced air,Central,1 space,$334/month,$131,"$249,000","430 Wesley Ave #2S, Oak Park, IL 60302","1,900", No, 3, 2, 2,"Home values in 60302 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60302 will fall 4.5% (↓) in the next year.This home is valued 41.4% lower (↓) than the median home in 60302.The median Zestimate® for this neighborhood is $425,027.",https://www.zillow.com/homedetails/430-Wesley-Ave-2S-Oak-Park-IL-60302/70463330_zpid/,,
17,Single Family,1903,"Radiant, Gas",Central,6 spaces,,$172,"$598,000","319 S Maple Ave, Oak Park, IL 60302","3,481", No, 5, 4, 4,"Home values in 60302 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60302 will fall 4.5% (↓) in the next year.This home is valued 40.7% higher (↑) than the median home in 60302.The median Zestimate® for this neighborhood is $425,027.",https://www.zillow.com/homedetails/319-S-Maple-Ave-Oak-Park-IL-60302/3805107_zpid/,"4,530 sqft",
18,Single Family,1913,"Forced air, Gas",Central,6 spaces,,$248,"$1,550,000","605 Iowa St, Oak Park, IL 60302","6,243", No, 4, 6, 4,"Home values in 60302 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60302 will decrease 4.5% (↓) in the next year.This home is valued 264.7% higher (↑) than the median home in 60302.The median Zestimate® for this neighborhood is $425,027.",https://www.zillow.com/homedetails/605-Iowa-St-Oak-Park-IL-60302/3802962_zpid/,0.38 Acres, 2
19,Single Family,1908,Forced air,No Data,4 spaces,None,$274,"$485,900","624 S Grove Ave, Oak Park, IL 60304","1,776", No, 4, 3, 2,"Home values in 60304 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60304 will fall 4.3% (↓) in the next year.This home is valued 31.4% higher (↑) than the median home in 60304.The median Zestimate® for this neighborhood is $369,676.",https://www.zillow.com/homedetails/624-S-Grove-Ave-Oak-Park-IL-60304/3815328_zpid/,"6,229 sqft", 1
20,Single Family,1886,Radiant,Central,2 spaces,,$314,"$449,000","626 Woodbine Ave, Oak Park, IL 60302","1,430", No, 3, 2, 1,"Home values in 60302 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60302 will decrease 4.5% (↓) in the next year.This home is valued 5.6% higher (↑) than the median home in 60302.The median Zestimate® for this neighborhood is $425,027.",https://www.zillow.com/homedetails/626-Woodbine-Ave-Oak-Park-IL-60302/3802401_zpid/,"6,708 sqft", 1
21,Single Family,1916,"Forced air, Gas",Central,3 spaces,,$179,"$679,000","732 S Taylor Ave, Oak Park, IL 60304","3,800", No, 4, 4, 4,"Home values in 60304 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60304 will decrease 4.3% (↓) in the next year.This home is valued 83.7% higher (↑) than the median home in 60304.The median Zestimate® for this neighborhood is $369,676.",https://www.zillow.com/homedetails/732-S-Taylor-Ave-Oak-Park-IL-60304/3813827_zpid/,"4,726 sqft",
22,Condo,1924,No Data,No Data,1 space,$341/month,$152,"$129,000","232 N Oak Park Ave APT 1G, Oak Park, IL 60302",850, No, 1, 1, 1,"Home values in 60302 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60302 will fall 4.5% (↓) in the next year.This home is valued 69.6% lower (↓) than the median home in 60302.The median Zestimate® for this neighborhood is $425,027.",https://www.zillow.com/homedetails/232-N-Oak-Park-Ave-APT-1G-Oak-Park-IL-60302/3804312_zpid/,,
23,Condo,1971,"Forced air, Gas",Other,1 space,$311/mo,$115,"$115,000","828 N Austin Blvd #3SW, Oak Park, IL 60302","1,000", No, 2, 1, 1,"Home values in 60302 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60302 will fall 4.5% (↓) in the next year.This home is valued 72.9% lower (↓) than the median home in 60302.The median Zestimate® for this neighborhood is $425,027.",https://www.zillow.com/homedetails/828-N-Austin-Blvd-3SW-Oak-Park-IL-60302/3799999_zpid/,,
24,Single Family,1926,Forced air,Central,2 spaces,None,$169,"$319,900","208 Le Moyne Pkwy, Oak Park, IL 60302","1,897", No, 4, 2, 2,"Home values in 60302 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60302 will fall 4.5% (↓) in the next year.This home is valued 24.7% lower (↓) than the median home in 60302.The median Zestimate® for this neighborhood is $425,027.",https://www.zillow.com/homedetails/208-Le-Moyne-Pkwy-Oak-Park-IL-60302/3797820_zpid/,"4,373 sqft",
25,Multiple Occupancy,1909,"Forced air, Gas",Central,4 spaces,,$269,"$589,900","538 N Taylor Ave, Oak Park, IL 60302","2,190", No, 5, 3, 3,"Home values in 60302 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60302 will decrease 4.5% (↓) in the next year.This home is valued 38.8% higher (↑) than the median home in 60302.The median Zestimate® for this neighborhood is $425,027.",https://www.zillow.com/homedetails/538-N-Taylor-Ave-Oak-Park-IL-60302/2136875154_zpid/,,
26,Condo,1913,No Data,No Data,None,$280/month,No Data,"$106,500","512 Madison St APT 2N, Oak Park, IL 60302",, No, 1, 1, 1,"Home values in 60302 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60302 will fall 4.5% (↓) in the next year.This home is valued 74.9% lower (↓) than the median home in 60302.The median Zestimate® for this neighborhood is $425,027.",https://www.zillow.com/homedetails/512-Madison-St-APT-2N-Oak-Park-IL-60302/54535468_zpid/,,
27,Single Family,1907,Gas,Central,2 spaces,None,$301,"$419,000","520 S Scoville Ave, Oak Park, IL 60304","1,392", No, 4, 2, 1,"Home values in 60304 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60304 will decrease 4.3% (↓) in the next year.This home is valued 13.3% higher (↑) than the median home in 60304.The median Zestimate® for this neighborhood is $369,676.",https://www.zillow.com/homedetails/520-S-Scoville-Ave-Oak-Park-IL-60304/3815851_zpid/,"3,149 sqft", 1
28,Single Family,1894,"Forced air, Gas",Central,2 spaces,,$261,"$599,000","217 N Taylor Ave, Oak Park, IL 60302","2,294", No, 3, 2, 2,"Home values in 60302 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60302 will decrease 4.5% (↓) in the next year.This home is valued 40.9% higher (↑) than the median home in 60302.The median Zestimate® for this neighborhood is $425,027.",https://www.zillow.com/homedetails/217-N-Taylor-Ave-Oak-Park-IL-60302/3806972_zpid/,"8,550 sqft",
29,Single Family,1909,"Baseboard, Gas",Wall,3 spaces,,$211,"$429,500","539 S Humphrey Ave, Oak Park, IL 60304","2,035", No, 3, 2, 2,"Home values in 60304 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60304 will fall 4.3% (↓) in the next year.This home is valued 16.2% higher (↑) than the median home in 60304.The median Zestimate® for this neighborhood is $369,676.",https://www.zillow.com/homedetails/539-S-Humphrey-Ave-Oak-Park-IL-60304/3813453_zpid/,"7,030 sqft",
30,Condo,1968,"Forced air, Gas",Other,1 space,$283/mo,$143,"$143,000","401 S Grove Ave APT 2F, Oak Park, IL 60302","1,000", No, 1, 1, 1,"Home values in 60302 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60302 will fall 4.5% (↓) in the next year.This home is valued 66.4% lower (↓) than the median home in 60302.The median Zestimate® for this neighborhood is $425,027.",https://www.zillow.com/homedetails/401-S-Grove-Ave-APT-2F-Oak-Park-IL-60302/3805802_zpid/,,
31,Single Family,1924,Gas,Central,2 spaces,None,$237,"$529,000","800 Forest Ave, Oak Park, IL 60302","2,230", No, 3, 2, 1,"Home values in 60302 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60302 will fall 4.5% (↓) in the next year.This home is valued 24.5% higher (↑) than the median home in 60302.The median Zestimate® for this neighborhood is $425,027.",https://www.zillow.com/homedetails/800-Forest-Ave-Oak-Park-IL-60302/3801858_zpid/,"4,843 sqft", 1
32,Single Family,1913,Forced air,None,6 spaces,,$188,"$350,000","1017 S Oak Park Ave, Oak Park, IL 60304","1,859", No, 5, 3, 3,"Home values in 60304 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60304 will fall 4.3% (↓) in the next year.This home is valued 5.3% lower (↓) than the median home in 60304.The median Zestimate® for this neighborhood is $369,676.",https://www.zillow.com/homedetails/1017-S-Oak-Park-Ave-Oak-Park-IL-60304/3816902_zpid/,"5,183 sqft",
33,Multi Family,1910,Forced air,No Data,3 spaces,,$223,"$516,000","913 Wenonah Ave, Oak Park, IL 60304","2,316", No, 5, 2, 2,"Home values in 60304 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60304 will decrease 4.3% (↓) in the next year.This home is valued 39.6% higher (↑) than the median home in 60304.The median Zestimate® for this neighborhood is $369,676.",https://www.zillow.com/homedetails/913-Wenonah-Ave-Oak-Park-IL-60304/3816565_zpid/,,
34,Single Family,1923,Gas,No Data,3 spaces,None,$164,"$269,000","1043 N Humphrey Ave, Oak Park, IL 60302","1,642", No, 3, 2, 1,"Home values in 60302 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60302 will decrease 4.5% (↓) in the next year.This home is valued 36.7% lower (↓) than the median home in 60302.The median Zestimate® for this neighborhood is $425,027.",https://www.zillow.com/homedetails/1043-N-Humphrey-Ave-Oak-Park-IL-60302/3798258_zpid/,"5,750 sqft", 1
35,Single Family,1909,Gas,Central,3 spaces,,$278,"$1,395,000","547 Linden Ave, Oak Park, IL 60302","5,013", No, 6, 5, 3,"Home values in 60302 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60302 will fall 4.5% (↓) in the next year.This home is valued 228.2% higher (↑) than the median home in 60302.The median Zestimate® for this neighborhood is $425,027.",https://www.zillow.com/homedetails/547-Linden-Ave-Oak-Park-IL-60302/3802948_zpid/,0.38 acres, 2
36,Condo,1923,Radiant,No Data,1 space,$387/month,$175,"$175,000","847 S Humphrey Ave APT 1, Oak Park, IL 60304","1,000", No, 2, 1, 1,"Home values in 60304 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60304 will fall 4.3% (↓) in the next year.This home is valued 52.7% lower (↓) than the median home in 60304.The median Zestimate® for this neighborhood is $369,676.",https://www.zillow.com/homedetails/847-S-Humphrey-Ave-APT-1-Oak-Park-IL-60304/70463637_zpid/,,
37,Condo,2005,No Data,Central,2 spaces,$250/mo,,"$425,000","1124 Lake St UNIT 507, Oak Park, IL 60301",, No, 2, 3, 2,"Home values in Oak Park have risen 1.1 % (↑) over the past 12 months.Zillow predicts the home values in 60301 will decrease 4.6% (↓) in the next year.This home is valued 8.6% higher (↑) than the median home in 60301.The median Zestimate® for this neighborhood is $391,197.",https://www.zillow.com/homedetails/1124-Lake-St-UNIT-507-Oak-Park-IL-60301/89919223_zpid/,, 1
38,Condo,2005,Forced air,Central,None,$332/month,$246,"$199,900","125 N Euclid Ave APT 404, Oak Park, IL 60301",813, No, 1, 1, 1,"Home values in Oak Park have risen 1.1 % (↑) over the past 12 months.Zillow predicts the home values in 60301 will decrease 4.6% (↓) in the next year.This home is valued 48.9% lower (↓) than the median home in 60301.The median Zestimate® for this neighborhood is $391,197.",https://www.zillow.com/homedetails/125-N-Euclid-Ave-APT-404-Oak-Park-IL-60301/87709772_zpid/,,
39,Single Family,1917,Baseboard,No Data,5 spaces,,$268,"$424,900","1132 S East Ave, Oak Park, IL 60304","1,587", No, 4, 2, 2,"Home values in 60304 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60304 will decrease 4.3% (↓) in the next year.This home is valued 14.9% higher (↑) than the median home in 60304.The median Zestimate® for this neighborhood is $369,676.",https://www.zillow.com/homedetails/1132-S-East-Ave-Oak-Park-IL-60304/3817662_zpid/,"4,726 sqft",
40,Single Family,1923,Forced air,No Data,2 spaces,,$250,"$299,900","1116 S Taylor Ave, Oak Park, IL 60304","1,200", No, 3, 2, 2,"Home values in 60304 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60304 will fall 4.3% (↓) in the next year.This home is valued 18.9% lower (↓) than the median home in 60304.The median Zestimate® for this neighborhood is $369,676.",https://www.zillow.com/homedetails/1116-S-Taylor-Ave-Oak-Park-IL-60304/3814604_zpid/,"4,399 sqft",
41,Condo,1913,No Data,No Data,No Data,$549/mo,,"$199,000","304 N Oak Park Ave APT 2, Oak Park, IL 60302",, No, 2, 2, 2,"Home values in 60302 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60302 will fall 4.5% (↓) in the next year.This home is valued 53.2% lower (↓) than the median home in 60302.The median Zestimate® for this neighborhood is $425,027.",https://www.zillow.com/homedetails/304-N-Oak-Park-Ave-APT-2-Oak-Park-IL-60302/58363243_zpid/,,
42,Single Family,1899,"Forced air, Gas",Central,3 spaces,,$215,"$474,900","637 S Taylor Ave, Oak Park, IL 60304","2,213", No, 4, 3, 2,"Home values in 60304 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60304 will fall 4.3% (↓) in the next year.This home is valued 28.5% higher (↑) than the median home in 60304.The median Zestimate® for this neighborhood is $369,676.",https://www.zillow.com/homedetails/637-S-Taylor-Ave-Oak-Park-IL-60304/3813602_zpid/,"3,101 sqft", 1
43,Single Family,1924,Gas,Central,2 spaces,,$274,"$339,000","1184 S Scoville Ave, Oak Park, IL 60304","1,236", No, 4, 2, 2,"Home values in 60304 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60304 will decrease 4.3% (↓) in the next year.This home is valued 8.3% lower (↓) than the median home in 60304.The median Zestimate® for this neighborhood is $369,676.",https://www.zillow.com/homedetails/1184-S-Scoville-Ave-Oak-Park-IL-60304/3817917_zpid/,"3,136 sqft",
44,Condo,1970,Baseboard,Refrigeration,1 space,$218/month,No Data,"$129,000","201 S Maple Ave APT 207, Oak Park, IL 60302",, No, 1, 1, 1,"Home values in 60302 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60302 will decrease 4.5% (↓) in the next year.This home is valued 69.6% lower (↓) than the median home in 60302.The median Zestimate® for this neighborhood is $425,027.",https://www.zillow.com/homedetails/201-S-Maple-Ave-APT-207-Oak-Park-IL-60302/3804863_zpid/,,
45,Condo,1963,Other,Other,1 space,$305/mo,,"$111,500","425 Home Ave APT 3G, Oak Park, IL 60302",, No, 1, 1, 1,"Home values in 60302 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60302 will fall 4.5% (↓) in the next year.This home is valued 73.8% lower (↓) than the median home in 60302.The median Zestimate® for this neighborhood is $425,027.",https://www.zillow.com/homedetails/425-Home-Ave-APT-3G-Oak-Park-IL-60302/3805569_zpid/,,
46,Single Family,1921,Forced air,Central,2 spaces,,$293,"$425,000","636 S Harvey Ave, Oak Park, IL 60304","1,452", No, 3, 2, 1,"Home values in 60304 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60304 will fall 4.3% (↓) in the next year.This home is valued 15% higher (↑) than the median home in 60304.The median Zestimate® for this neighborhood is $369,676.",https://www.zillow.com/homedetails/636-S-Harvey-Ave-Oak-Park-IL-60304/3813558_zpid/,"3,125 sqft", 1
47,Single Family,1913,Forced air,Central,2 spaces,None,$340,"$449,000","407 N Taylor Ave, Oak Park, IL 60302","1,320", No, 3, 2, 1,"Home values in 60302 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60302 will fall 4.5% (↓) in the next year.This home is valued 5.6% higher (↑) than the median home in 60302.The median Zestimate® for this neighborhood is $425,027.",https://www.zillow.com/homedetails/407-N-Taylor-Ave-Oak-Park-IL-60302/3806802_zpid/,"5,558 sqft", 1
48,Condo,1909,Forced air,Central,1 space,$361/month,$230,"$229,900","210 S Lombard Ave #B, Oak Park, IL 60302","1,000", No, 2, 1, 1,"Home values in 60302 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60302 will decrease 4.5% (↓) in the next year.This home is valued 45.9% lower (↓) than the median home in 60302.The median Zestimate® for this neighborhood is $425,027.",https://www.zillow.com/homedetails/210-S-Lombard-Ave-B-Oak-Park-IL-60302/2077905661_zpid/,,
49,Condo,1963,Gas,Wall,1 space,$330/mo,$174,"$209,000","222 N Grove Ave APT 1C, Oak Park, IL 60302","1,200", No, 2, 2, 2,"Home values in 60302 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60302 will fall 4.5% (↓) in the next year.This home is valued 50.8% lower (↓) than the median home in 60302.The median Zestimate® for this neighborhood is $425,027.",https://www.zillow.com/homedetails/222-N-Grove-Ave-APT-1C-Oak-Park-IL-60302/3803668_zpid/,,
50,Single Family,1908,Forced air,Central,2 spaces,,$196,"$449,900","729 S Ridgeland Ave, Oak Park, IL 60304","2,300", No, 4, 2, 1,"Home values in 60304 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60304 will fall 4.3% (↓) in the next year.This home is valued 21.7% higher (↑) than the median home in 60304.The median Zestimate® for this neighborhood is $369,676.",https://www.zillow.com/homedetails/729-S-Ridgeland-Ave-Oak-Park-IL-60304/3816344_zpid/,"6,316 sqft", 1
51,Condo,1925,Forced air,Central,1 space,$360/month,$187,"$299,000","314 Wisconsin Ave APT 3S, Oak Park, IL 60302","1,600", No, 2, 1, 1,"Home values in 60302 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60302 will fall 4.5% (↓) in the next year.This home is valued 29.7% lower (↓) than the median home in 60302.The median Zestimate® for this neighborhood is $425,027.",https://www.zillow.com/homedetails/314-Wisconsin-Ave-APT-3S-Oak-Park-IL-60302/2090896984_zpid/,,
52,Condo,1915,No Data,No Data,1 space,$356/mo,$184,"$221,000","409 Washington Blvd APT 2, Oak Park, IL 60302","1,200", No, 3, 1, 1,"Home values in 60302 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60302 will fall 4.5% (↓) in the next year.This home is valued 48% lower (↓) than the median home in 60302.The median Zestimate® for this neighborhood is $425,027.",https://www.zillow.com/homedetails/409-Washington-Blvd-APT-2-Oak-Park-IL-60302/2077912959_zpid/,,
53,Multi Family,1904,Gas,No Data,2 spaces,,No Data,"$550,000","933 Ontario St, Oak Park, IL 60302",, No, 4, 2, 2,"Home values in 60302 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60302 will decrease 4.5% (↓) in the next year.This home is valued 29.4% higher (↑) than the median home in 60302.The median Zestimate® for this neighborhood is $425,027.",https://www.zillow.com/homedetails/933-Ontario-St-Oak-Park-IL-60302/2094747900_zpid/,,
54,Townhouse,2008,"Forced air, Gas",Central,2 spaces,,$193,"$489,000","320 S Maple Ave APT D, Oak Park, IL 60302","2,531", No, 3, 4, 3,"Home values in 60302 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60302 will decrease 4.5% (↓) in the next year.This home is valued 15.1% higher (↑) than the median home in 60302.The median Zestimate® for this neighborhood is $425,027.",https://www.zillow.com/homedetails/320-S-Maple-Ave-APT-D-Oak-Park-IL-60302/119097118_zpid/,0.25 Acres, 1
55,Single Family,1912,"Forced air, Gas",Central,2 spaces,,$268,"$369,900","1006 Home Ave, Oak Park, IL 60304","1,380", No, 4, 1, 1,"Home values in 60304 have fallen 4.6 % (↓) over the past 12 months.Zillow predicts the home values in 60304 will fall 4.3% (↓) in the next year.This home is valued 0.1% higher (↑) than the median home in 60304.The median Zestimate® for this neighborhood is $369,676.",https://www.zillow.com/homedetails/1006-Home-Ave-Oak-Park-IL-60304/3816797_zpid/,"4,573 sqft",
