,Type,Year built,Heating,Cooling,Parking,HOA,Lot,Price/sqft,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Half bathrooms
18,Townhouse,1983,Gas,Central,2 spaces,$150/month,"1,325 sqft",$154,"$330,000","9632 Laramie Ave, Skokie, IL 60077","2,138", No, 3, 3, 2,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Old Orchard will fall 2.1% (↓) in the next year.This home is valued 12% higher (↑) than the median home in Old Orchard.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/9632-Laramie-Ave-Skokie-IL-60077/3514092_zpid/, 1
19,Multiple Occupancy,1962,"Forced air, Gas",Central,2 spaces,,,,"$664,700","8224 Knox Ave, Skokie, IL 60076",, No, 7, 5, 5,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will decrease 2.1% (↓) in the next year.This home is valued 112.8% higher (↑) than the median home in Downtown.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/8224-Knox-Ave-Skokie-IL-60076/2077905874_zpid/,
20,Single Family,1952,Forced air,Central,1 space,None,"4,477 sqft",$318,"$350,000","8016 Lockwood Ave, Skokie, IL 60077","1,100", No, 3, 2, 2,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will fall 2.1% (↓) in the next year.This home is valued 18.8% higher (↑) than the median home in Downtown.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/8016-Lockwood-Ave-Skokie-IL-60077/3535486_zpid/,
21,Condo,1972,"Forced air, Electric",Central,1 space,$485/mo,,$125,"$199,000","8225 Niles Center Rd APT 102, Skokie, IL 60077","1,586", No, 3, 2, 2,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will fall 2.1% (↓) in the next year.This home is valued 32.5% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/8225-Niles-Center-Rd-APT-102-Skokie-IL-60077/3535769_zpid/,
22,Single Family,1957,"Forced air, Gas",Central,2 spaces,,"5,623 sqft",$179,"$445,000","3807 Keeney St, Skokie, IL 60076","2,492", No, 4, 3, 2,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Skokie will fall 2.1% (↓) in the next year.This home is valued 42.5% higher (↑) than the median home in Central Skokie.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/3807-Keeney-St-Skokie-IL-60076/3539987_zpid/, 1
23,Condo,1978,Forced air,Central,12 spaces,$380/month,,$158,"$189,900","5200 Oakton St APT 109, Skokie, IL 60077","1,200", No, 2, 2, 2,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will decrease 2.1% (↓) in the next year.This home is valued 35.6% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/5200-Oakton-St-APT-109-Skokie-IL-60077/3535585_zpid/,
24,Single Family,1948,"Forced air, Gas",Central,2 spaces,,"3,920 sqft",$234,"$375,000","4501 Birchwood Ave, Skokie, IL 60076","1,600", No, 3, 2, 1,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Skokie will fall 2.1% (↓) in the next year.This home is valued 20.1% higher (↑) than the median home in Central Skokie.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/4501-Birchwood-Ave-Skokie-IL-60076/3546893_zpid/, 1
25,Condo,1965,Forced air,Central,2 spaces,$200/month,,$236,"$224,000","4850 Elm St APT 1, Skokie, IL 60077",950, No, 2, 1, 1,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Dempster West will decrease 2.1% (↓) in the next year.This home is valued 24% lower (↓) than the median home in Dempster West.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/4850-Elm-St-APT-1-Skokie-IL-60077/87717191_zpid/,
26,Condo,1951,Gas,Central,1 space,$125/month,,No Data,"$149,000","9145 La Crosse Ave APT 1S, Skokie, IL 60077",, No, 2, 1, 1,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Dempster West will decrease 2.1% (↓) in the next year.This home is valued 49.4% lower (↓) than the median home in Dempster West.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/9145-La-Crosse-Ave-APT-1S-Skokie-IL-60077/3526418_zpid/,
27,Multi Family,1928,Gas,No Data,2 spaces,,,No Data,"$712,000","9114 Lacrosse Ave, Skokie, IL 60077",, No, 7, 4, 4,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Dempster West will fall 2.1% (↓) in the next year.This home is valued 141.6% higher (↑) than the median home in Dempster West.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/9114-Lacrosse-Ave-Skokie-IL-60077/2077981604_zpid/,
28,Condo,1963,"Forced air, Electric",Central,1 space,$264/mo,,,"$135,000","4726 Russett Ln APT 207, Skokie, IL 60076",, No, 1, 1, 1,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Old Orchard will fall 2.1% (↓) in the next year.This home is valued 56.8% lower (↓) than the median home in Old Orchard.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/4726-Russett-Ln-APT-207-Skokie-IL-60076/2077983596_zpid/,
29,Multiple Occupancy,1930,"Forced air, Gas",Central,2 spaces,,,,"$549,000","7904 Karlov Ave, Skokie, IL 60076",, No, 4, 4, 4,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Skokie will decrease 2.1% (↓) in the next year.This home is valued 75.8% higher (↑) than the median home in Central Skokie.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/7904-Karlov-Ave-Skokie-IL-60076/2077991025_zpid/,
30,Single Family,1953,"Forced air, Electric, Gas",Central,3 spaces,,"7,840 sqft",$180,"$359,900","3700 Greenleaf St, Skokie, IL 60076","1,998", No, 3, 2, 2,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60076 will fall 2.1% (↓) in the next year.This home is valued 15.2% higher (↑) than the median home in 60076.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/3700-Greenleaf-St-Skokie-IL-60076/113950868_zpid/,
31,Townhouse,2019,Gas,Central,10 spaces,$150/month,No Data,$192,"$575,000","8122 Lincoln Ave, Skokie, IL 60077","3,000", Yes, 3, 4, 2,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will fall 2.1% (↓) in the next year.This home is valued 95.1% higher (↑) than the median home in Downtown.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/8122-Lincoln-Ave-Skokie-IL-60077/2078002628_zpid/, 2
32,Condo,1972,"Baseboard, Gas",Other,2 spaces,$271/mo,,,"$125,000","8232 Niles Center Rd APT 305, Skokie, IL 60077",, No, 1, 1, 1,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will decrease 2.1% (↓) in the next year.This home is valued 57.6% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/8232-Niles-Center-Rd-APT-305-Skokie-IL-60077/70455046_zpid/,
33,Townhouse,1957,Forced air,Central,2 spaces,None,"2,374 sqft",$209,"$220,999","5020 Suffield Ct APT D, Skokie, IL 60077","1,056", No, 2, 2, 1,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Dempster West will fall 2.1% (↓) in the next year.This home is valued 25% lower (↓) than the median home in Dempster West.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/5020-Suffield-Ct-APT-D-Skokie-IL-60077/3526570_zpid/, 1
34,Condo,1976,Electric,Central,1 space,$426/month,,$176,"$225,000","9529 Bronx Ave APT 112, Skokie, IL 60077","1,275", No, 2, 2, 2,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Old Orchard will fall 2.1% (↓) in the next year.This home is valued 23.6% lower (↓) than the median home in Old Orchard.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/9529-Bronx-Ave-APT-112-Skokie-IL-60077/3524980_zpid/,
35,Condo,2006,Forced air,Central,1 space,$613/mo,,$215,"$319,900","9655 Woods Dr UNIT 802, Skokie, IL 60077","1,488", No, 2, 2, 2,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Old Orchard will fall 2.1% (↓) in the next year.This home is valued 8.6% higher (↑) than the median home in Old Orchard.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/9655-Woods-Dr-UNIT-802-Skokie-IL-60077/89972972_zpid/,
36,Condo,2007,Electric,Central,1 space,$809/mo,,$194,"$369,000","9655 Woods Dr UNIT 1403, Skokie, IL 60077","1,900", No, 3, 2, 2,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Old Orchard will fall 2.1% (↓) in the next year.This home is valued 25.2% higher (↑) than the median home in Old Orchard.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/9655-Woods-Dr-UNIT-1403-Skokie-IL-60077/89902560_zpid/,
37,Condo,1953,"Forced air, Gas",Central,1 space,$130/mo,,$220,"$164,900","8835 Lavergne Ave #1S, Skokie, IL 60077",750, No, 2, 1, 1,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Dempster West will fall 2.1% (↓) in the next year.This home is valued 44% lower (↓) than the median home in Dempster West.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/8835-Lavergne-Ave-1S-Skokie-IL-60077/87697126_zpid/,
38,Condo,2005,Forced air,Central,1 space,$250/month,,$196,"$249,000","8000 Kilpatrick Ave UNIT 4F, Skokie, IL 60076","1,270", No, 2, 2, 2,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will fall 2.1% (↓) in the next year.This home is valued 20.3% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/8000-Kilpatrick-Ave-UNIT-4F-Skokie-IL-60076/80856160_zpid/,
39,Condo,1979,Forced air,Central,4 spaces,$395/month,,$143,"$229,900","9560 Gross Point Rd APT 305B, Skokie, IL 60076","1,610", No, 2, 2, 2,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Old Orchard will fall 2.1% (↓) in the next year.This home is valued 26.4% lower (↓) than the median home in Old Orchard.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/9560-Gross-Point-Rd-APT-305B-Skokie-IL-60076/2082368649_zpid/,
40,Single Family,1944,Gas,Central,2 spaces,,"3,593 sqft",$200,"$289,990","7839 E Prairie Rd, Skokie, IL 60076","1,450", No, 2, 2, 1,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Skokie will decrease 2.1% (↓) in the next year.This home is valued 7.1% lower (↓) than the median home in Central Skokie.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/7839-E-Prairie-Rd-Skokie-IL-60076/3544758_zpid/, 1
41,Single Family,2002,Forced air,Central,4 spaces,None,"8,276 sqft",$191,"$839,000","8119 Laramie Ave, Skokie, IL 60077","4,400", No, 5, 5, 4,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will fall 2.1% (↓) in the next year.This home is valued 184.7% higher (↑) than the median home in Downtown.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/8119-Laramie-Ave-Skokie-IL-60077/3535874_zpid/, 1
42,Single Family,1957,Forced air,Central,4 spaces,,"4,521 sqft",$226,"$360,000","7821 Crawford Ave, Skokie, IL 60076","1,596", No, 4, 2, 2,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Skokie will fall 2.1% (↓) in the next year.This home is valued 15.3% higher (↑) than the median home in Central Skokie.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/7821-Crawford-Ave-Skokie-IL-60076/3544771_zpid/,
43,Single Family,1958,Gas,Central,2 spaces,,"6,477 sqft",$233,"$335,000","7935 E Prairie Rd, Skokie, IL 60076","1,435", No, 3, 2, 1,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Skokie will fall 2.1% (↓) in the next year.This home is valued 7.3% higher (↑) than the median home in Central Skokie.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/7935-E-Prairie-Rd-Skokie-IL-60076/3544637_zpid/, 1
44,Single Family,1952,"Forced air, Gas",Central,1 space,,"5,704 sqft",$262,"$250,000","9309 Long Ave, Skokie, IL 60077",956, No, 3, 1, 1,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Old Orchard will decrease 2.1% (↓) in the next year.This home is valued 15.2% lower (↓) than the median home in Old Orchard.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/9309-Long-Ave-Skokie-IL-60077/3524598_zpid/,
45,Multi Family,1959,Forced air,Central,4 spaces,,,$343,"$479,900","4845 Kirk St, Skokie, IL 60077","1,400", No, 6, 4, 2,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will fall 2.1% (↓) in the next year.This home is valued 62.9% higher (↑) than the median home in Downtown.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/4845-Kirk-St-Skokie-IL-60077/2123238299_zpid/, 2
46,Single Family,1952,"Forced air, Gas",Central,1 space,,"4,059 sqft",$258,"$309,000","8053 Karlov Ave, Skokie, IL 60076","1,200", No, 2, 2, 1,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Skokie will fall 2.1% (↓) in the next year.This home is valued 1.1% lower (↓) than the median home in Central Skokie.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/8053-Karlov-Ave-Skokie-IL-60076/3537911_zpid/, 1
47,Condo,2006,Forced air,Central,1 space,$518/month,,$182,"$309,777","4953 Oakton St UNIT 609, Skokie, IL 60077","1,703", No, 2, 2, 2,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will decrease 2.1% (↓) in the next year.This home is valued 5.1% higher (↑) than the median home in Downtown.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/4953-Oakton-St-UNIT-609-Skokie-IL-60077/87704540_zpid/,
48,Townhouse,1956,Gas,Central,1 space,None,"1,203 sqft",$206,"$220,000","4912 Crain St #B, Skokie, IL 60077","1,070", No, 2, 2, 1,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Dempster West will decrease 2.1% (↓) in the next year.This home is valued 25.3% lower (↓) than the median home in Dempster West.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/4912-Crain-St-B-Skokie-IL-60077/3534298_zpid/, 1
49,Condo,1979,"Forced air, Electric",Central,1 space,$309/mo,,$140,"$139,900","4949 Golf Rd APT 204, Skokie, IL 60077","1,000", No, 1, 1, 1,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Old Orchard will fall 2.1% (↓) in the next year.This home is valued 52.5% lower (↓) than the median home in Old Orchard.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/4949-Golf-Rd-APT-204-Skokie-IL-60077/3524942_zpid/,
50,Single Family,1953,Gas,Central,2 spaces,,"7,840 sqft",$187,"$374,900","8242 Kostner Ave, Skokie, IL 60076","2,000", No, 5, 2, 2,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Skokie will fall 2.1% (↓) in the next year.This home is valued 20% higher (↑) than the median home in Central Skokie.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/8242-Kostner-Ave-Skokie-IL-60076/3536888_zpid/,
51,Single Family,1955,Gas,Central,2 spaces,,"4,922 sqft",$263,"$405,000","7424 Kilbourn Ave, Skokie, IL 60076","1,542", No, 3, 2, 1,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Skokie will decrease 2.1% (↓) in the next year.This home is valued 29.7% higher (↑) than the median home in Central Skokie.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/7424-Kilbourn-Ave-Skokie-IL-60076/3546903_zpid/, 1
52,Multi Family,1928,Gas,No Data,3 spaces,,,No Data,"$499,000","8249 N Knox Ave, Skokie, IL 60076",, No, 6, 3, 3,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will fall 2.1% (↓) in the next year.This home is valued 59.8% higher (↑) than the median home in Downtown.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/8249-N-Knox-Ave-Skokie-IL-60076/2078281135_zpid/,
53,Single Family,1959,Forced air,Central,1 space,None,"3,689 sqft",$330,"$399,900","7652 Kedvale Ave, Skokie, IL 60076","1,212", No, 4, 2, 2,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Skokie will decrease 2.1% (↓) in the next year.This home is valued 28% higher (↑) than the median home in Central Skokie.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/7652-Kedvale-Ave-Skokie-IL-60076/3546556_zpid/,
54,Condo,2007,Forced air,Central,1 space,$593/mo,,$277,"$349,000","9655 Woods Dr UNIT 1306, Skokie, IL 60077","1,261", No, 2, 2, 2,"Home values in 60077 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Old Orchard will fall 2.1% (↓) in the next year.This home is valued 18.4% higher (↑) than the median home in Old Orchard.The median Zestimate® for this neighborhood is $294,688.",https://www.zillow.com/homedetails/9655-Woods-Dr-UNIT-1306-Skokie-IL-60077/89902873_zpid/,
55,Condo,1958,Baseboard,Other,1 space,$275/month,,$172,"$155,000","4654 Keeney St APT 1S, Skokie, IL 60076",900, No, 2, 2, 1,"Home values in 60076 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will decrease 2.1% (↓) in the next year.This home is valued 50.4% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $312,303.",https://www.zillow.com/homedetails/4654-Keeney-St-APT-1S-Skokie-IL-60076/65556031_zpid/, 1
