,Type,Year built,Heating,Cooling,Parking,HOA,Lot,Price/sqft,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,Half bathrooms,neighborhood_stats,URL
20,Single Family,1955,"Forced air, Gas",Central,2 spaces,,"9,317 sqft",$295,"$824,925","2330 Linden Leaf Dr, Glenview, IL 60025","2,800", No, 4, 4, 3, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 78.5% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/2330-Linden-Leaf-Dr-Glenview-IL-60025/3353783_zpid/
21,Single Family,1951,Forced air,Central,2 spaces,None,0.26 acres,$288,"$899,900","816 Lenox Rd, Glenview, IL 60025","3,130", No, 4, 4, 2, 2,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 94.7% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/816-Lenox-Rd-Glenview-IL-60025/3356600_zpid/
22,Single Family,1968,Forced air,Central,2 spaces,None,"10,320 sqft",$333,"$449,900","2428 Rebecca Ln, Glenview, IL 60026","1,353", No, 3, 3, 2, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will fall 2.8% (↓) in the next year.This home is valued 24% lower (↓) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/2428-Rebecca-Ln-Glenview-IL-60026/3344769_zpid/
23,Single Family,1961,Forced air,Central,1 space,$11/month,"8,494 sqft",$271,"$289,000","507 Poplar Ln, Glenview, IL 60025","1,066", No, 3, 1, 1,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 37.5% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/507-Poplar-Ln-Glenview-IL-60025/3470211_zpid/
24,Single Family,1957,"Forced air, Radiant",Central,2 spaces,,0.28 acres,$208,"$498,000","2562 Fontana Dr, Glenview, IL 60025","2,400", No, 4, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 7.7% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/2562-Fontana-Dr-Glenview-IL-60025/3471288_zpid/
25,Single Family,1956,"Forced air, Gas",Central,2 spaces,,"8,970 sqft",$314,"$1,350,000","333 Nordica Ave, Glenview, IL 60025","4,300", Yes, 6, 5, 5,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 192.1% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/333-Nordica-Ave-Glenview-IL-60025/3513399_zpid/
26,Single Family,2008,Forced air,Central,2 spaces,None,"8,254 sqft",$323,"$949,000","2144 Robincrest Ln, Glenview, IL 60025","2,934", No, 5, 5, 4, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 105.3% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/2144-Robincrest-Ln-Glenview-IL-60025/3354522_zpid/
27,Single Family,2001,Gas,Central,2 spaces,$45/month,"8,894 sqft",$264,"$1,050,000","2218 Fielding Dr, Glenview, IL 60026","3,984", No, 5, 4, 3, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will decrease 2.8% (↓) in the next year.This home is valued 77.4% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/2218-Fielding-Dr-Glenview-IL-60026/62005786_zpid/
28,Single Family,1984,"Forced air, Gas",Central,3 spaces,,"9,191 sqft",$185,"$694,913","1020 Bette Ln, Glenview, IL 60025","3,750", No, 5, 4, 4,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 50.4% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1020-Bette-Ln-Glenview-IL-60025/3350340_zpid/
29,Single Family,1989,Forced air,Central,3 spaces,$83/month,1.25 acres,$252,"$1,799,000","820 Eastwood Ln, Glenview, IL 60025","7,126", No, 6, 6, 4, 2,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 289.2% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/820-Eastwood-Ln-Glenview-IL-60025/3356867_zpid/
30,Single Family,2005,"Forced air, Gas",Central,3 spaces,,0.27 Acres,$306,"$1,285,000","1660 Cabot Ln, Glenview, IL 60026","4,199", No, 4, 5, 4, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will fall 2.8% (↓) in the next year.This home is valued 117.2% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/1660-Cabot-Ln-Glenview-IL-60026/70452943_zpid/
31,Single Family,1943,"Forced air, Gas",Central,1 space,,"7,927 sqft",$377,"$660,000","1152 Vernon Dr, Glenview, IL 60025","1,750", No, 3, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 42.8% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1152-Vernon-Dr-Glenview-IL-60025/3355227_zpid/
32,Single Family,1988,"Forced air, Gas",Central,2 spaces,,0.27 Acres,$311,"$1,125,000","1705 Wildwood Ct, Glenview, IL 60025","3,614", No, 4, 5, 3, 2,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 143.4% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1705-Wildwood-Ct-Glenview-IL-60025/3348234_zpid/
33,Single Family,1957,Forced air,Central,2 spaces,,0.29 acres,$274,"$529,000","900 Huckleberry Ln, Glenview, IL 60025","1,934", No, 3, 3, 3,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 14.5% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/900-Huckleberry-Ln-Glenview-IL-60025/3347101_zpid/
34,Single Family,1963,Forced air,Central,2 spaces,,0.41 Acres,$269,"$889,000","1433 Sequoia Trl, Glenview, IL 60025","3,307", No, 5, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 92.3% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1433-Sequoia-Trl-Glenview-IL-60025/3348039_zpid/
35,Condo,2005,Radiant,Central,1 space,$497/month,,$233,"$360,000","2700 Summit Dr APT 107, Glenview, IL 60025","1,542", No, 2, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 22.1% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/2700-Summit-Dr-APT-107-Glenview-IL-60025/80815058_zpid/
36,Single Family,2020,"Forced air, Gas",Central,2 spaces,,No Data,$312,"$719,400","1063 Ironwood Ct, Glenview, IL 60025","2,308", Yes, 3, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 55.6% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1063-Ironwood-Ct-Glenview-IL-60025/245566011_zpid/
37,Single Family,1960,"Forced air, Gas",Central,2 spaces,,"10,049 sqft",$292,"$365,000","306 Michael Mnr, Glenview, IL 60025","1,248", No, 3, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 21% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/306-Michael-Mnr-Glenview-IL-60025/3470970_zpid/
38,Condo,1975,No Data,No Data,2 spaces,$256/month,,No Data,"$124,900","10373 Dearlove Rd APT 3B, Glenview, IL 60025",, No, 1, 1, 1,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 73% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/10373-Dearlove-Rd-APT-3B-Glenview-IL-60025/2089986793_zpid/
39,Single Family,1986,Gas,Central,2 spaces,,0.34 acres,$221,"$1,095,000","3708 Vantage Ln, Glenview, IL 60026","4,950", No, 5, 6, 5, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will decrease 2.8% (↓) in the next year.This home is valued 85.1% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/3708-Vantage-Ln-Glenview-IL-60026/3344851_zpid/
40,Single Family,2001,"Forced air, Gas",Central,3 spaces,,0.51 Acres,$306,"$1,899,000","625 Chatham Rd, Glenview, IL 60025","6,214", No, 5, 6, 4, 2,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 310.9% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/625-Chatham-Rd-Glenview-IL-60025/3356395_zpid/
41,Condo,2000,Gas,Central,2 spaces,$483/month,,$199,"$325,000","2660 Summit Dr UNIT 107, Glenview, IL 60025","1,635", No, 2, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 29.7% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/2660-Summit-Dr-UNIT-107-Glenview-IL-60025/60259733_zpid/
42,Condo,1979,Forced air,Central,2 spaces,$224/month,,$138,"$145,000","4208 Central Rd APT 4C, Glenview, IL 60025","1,050", No, 2, 2, 1, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 68.6% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/4208-Central-Rd-APT-4C-Glenview-IL-60025/3351606_zpid/
43,Townhouse,1990,"Forced air, Gas",Central,2 spaces,,No Data,$171,"$410,000","105 Yale Ct, Glenview, IL 60026","2,400", No, 3, 3, 2, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will fall 2.8% (↓) in the next year.This home is valued 30.7% lower (↓) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/105-Yale-Ct-Glenview-IL-60026/3344257_zpid/
44,Single Family,1987,Forced air,Central,3 spaces,,0.3 acres,$249,"$895,000","1911 Franklin Dr, Glenview, IL 60026","3,600", No, 5, 5, 4, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will fall 2.8% (↓) in the next year.This home is valued 51.3% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/1911-Franklin-Dr-Glenview-IL-60026/3349487_zpid/
45,Townhouse,2008,Forced air,None,2 spaces,$275/month,"3,425 sqft",$170,"$459,000","4406 Lainie Cir, Glenview, IL 60026","2,705", No, 3, 3, 2, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will fall 2.8% (↓) in the next year.This home is valued 22.4% lower (↓) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/4406-Lainie-Cir-Glenview-IL-60026/89922001_zpid/
46,Townhouse,2004,Gas,Central,2 spaces,$593/month,No Data,$193,"$698,000","2061 Valor Ct, Glenview, IL 60026","3,625", No, 3, 4, 3, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will decrease 2.8% (↓) in the next year.This home is valued 18% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/2061-Valor-Ct-Glenview-IL-60026/2078004274_zpid/
47,Townhouse,1994,Gas,Central,2 spaces,,"4,520 sqft",$233,"$479,000","1129 Pine St, Glenview, IL 60025","2,055", No, 3, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 3.6% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1129-Pine-St-Glenview-IL-60025/3354935_zpid/
48,Single Family,1987,"Forced air, Gas",Central,2 spaces,,0.28 Acres,$132,"$449,913","3615 Countryside Ln, Glenview, IL 60025","3,400", No, 4, 3, 3,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 2.7% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/3615-Countryside-Ln-Glenview-IL-60025/3352834_zpid/
49,Single Family,1998,"Forced air, Gas",Central,2 spaces,,"8,581 sqft",$206,"$675,000","4255 Meadowview Dr, Glenview, IL 60026","3,280", No, 4, 3, 2, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will decrease 2.8% (↓) in the next year.This home is valued 14.1% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/4255-Meadowview-Dr-Glenview-IL-60026/49913341_zpid/
50,Single Family,1954,Gas,Central,1 space,,"9,496 sqft",$342,"$449,000","1100 Raleigh Rd, Glenview, IL 60025","1,314", No, 3, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 2.9% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1100-Raleigh-Rd-Glenview-IL-60025/3355272_zpid/
51,Condo,1977,Electric,No Data,1 space,$485/mo,,,"$174,000","3925 Triumvera Dr APT 16D, Glenview, IL 60025",, No, 2, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 62.4% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/3925-Triumvera-Dr-APT-16D-Glenview-IL-60025/2090787947_zpid/
52,Single Family,2008,"Forced air, Gas",Central,3 spaces,,"9,060 sqft",$262,"$1,125,000","945 Hunter Rd, Glenview, IL 60025","4,300", No, 6, 5, 4, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 143.4% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/945-Hunter-Rd-Glenview-IL-60025/80842251_zpid/
53,Single Family,1954,Forced air,Central,1 space,None,"8,768 sqft",$317,"$460,000","816 Hunter Rd, Glenview, IL 60025","1,450", No, 3, 1, 1,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 0.5% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/816-Hunter-Rd-Glenview-IL-60025/3370185_zpid/
54,Townhouse,1999,"Forced air, Gas",Central,2 spaces,,"2,232 sqft",$258,"$460,000","1827 Westleigh Dr, Glenview, IL 60025","1,786", No, 4, 4, 3, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 0.5% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1827-Westleigh-Dr-Glenview-IL-60025/54529964_zpid/
55,Single Family,1991,Forced air,Central,3 spaces,,1.06 acres,$185,"$899,800","3280 Landwehr Rd, Northbrook, IL 60062","4,857", No, 5, 5, 4, 1,"Home values in 60062 have fallen 1.7 % (↓) over the past 12 months.Zillow predicts the home values in 60062 will fall 1.7% (↓) in the next year.This home is valued 71.1% higher (↑) than the median home in 60062.The median Zestimate® for this neighborhood is $525,989.",https://www.zillow.com/homedetails/3280-Landwehr-Rd-Northbrook-IL-60062/3349383_zpid/
