,Type,Year built,Heating,Cooling,Parking,Lot,Price/sqft,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,HOA,Half bathrooms
10,Single Family,1926,Forced air,Central,2 spaces,"5,505 sqft",$212,"$575,000","1024 Darrow Ave, Evanston, IL 60202","2,712", No, 4, 3, 3,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in West Village will decrease 1.6% (↓) in the next year.This home is valued 74.2% higher (↑) than the median home in West Village.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/1024-Darrow-Ave-Evanston-IL-60202/3540798_zpid/,,
11,Condo,1928,Gas,No Data,1 space,,$281,"$365,000","817 Forest Ave APT 3W, Evanston, IL 60202","1,300", No, 3, 2, 2,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will decrease 1.6% (↓) in the next year.This home is valued 10.6% higher (↑) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/817-Forest-Ave-APT-3W-Evanston-IL-60202/49916354_zpid/,$425/month,
12,Single Family,2008,Forced air,Central,2 spaces,"5,671 sqft",$358,"$1,195,000","2339 Cowper Ave, Evanston, IL 60201","3,336", No, 4, 6, 5,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will fall 2.3% (↓) in the next year.This home is valued 139.7% higher (↑) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/2339-Cowper-Ave-Evanston-IL-60201/3515731_zpid/,None, 1
13,Single Family,1941,Forced air,Central,2 spaces,"5,250 sqft",$278,"$724,999","3246 Park Pl, Evanston, IL 60201","2,604", No, 4, 3, 3,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will fall 2.3% (↓) in the next year.This home is valued 45.4% higher (↑) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/3246-Park-Pl-Evanston-IL-60201/3373863_zpid/,,
14,Condo,1924,Gas,No Data,No Data,,$142,"$199,000","602 Michigan Ave #1, Evanston, IL 60202","1,400", No, 2, 1, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will fall 1.6% (↓) in the next year.This home is valued 39.7% lower (↓) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/602-Michigan-Ave-1-Evanston-IL-60202/2077815736_zpid/,$720/mo,
15,Multi Family,1950,Other,No Data,2 spaces,,No Data,"$319,000","1728 Darrow Ave, Evanston, IL 60201",, No, 3, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in West Side will fall 2.3% (↓) in the next year.This home is valued 36% lower (↓) than the median home in West Side.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1728-Darrow-Ave-Evanston-IL-60201/2137718794_zpid/,,
16,Condo,1998,Baseboard,Wall,1 space,,$181,"$241,000","808 Judson Ave APT 2D, Evanston, IL 60202","1,330", No, 2, 2, 2,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Main-Chicago will decrease 1.6% (↓) in the next year.This home is valued 27% lower (↓) than the median home in Main-Chicago.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/808-Judson-Ave-APT-2D-Evanston-IL-60202/3566817_zpid/,$424/month,
17,Single Family,2001,"Forced air, Gas",Central,2 spaces,"4,991 sqft",$222,"$725,000","2314 Brown Ave, Evanston, IL 60201","3,266", No, 4, 4, 3,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will fall 2.3% (↓) in the next year.This home is valued 45.4% higher (↑) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/2314-Brown-Ave-Evanston-IL-60201/2083124762_zpid/,, 1
18,Single Family,1950,Forced air,Central,2 spaces,"5,160 sqft",$340,"$419,000","1810 Brummel St, Evanston, IL 60202","1,231", No, 3, 2, 2,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Howard Street will fall 1.6% (↓) in the next year.This home is valued 27% higher (↑) than the median home in Howard Street.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/1810-Brummel-St-Evanston-IL-60202/3542720_zpid/,,
19,Condo,1977,Electric,Central,1 space,,$219,"$360,000","525 Grove St APT 3D, Evanston, IL 60201","1,641", No, 3, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will fall 2.3% (↓) in the next year.This home is valued 27.8% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/525-Grove-St-APT-3D-Evanston-IL-60201/3564658_zpid/,$451/mo,
20,Condo,1960,Electric,Wall,2 spaces,,$194,"$155,000","503 Sheridan Rd APT A1, Evanston, IL 60202",800, No, 2, 1, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will decrease 1.6% (↓) in the next year.This home is valued 53% lower (↓) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/503-Sheridan-Rd-APT-A1-Evanston-IL-60202/3568079_zpid/,$473/month,
21,Condo,1971,Electric,Central,1 space,,$206,"$329,900","2001 Sherman Ave APT 101, Evanston, IL 60201","1,600", No, 3, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Noyes and Foster will decrease 2.3% (↓) in the next year.This home is valued 33.8% lower (↓) than the median home in Noyes and Foster.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/2001-Sherman-Ave-APT-101-Evanston-IL-60201/3563654_zpid/,$462/mo,
22,Condo,1915,Gas,No Data,1 space,,$188,"$245,000","(Undisclosed Address), Evanston, IL 60202","1,300", No, 2, 1, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Chicago-Dempster will fall 1.6% (↓) in the next year.This home is valued 25.8% lower (↓) than the median home in Chicago-Dempster.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/Evanston-IL-60202/2077831890_zpid/,$385/mo,
23,Condo,2006,"Forced air, Gas",Central,2 spaces,,$388,"$854,000","1720 Oak Ave UNIT 801A, Evanston, IL 60201","2,200", No, 3, 3, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will decrease 2.3% (↓) in the next year.This home is valued 71.3% higher (↑) than the median home in Downtown.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1720-Oak-Ave-UNIT-801A-Evanston-IL-60201/87704861_zpid/,"$1,303/mo", 1
24,Condo,1980,Forced air,Central,1 space,,$153,"$219,000","3500 Church St APT 404, Evanston, IL 60203","1,435", No, 2, 2, 2,"Home values in 60203 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60203 will decrease 1.2% (↓) in the next year.This home is valued 45.4% lower (↓) than the median home in 60203.The median Zestimate® for this neighborhood is $400,738.",https://www.zillow.com/homedetails/3500-Church-St-APT-404-Evanston-IL-60203/3520526_zpid/,$306/month,
25,Condo,2000,Gas,Central,1 space,,$324,"$439,000","807 Davis St UNIT 303, Evanston, IL 60201","1,356", No, 2, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will fall 2.3% (↓) in the next year.This home is valued 11.9% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/807-Davis-St-UNIT-303-Evanston-IL-60201/89901517_zpid/,$634/mo,
26,Multiple Occupancy,1895,"Forced air, Gas",Central,2 spaces,,,"$685,000","810-812 Washington St, Evanston, IL 60202",, No, 6, 4, 2,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will fall 1.6% (↓) in the next year.This home is valued 107.6% higher (↑) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/810-812-Washington-St-Evanston-IL-60202/2077846586_zpid/,, 2
27,Single Family,1942,Forced air,Central,3 spaces,"10,572 sqft",$247,"$925,000","9501 Monticello Ave, Evanston, IL 60203","3,744", No, 4, 3, 3,"Home values in 60203 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60203 will fall 1.2% (↓) in the next year.This home is valued 130.8% higher (↑) than the median home in 60203.The median Zestimate® for this neighborhood is $400,738.",https://www.zillow.com/homedetails/9501-Monticello-Ave-Evanston-IL-60203/3519553_zpid/,,
28,Single Family,1914,Gas,No Data,2 spaces,0.5 acres,$225,"$1,350,000","1333 Ridge Ave, Evanston, IL 60201","5,991", No, 8, 5, 4,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will decrease 2.3% (↓) in the next year.This home is valued 170.8% higher (↑) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1333-Ridge-Ave-Evanston-IL-60201/3564413_zpid/,, 1
29,Single Family,1885,Radiant,Central,3 spaces,0.35 acres,$400,"$1,999,995","1200 Judson Ave, Evanston, IL 60202","5,000", No, 5, 6, 4,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Chicago-Dempster will decrease 1.6% (↓) in the next year.This home is valued 506.1% higher (↑) than the median home in Chicago-Dempster.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/1200-Judson-Ave-Evanston-IL-60202/3565502_zpid/,, 2
30,Single Family,1954,Forced air,Central,None,"5,505 sqft",$270,"$269,737","2100 Brummel St, Evanston, IL 60202","1,000", No, 2, 2, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will fall 1.6% (↓) in the next year.This home is valued 18.3% lower (↓) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/2100-Brummel-St-Evanston-IL-60202/3542146_zpid/,None, 1
31,Condo,1928,No Data,No Data,No Data,,$192,"$192,000","803 Elmwood Ave APT 2N, Evanston, IL 60202","1,000", No, 2, 1, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Main-Chicago will fall 1.6% (↓) in the next year.This home is valued 41.8% lower (↓) than the median home in Main-Chicago.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/803-Elmwood-Ave-APT-2N-Evanston-IL-60202/3566308_zpid/,$349/month,
32,Condo,2006,"Forced air, Electric",Central,1 space,,$408,"$620,000","807 Davis St UNIT 1704, Evanston, IL 60201","1,520", No, 2, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will decrease 2.3% (↓) in the next year.This home is valued 24.4% higher (↑) than the median home in Downtown.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/807-Davis-St-UNIT-1704-Evanston-IL-60201/89964528_zpid/,$679/mo,
33,Condo,2002,Electric,Central,1 space,,$354,"$297,900","807 Davis St UNIT 514, Evanston, IL 60201",841, No, 1, 1, 1,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will decrease 2.3% (↓) in the next year.This home is valued 40.2% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/807-Davis-St-UNIT-514-Evanston-IL-60201/89891577_zpid/,$410/mo,
34,Condo,1948,Baseboard,No Data,1 space,,$115,"$115,000","806 Oakton St APT 1, Evanston, IL 60202","1,000", No, 2, 1, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will fall 1.6% (↓) in the next year.This home is valued 65.2% lower (↓) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/806-Oakton-St-APT-1-Evanston-IL-60202/2117126967_zpid/,$575/month,
35,Single Family,1928,"Forced air, Gas",Central,2 spaces,"5,057 sqft",$272,"$999,000","2748 Garrison Ave, Evanston, IL 60201","3,671", No, 5, 4, 3,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will fall 2.3% (↓) in the next year.This home is valued 100.4% higher (↑) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/2748-Garrison-Ave-Evanston-IL-60201/3377408_zpid/,, 1
36,Condo,1963,Forced air,Wall,1 space,,$138,"$138,000","810 Dobson St APT 1C, Evanston, IL 60202","1,000", No, 2, 1, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Howard Street will decrease 1.6% (↓) in the next year.This home is valued 58.2% lower (↓) than the median home in Howard Street.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/810-Dobson-St-APT-1C-Evanston-IL-60202/3570020_zpid/,$308/month,
37,Single Family,1895,"Baseboard, Radiant",Wall,1 space,"10,001 sqft",$374,"$749,000","1911 Colfax St, Evanston, IL 60201","2,000", No, 4, 3, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will fall 2.3% (↓) in the next year.This home is valued 50.3% higher (↑) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1911-Colfax-St-Evanston-IL-60201/3517278_zpid/,$75/month, 1
38,Multiple Occupancy,1905,"Radiant, Gas",No Data,No Data,,$190,"$494,900","421 Keeney St, Evanston, IL 60202","2,600", No, 5, 2, 2,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Main-Chicago will fall 1.6% (↓) in the next year.This home is valued 50% higher (↑) than the median home in Main-Chicago.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/421-Keeney-St-Evanston-IL-60202/2114795009_zpid/,,
39,Condo,1901,Gas,No Data,1 space,,$220,"$275,000","512 Lee St APT 1S, Evanston, IL 60202","1,250", No, 2, 1, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Main-Chicago will decrease 1.6% (↓) in the next year.This home is valued 16.7% lower (↓) than the median home in Main-Chicago.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/512-Lee-St-APT-1S-Evanston-IL-60202/3564364_zpid/,$366/month,
40,Single Family,1942,"Forced air, Gas",Central,2 spaces,"5,600 sqft",$344,"$819,000","2125 Bennett Ave, Evanston, IL 60201","2,383", No, 5, 3, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will decrease 2.3% (↓) in the next year.This home is valued 64.3% higher (↑) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/2125-Bennett-Ave-Evanston-IL-60201/3516667_zpid/,, 1
41,Condo,1969,Electric,Central,1 space,,$197,"$375,000","2300 Sherman Ave APT 4D, Evanston, IL 60201","1,900", No, 4, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will decrease 2.3% (↓) in the next year.This home is valued 24.8% lower (↓) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/2300-Sherman-Ave-APT-4D-Evanston-IL-60201/3563323_zpid/,$466/mo,
42,Multi Family,1969,Baseboard,Central,2 spaces,,$140,"$700,000","1317 Oakton St, Evanston, IL 60202","5,000", No, 5, 5, 5,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will fall 1.6% (↓) in the next year.This home is valued 112.1% higher (↑) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/1317-Oakton-St-Evanston-IL-60202/2099888959_zpid/,,
43,Condo,1958,Baseboard,No Data,1 space,,$155,"$170,000","2218 Central St APT 3E, Evanston, IL 60201","1,096", No, 2, 1, 1,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Street will decrease 2.3% (↓) in the next year.This home is valued 65.9% lower (↓) than the median home in Central Street.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/2218-Central-St-APT-3E-Evanston-IL-60201/2077910660_zpid/,$352/month,
44,Single Family,1925,Forced air,Other,2 spaces,"5,998 sqft",$337,"$495,000","2139 Forestview Rd, Evanston, IL 60201","1,470", No, 2, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will fall 2.3% (↓) in the next year.This home is valued 0.7% lower (↓) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/2139-Forestview-Rd-Evanston-IL-60201/3516464_zpid/,None,
45,Condo,1913,Forced air,Central,1 space,,$195,"$275,000","1016 Main St APT 2, Evanston, IL 60202","1,410", No, 2, 2, 2,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will fall 1.6% (↓) in the next year.This home is valued 16.7% lower (↓) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/1016-Main-St-APT-2-Evanston-IL-60202/80808666_zpid/,$289/month,
46,Condo,1926,"Forced air, Gas",Central,1 space,,$171,"$239,000","121 Callan Ave APT 3S, Evanston, IL 60202","1,400", No, 3, 2, 2,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Howard Street will fall 1.6% (↓) in the next year.This home is valued 27.6% lower (↓) than the median home in Howard Street.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/121-Callan-Ave-APT-3S-Evanston-IL-60202/65556793_zpid/,$250/mo,
47,Condo,1978,"Forced air, Electric",Central,1 space,,$236,"$429,000","1209 Central St #A, Evanston, IL 60201","1,815", No, 3, 3, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Street will fall 2.3% (↓) in the next year.This home is valued 13.9% lower (↓) than the median home in Central Street.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1209-Central-St-A-Evanston-IL-60201/2086447101_zpid/,$638/mo, 1
48,Condo,1997,Forced air,Central,2 spaces,,$253,"$310,000","1580 Sherman Ave APT 705, Evanston, IL 60201","1,227", No, 2, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will decrease 2.3% (↓) in the next year.This home is valued 37.8% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1580-Sherman-Ave-APT-705-Evanston-IL-60201/63691580_zpid/,$527/month,
49,Condo,1965,"Baseboard, Gas",Other,1 space,,$223,"$169,500","2033 Sherman Ave APT 309, Evanston, IL 60201",760, No, 1, 1, 1,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will decrease 2.3% (↓) in the next year.This home is valued 66% lower (↓) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/2033-Sherman-Ave-APT-309-Evanston-IL-60201/3563700_zpid/,$316/mo,
50,Condo,1999,"Forced air, Gas",Central,1 space,,$254,"$330,000","2951 Central St APT 207, Evanston, IL 60201","1,300", No, 2, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Street will decrease 2.3% (↓) in the next year.This home is valued 33.8% lower (↓) than the median home in Central Street.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/2951-Central-St-APT-207-Evanston-IL-60201/58356295_zpid/,$386/mo,
51,Condo,2005,"Forced air, Gas",Central,2 spaces,,$318,"$699,950","819 Foster St APT 3S, Evanston, IL 60201","2,201", No, 3, 3, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Noyes and Foster will decrease 2.3% (↓) in the next year.This home is valued 40.4% higher (↑) than the median home in Noyes and Foster.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/819-Foster-St-APT-3S-Evanston-IL-60201/80832711_zpid/,$404/mo, 1
52,Single Family,1888,"Forced air, Gas",No Data,2 spaces,0.34 Acres,$327,"$1,465,000","1305 Forest Ave, Evanston, IL 60201","4,475", No, 6, 5, 3,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will decrease 2.3% (↓) in the next year.This home is valued 193.9% higher (↑) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1305-Forest-Ave-Evanston-IL-60201/3564985_zpid/,, 2
53,Single Family,2020,"Forced air, Gas",Central,3 spaces,"7,405 sqft",$303,"$1,487,000","2755 Reese Ave, Evanston, IL 60201","4,900", Yes, 6, 6, 5,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will decrease 2.3% (↓) in the next year.This home is valued 198.3% higher (↑) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/2755-Reese-Ave-Evanston-IL-60201/3374503_zpid/,, 1
54,Single Family,1914,Gas,Central,10 spaces,"7,200 sqft",$459,"$1,875,000","637 Sheridan Sq, Evanston, IL 60202","4,083", No, 4, 4, 3,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will decrease 1.6% (↓) in the next year.This home is valued 468.2% higher (↑) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/637-Sheridan-Sq-Evanston-IL-60202/3567917_zpid/,, 1
55,Condo,2006,Electric,Central,1 space,,$327,"$418,000","807 Davis St UNIT 302, Evanston, IL 60201","1,278", No, 2, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will fall 2.3% (↓) in the next year.This home is valued 16.1% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/807-Davis-St-UNIT-302-Evanston-IL-60201/89885527_zpid/,$600/mo,
56,Single Family,1899,"Baseboard, Gas",Wall,1 space,"2,256 sqft",$253,"$380,000","1325 Greenleaf St, Evanston, IL 60202","1,500", No, 3, 3, 2,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will decrease 1.6% (↓) in the next year.This home is valued 15.2% higher (↑) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/1325-Greenleaf-St-Evanston-IL-60202/3540782_zpid/,, 1
