,Type,Year built,Heating,Cooling,Parking,Lot,Price/sqft,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Half bathrooms,HOA
10,Single Family,1971,"Forced air, Gas",Central,No Data,0.29 Acres,$261,"$675,000","8585 S Top Of The World Cir, Cottonwood Heights, UT 84121","2,589", No, 4, 3,,,https://www.zillow.com/homedetails/8585-S-Top-Of-The-World-Cir-Cottonwood-Heights-UT-84121/12888304_zpid/,,
11,Condo,2008,Other,Central,2 spaces,,$432,"$439,900","350 S 200 E UNIT 703, Salt Lake City, UT 84111","1,018", No, 2, 2, 2,"Home values in Salt Lake City have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in Central City will increase 5.3% (↑) in the next year.This home is valued 4.7% higher (↑) than the median home in Central City.The median Zestimate® for this neighborhood is $419,987.",https://www.zillow.com/homedetails/350-S-200-E-UNIT-703-Salt-Lake-City-UT-84111/89425648_zpid/,,$385/mo
12,Single Family,2006,Other,Central,3 spaces,0.33 Acres,$106,"$655,000","12882 S Kale Ln, Riverton, UT 84065","6,160", No, 3, 3, 2,"Home values in Riverton have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in 84065 will rise 4.1% (↑) in the next year.This home is valued 52.2% higher (↑) than the median home in 84065.The median Zestimate® for this neighborhood is $430,414.",https://www.zillow.com/homedetails/12882-S-Kale-Ln-Riverton-UT-84065/72626459_zpid/, 1,
13,Single Family,1979,Other,None,2 spaces,"6,969 sqft",$192,"$319,900","5555 W Poacher Cir, Salt Lake City, UT 84118","1,670", No, 4, 2, 2,"Home values in 84118 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84118 will increase 5.2% (↑) in the next year.This home is valued 9.9% higher (↑) than the median home in 84118.The median Zestimate® for this neighborhood is $291,158.",https://www.zillow.com/homedetails/5555-W-Poacher-Cir-Salt-Lake-City-UT-84118/12802114_zpid/,,
14,Single Family,1950,Other,None,2 spaces,"6,969 sqft",$239,"$259,000","4327 W 5570 S, Salt Lake City, UT 84118","1,082", No, 3, 1, 1,"Home values in 84118 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in Hoffman Heights will increase 5.2% (↑) in the next year.This home is valued 11% lower (↓) than the median home in Hoffman Heights.The median Zestimate® for this neighborhood is $291,158.",https://www.zillow.com/homedetails/4327-W-5570-S-Salt-Lake-City-UT-84118/12831878_zpid/,,
15,Single Family,2007,"Forced air, Other, Gas",Central,4 spaces,0.60 Acres,$273,"$2,998,000","6146 S Verness Cv, Holladay, UT 84121","11,000", No, 6, 10, 6,"Home values in Holladay have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in 84121 will increase 3.5% (↑) in the next year.This home is valued 430.3% higher (↑) than the median home in 84121.The median Zestimate® for this neighborhood is $565,370.",https://www.zillow.com/homedetails/6146-S-Verness-Cv-Holladay-UT-84121/61169752_zpid/, 4,
16,Single Family,1915,No Data,No Data,1 space,"6,534 sqft",$165,"$529,000","2969 S Elizabeth St, Salt Lake City, UT 84106","3,211", No, 5, 3, 2,"Home values in Sugar House have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in Sugar House will increase 4.5% (↑) in the next year.This home is valued 13% higher (↑) than the median home in Sugar House.The median Zestimate® for this neighborhood is $468,204.",https://www.zillow.com/homedetails/2969-S-Elizabeth-St-Salt-Lake-City-UT-84106/2077538800_zpid/, 1,
17,Single Family,2005,No Data,No Data,4 spaces,0.71 Acres,$172,"$850,000","10217 S Dimple Ln, Sandy, UT 84092","4,943", No, 3, 3, 2,"Home values in 84092 have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in 84092 will increase 4.4% (↑) in the next year.This home is valued 54% higher (↑) than the median home in 84092.The median Zestimate® for this neighborhood is $552,092.",https://www.zillow.com/homedetails/10217-S-Dimple-Ln-Sandy-UT-84092/2077539581_zpid/, 1,
18,Condo,1970,No Data,No Data,1 space,,$235,"$194,000","495 E Creekside Cir APT B, Salt Lake City, UT 84107",826, No, 2, 1, 1,"Home values in 84107 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84107 will rise 6% (↑) in the next year.This home is valued 44.6% lower (↓) than the median home in 84107.The median Zestimate® for this neighborhood is $349,940.",https://www.zillow.com/homedetails/495-E-Creekside-Cir-APT-B-Salt-Lake-City-UT-84107/2077539579_zpid/,,$168/mo
19,Single Family,1969,Other,None,1 space,"9,583 sqft",$155,"$365,000","3318 W Crestfield Dr, West Valley, UT 84119","2,352", No, 5, 3, 3,"Home values in 84119 have risen 5.8 % (↑) over the past 12 months.Zillow predicts the home values in Blue Haven will increase 5.9% (↑) in the next year.This home is valued 24.3% higher (↑) than the median home in Blue Haven.The median Zestimate® for this neighborhood is $293,648.",https://www.zillow.com/homedetails/3318-W-Crestfield-Dr-West-Valley-UT-84119/12814746_zpid/,,
20,Townhouse,2007,Other,Central,2 spaces,"3,920 sqft",$150,"$320,000","11069 S Topview Rd, South Jordan, UT 84009","2,139", No, 3, 3, 2,"Home values in 84009 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84009 will increase 3.6% (↑) in the next year.This home is valued 25.4% lower (↓) than the median home in 84009.The median Zestimate® for this neighborhood is $428,858.",https://www.zillow.com/homedetails/11069-S-Topview-Rd-South-Jordan-UT-84009/83813611_zpid/, 1,
21,,,,,,,,"$472,995","Lot #0171, Toll Brothers at Rosecrest - Noria Collection, Herriman, UT 84096",, Yes, 2, 2, 2,"Home values in 84096 have risen 3.4 % (↑) over the past 12 months.Zillow predicts the home values in 84096 will rise 3.6% (↑) in the next year.This home is valued 8% higher (↑) than the median home in 84096.The median Zestimate® for this neighborhood is $437,903.",https://www.zillow.com/community/toll-brothers-at-rosecrest-noria-collection/2078783544_zpid/,,
22,Single Family,1875,"Other, Electric, Gas, Wood / Pellet",Geothermal,No Data,1.16 Acres,"$4,017","$9,400,000","1494 S 1000 W, Salt Lake City, UT 84104","2,340", No, 3, 1, 1,"Home values in Glendale have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in Glendale will increase 7.8% (↑) in the next year.This home is valued 3315.1% higher (↑) than the median home in Glendale.The median Zestimate® for this neighborhood is $275,245.",https://www.zillow.com/homedetails/1494-S-1000-W-Salt-Lake-City-UT-84104/12740905_zpid/,,
23,Condo,1964,"Heat pump, Other",Central,1 space,,$246,"$180,000","2220 E Murray Holladay Rd APT 108, Holladay, UT 84117",731, No, 1, 1, 1,"Home values in 84117 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84117 will rise 3.4% (↑) in the next year.This home is valued 62.1% lower (↓) than the median home in 84117.The median Zestimate® for this neighborhood is $474,747.",https://www.zillow.com/homedetails/2220-E-Murray-Holladay-Rd-APT-108-Holladay-UT-84117/12860547_zpid/,,$220/mo
24,Single Family,1913,Other,None,2 spaces,0.25 Acres,$355,"$349,000","8553 S 100 E, Sandy, UT 84070",984, No, 2, 1, 1,"Home values in 84070 have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in 84070 will rise 5.3% (↑) in the next year.This home is valued 1.7% lower (↓) than the median home in 84070.The median Zestimate® for this neighborhood is $355,188.",https://www.zillow.com/homedetails/8553-S-100-E-Sandy-UT-84070/12881733_zpid/,,
25,Single Family,1952,Forced air,Central,2 spaces,"7,840 sqft",$163,"$315,000","8770 W 3150 S, Magna, UT 84044","1,928", No, 5, 2, 2,"Home values in 84044 have risen 5.6 % (↑) over the past 12 months.Zillow predicts the home values in 84044 will increase 5.5% (↑) in the next year.This home is valued 11.9% higher (↑) than the median home in 84044.The median Zestimate® for this neighborhood is $281,589.",https://www.zillow.com/homedetails/8770-W-3150-S-Magna-UT-84044/12727023_zpid/,,
26,Single Family,1916,Other,Central,1 space,"4,356 sqft",$277,"$350,000","378 E Harrison Ave, Salt Lake City, UT 84115","1,264", No, 2, 2, 2,"Home values in Liberty Wells have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in Liberty Wells will increase 5.9% (↑) in the next year.This home is valued 8.4% lower (↓) than the median home in Liberty Wells.The median Zestimate® for this neighborhood is $382,242.",https://www.zillow.com/homedetails/378-E-Harrison-Ave-Salt-Lake-City-UT-84115/12771623_zpid/,,
27,Single Family,1949,"Forced air, Gas","Central, Evaporative",3 spaces,"10,018 sqft",$174,"$799,900","3136 S 2900 E, Salt Lake City, UT 84109","4,594", No, 4, 3, 3,"Home values in Canyon Rim have risen 3.8 % (↑) over the past 12 months.Zillow predicts the home values in Canyon Rim will increase 2.3% (↑) in the next year.This home is valued 66.1% higher (↑) than the median home in Canyon Rim.The median Zestimate® for this neighborhood is $481,438.",https://www.zillow.com/homedetails/3136-S-2900-E-Salt-Lake-City-UT-84109/12780978_zpid/,,
28,Condo,1978,Forced air,No Data,No Data,,$250,"$169,900","4629 S Quail Vista Cv E #J, Salt Lake City, UT 84117",680, No, 1, 1, 1,"Home values in 84117 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84117 will rise 3.4% (↑) in the next year.This home is valued 64.2% lower (↓) than the median home in 84117.The median Zestimate® for this neighborhood is $474,747.",https://www.zillow.com/homedetails/4629-S-Quail-Vista-Cv-E-J-Salt-Lake-City-UT-84117/2077541577_zpid/,,
29,Townhouse,2005,Other,Central,No Data,"1,306 sqft",$164,"$330,000","102 E 7320 S, Midvale, UT 84047","2,015", No, 3,,,"Home values in 84047 have risen 4.5 % (↑) over the past 12 months.Zillow predicts the home values in 84047 will rise 4.8% (↑) in the next year.This home is valued 1% lower (↓) than the median home in 84047.The median Zestimate® for this neighborhood is $333,183.",https://www.zillow.com/homedetails/102-E-7320-S-Midvale-UT-84047/65730465_zpid/,,
30,Condo,2008,Other,Central,1 space,,$195,"$230,000","10734 S Topview Rd, South Jordan, UT 84009","1,181", No, 2, 2, 2,"Home values in 84009 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84009 will rise 3.6% (↑) in the next year.This home is valued 46.4% lower (↓) than the median home in 84009.The median Zestimate® for this neighborhood is $428,858.",https://www.zillow.com/homedetails/10734-S-Topview-Rd-South-Jordan-UT-84009/89420920_zpid/,,$432/mo
31,Single Family,1984,Other,None,1 space,"4,791 sqft",$170,"$374,900","1448 W Countrywood Ln, West Jordan, UT 84088","2,202", No, 6, 3, 3,"Home values in 84088 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84088 will increase 5.2% (↑) in the next year.This home is valued 1.1% lower (↓) than the median home in 84088.The median Zestimate® for this neighborhood is $378,893.",https://www.zillow.com/homedetails/1448-W-Countrywood-Ln-West-Jordan-UT-84088/12891570_zpid/,,
32,Townhouse,2019,No Data,No Data,2 spaces,"1,742 sqft",$151,"$350,000","5191 W Copeland Dr, Herriman, UT 84096","2,320", No, 3, 3, 2,"Home values in 84096 have risen 3.4 % (↑) over the past 12 months.Zillow predicts the home values in 84096 will rise 3.6% (↑) in the next year.This home is valued 20.1% lower (↓) than the median home in 84096.The median Zestimate® for this neighborhood is $437,903.",https://www.zillow.com/homedetails/5191-W-Copeland-Dr-Herriman-UT-84096/2077542108_zpid/, 1,
33,Single Family,1983,Other,Central,2 spaces,0.29 Acres,$179,"$381,999","3853 W 8890 S, West Jordan, UT 84088","2,132", No, 5, 2, 2,"Home values in 84088 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84088 will rise 5.2% (↑) in the next year.This home is valued 0.8% higher (↑) than the median home in 84088.The median Zestimate® for this neighborhood is $378,893.",https://www.zillow.com/homedetails/3853-W-8890-S-West-Jordan-UT-84088/12892617_zpid/,,
34,Townhouse,2020,No Data,No Data,2 spaces,"1,306 sqft",$212,"$369,900","11003 S Lake Run Rd W #229, South Jordan, UT 84009","1,741", Yes, 3, 3, 2,"Home values in 84009 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84009 will increase 3.6% (↑) in the next year.This home is valued 13.7% lower (↓) than the median home in 84009.The median Zestimate® for this neighborhood is $428,858.",https://www.zillow.com/homedetails/11003-S-Lake-Run-Rd-W-229-South-Jordan-UT-84009/2077542722_zpid/, 1,
35,Single Family,2013,Other,Central,3 spaces,"6,534 sqft",$164,"$545,000","14311 S Attleboro Dr, Herriman, UT 84096","3,323", No, 5, 3, 2,"Home values in 84096 have risen 3.4 % (↑) over the past 12 months.Zillow predicts the home values in 84096 will rise 3.6% (↑) in the next year.This home is valued 24.5% higher (↑) than the median home in 84096.The median Zestimate® for this neighborhood is $437,903.",https://www.zillow.com/homedetails/14311-S-Attleboro-Dr-Herriman-UT-84096/119547746_zpid/, 1,
36,Condo,2011,No Data,No Data,1 space,,$251,"$315,000","170 E Belmont Ave #B-8, Salt Lake City, UT 84111","1,254", No, 3, 2, 2,"Home values in Central City-Liberty Wells have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in Central City-Liberty Wells will rise 7% (↑) in the next year.This home is valued 16.1% lower (↓) than the median home in Central City-Liberty Wells.The median Zestimate® for this neighborhood is $375,558.",https://www.zillow.com/homedetails/170-E-Belmont-Ave-B-8-Salt-Lake-City-UT-84111/2077543018_zpid/,,$150/mo
37,Single Family,2004,"Forced air, Gas",Central,4 spaces,"10,018 sqft",$148,"$460,000","13972 S Curry Peak Cir, Herriman, UT 84096","3,101", No, 5, 2, 2,"Home values in 84096 have risen 3.4 % (↑) over the past 12 months.Zillow predicts the home values in 84096 will increase 3.6% (↑) in the next year.This home is valued 5% higher (↑) than the median home in 84096.The median Zestimate® for this neighborhood is $437,903.",https://www.zillow.com/homedetails/13972-S-Curry-Peak-Cir-Herriman-UT-84096/61172684_zpid/,,
38,Single Family,1993,"Forced air, Gas",Central,2 spaces,"6,534 sqft",$196,"$350,000","5525 W Shadberry Cir, West Jordan, UT 84081","1,789", No, 4, 2, 2,"Home values in 84081 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84081 will rise 5.1% (↑) in the next year.This home is valued 9.3% lower (↓) than the median home in 84081.The median Zestimate® for this neighborhood is $385,804.",https://www.zillow.com/homedetails/5525-W-Shadberry-Cir-West-Jordan-UT-84081/12806895_zpid/,,
39,Single Family,1987,Other,Central,1 space,"5,662 sqft",$206,"$289,900","3947 W Marlis Cir, Taylorsville, UT 84129","1,406", No, 2, 2, 1,"Home values in 84129 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84129 will increase 5.7% (↑) in the next year.This home is valued 11.2% lower (↓) than the median home in 84129.The median Zestimate® for this neighborhood is $326,516.",https://www.zillow.com/homedetails/3947-W-Marlis-Cir-Taylorsville-UT-84129/12831141_zpid/, 1,
40,Single Family,1992,Forced air,Central,No Data,"7,405 sqft",$213,"$370,000","2177 N Sunset Dr, Lehi, UT 84043","1,737", No, 4, 2,,"Home values in 84043 have risen 4.9 % (↑) over the past 12 months.Zillow predicts the home values in 84043 will increase 4.9% (↑) in the next year.This home is valued 5.7% lower (↓) than the median home in 84043.The median Zestimate® for this neighborhood is $392,315.",https://www.zillow.com/homedetails/2177-N-Sunset-Dr-Lehi-UT-84043/11950222_zpid/,,
41,Townhouse,2015,"Forced air, Other",Central,2 spaces,"1,306 sqft",$150,"$299,900","5293 W Canonbury Ln, West Valley, UT 84120","2,000", No, 3,,,"Home values in 84120 have risen 5.8 % (↑) over the past 12 months.Zillow predicts the home values in Highbury will increase 5.7% (↑) in the next year.This home is valued 2% lower (↓) than the median home in Highbury.The median Zestimate® for this neighborhood is $306,114.",https://www.zillow.com/homedetails/5293-W-Canonbury-Ln-West-Valley-UT-84120/145678193_zpid/,,
42,Condo,2002,No Data,No Data,1 space,,$235,"$334,000","4988 S Timber Way UNIT 208, Salt Lake City, UT 84117","1,424", No, 3, 2, 2,"Home values in 84117 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84117 will increase 3.4% (↑) in the next year.This home is valued 29.6% lower (↓) than the median home in 84117.The median Zestimate® for this neighborhood is $474,747.",https://www.zillow.com/homedetails/4988-S-Timber-Way-UNIT-208-Salt-Lake-City-UT-84117/2077544344_zpid/,,$290/mo
43,Condo,2002,No Data,No Data,1 space,,$202,"$235,000","1646 W Vivante Way S #B8, West Valley City, UT 84119","1,163", No, 3, 2, 2,"Home values in 84119 have risen 5.8 % (↑) over the past 12 months.Zillow predicts the home values in 84119 will rise 5.9% (↑) in the next year.This home is valued 20% lower (↓) than the median home in 84119.The median Zestimate® for this neighborhood is $293,648.",https://www.zillow.com/homedetails/1646-W-Vivante-Way-S-B8-West-Valley-City-UT-84119/2077544396_zpid/,,$185/mo
44,Single Family,1958,Other,None,1 space,"6,534 sqft",$265,"$259,000","3096 W Appleton Dr, West Valley, UT 84119",976, No, 3, 1, 1,"Home values in 84119 have risen 5.8 % (↑) over the past 12 months.Zillow predicts the home values in 84119 will rise 5.9% (↑) in the next year.This home is valued 11.8% lower (↓) than the median home in 84119.The median Zestimate® for this neighborhood is $293,648.",https://www.zillow.com/homedetails/3096-W-Appleton-Dr-West-Valley-UT-84119/12743148_zpid/,,
45,Single Family,1994,"Other, Gas",Central,No Data,0.34 Acres,$162,"$530,000","2952 W Southpointe Rd, South Jordan, UT 84095","3,280", No, 7, 3, 3,"Home values in 84095 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84095 will increase 3.7% (↑) in the next year.This home is valued 1.9% higher (↑) than the median home in 84095.The median Zestimate® for this neighborhood is $520,177.",https://www.zillow.com/homedetails/2952-W-Southpointe-Rd-South-Jordan-UT-84095/12896414_zpid/,,
46,Single Family,2018,Forced air,No Data,No Data,"3,049 sqft",$152,"$355,000","6827 W Pomona Ct S, West Jordan, UT 84081","2,334", No, 3, 3, 2,"Home values in 84081 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84081 will rise 5.1% (↑) in the next year.This home is valued 8% lower (↓) than the median home in 84081.The median Zestimate® for this neighborhood is $385,804.",https://www.zillow.com/homedetails/6827-W-Pomona-Ct-S-West-Jordan-UT-84081/2077545635_zpid/, 1,
47,Single Family,1919,Other,None,No Data,"6,969 sqft",$206,"$340,000","2327 S 600 E, Salt Lake City, UT 84106","1,654", No, 2, 1, 1,"Home values in Sugar House have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in Sugar House will increase 4.5% (↑) in the next year.This home is valued 27.4% lower (↓) than the median home in Sugar House.The median Zestimate® for this neighborhood is $468,204.",https://www.zillow.com/homedetails/2327-S-600-E-Salt-Lake-City-UT-84106/12774305_zpid/,,
48,Single Family,1953,"Forced air, Gas",None,No Data,"6,098 sqft",$328,"$340,000","350 E Vidas Ave, South Salt Lake, UT 84115","1,038", No, 3, 1, 1,"Home values in 84115 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84115 will increase 6.3% (↑) in the next year.This home is valued 4.9% higher (↑) than the median home in 84115.The median Zestimate® for this neighborhood is $324,148.",https://www.zillow.com/homedetails/350-E-Vidas-Ave-South-Salt-Lake-UT-84115/12774826_zpid/,,
49,Single Family,2003,Other,Central,2 spaces,"3,920 sqft",$134,"$365,000","5682 W Cliffhaven Ln, West Valley, UT 84128","2,715", No, 3, 3, 2,"Home values in 84128 have risen 5.8 % (↑) over the past 12 months.Zillow predicts the home values in 84128 will increase 6.4% (↑) in the next year.This home is valued 13.1% higher (↑) than the median home in 84128.The median Zestimate® for this neighborhood is $322,819.",https://www.zillow.com/homedetails/5682-W-Cliffhaven-Ln-West-Valley-UT-84128/83822740_zpid/, 1,
50,Single Family,2020,No Data,No Data,3 spaces,No Data,$160,"$443,900","Buildable plan: Brighton, Primrose : Cottages, Saratoga Springs, UT 84045",, Yes, 5, 3, 3,"Home values in 84045 have risen 4.9 % (↑) over the past 12 months.Zillow predicts the home values in 84045 will increase 4.9% (↑) in the next year.This home is valued 12.5% higher (↑) than the median home in 84045.The median Zestimate® for this neighborhood is $394,532.",https://www.zillow.com/community/primrose-cottages/2078523032_zpid/,,
51,Single Family,2003,Other,Central,3 spaces,0.30 Acres,$169,"$474,900","4662 W Moose Horn Ct, West Jordan, UT 84088","2,808", No, 5, 3, 3,"Home values in 84088 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84088 will rise 5.2% (↑) in the next year.This home is valued 25.3% higher (↑) than the median home in 84088.The median Zestimate® for this neighborhood is $378,893.",https://www.zillow.com/homedetails/4662-W-Moose-Horn-Ct-West-Jordan-UT-84088/63342901_zpid/,,
52,Single Family,2017,"Forced air, Gas",Central,No Data,"5,227 sqft",$158,"$515,000","238 E 8800 S, Sandy, UT 84070","3,267", No, 3, 3, 2,"Home values in 84070 have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in 84070 will increase 5.3% (↑) in the next year.This home is valued 45% higher (↑) than the median home in 84070.The median Zestimate® for this neighborhood is $355,188.",https://www.zillow.com/homedetails/238-E-8800-S-Sandy-UT-84070/248856847_zpid/, 1,
53,Condo,1980,"Forced air, Gas",Central,1 space,,$195,"$215,000","6884 S 670 E, Midvale, UT 84047","1,100", No, 2, 1, 1,"Home values in 84047 have risen 4.5 % (↑) over the past 12 months.Zillow predicts the home values in 84047 will increase 4.8% (↑) in the next year.This home is valued 35.5% lower (↓) than the median home in 84047.The median Zestimate® for this neighborhood is $333,183.",https://www.zillow.com/homedetails/6884-S-670-E-Midvale-UT-84047/12868797_zpid/,,$250/mo
54,Single Family,1954,"Other, Gas, Other",Central,2 spaces,"7,840 sqft",$189,"$275,000","4900 S 4420 W, Salt Lake City, UT 84118","1,457", No, 3, 2, 1,"Home values in 84118 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in Hoffman Heights will increase 5.2% (↑) in the next year.This home is valued 5.5% lower (↓) than the median home in Hoffman Heights.The median Zestimate® for this neighborhood is $291,158.",https://www.zillow.com/homedetails/4900-S-4420-W-Salt-Lake-City-UT-84118/12816795_zpid/, 1,
55,Single Family,2017,No Data,No Data,3 spaces,"10,018 sqft",$126,"$545,000","6118 W 8485 S, West Jordan, UT 84081","4,329", No, 4, 3, 2,"Home values in 84081 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84081 will increase 5.1% (↑) in the next year.This home is valued 41.3% higher (↑) than the median home in 84081.The median Zestimate® for this neighborhood is $385,804.",https://www.zillow.com/homedetails/6118-W-8485-S-West-Jordan-UT-84081/251208173_zpid/, 1,
56,Single Family,1999,Other,Central,2 spaces,"6,534 sqft",$207,"$565,000","77 E Steep Mountain Dr, Draper, UT 84020","2,725", No, 5, 4, 3,,https://www.zillow.com/homedetails/77-E-Steep-Mountain-Dr-Draper-UT-84020/12938177_zpid/, 1,
57,Single Family,1997,Other,Central,2 spaces,0.29 Acres,$153,"$474,900","4651 W Copper Valley Ln, West Jordan, UT 84088","3,100", No, 6, 3, 3,"Home values in 84088 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84088 will increase 5.2% (↑) in the next year.This home is valued 25.3% higher (↑) than the median home in 84088.The median Zestimate® for this neighborhood is $378,893.",https://www.zillow.com/homedetails/4651-W-Copper-Valley-Ln-West-Jordan-UT-84088/12893182_zpid/,,
58,Single Family,1916,"Forced air, Gas",Central,1 space,"4,356 sqft",$281,"$650,000","744 E Emerson Ave, Salt Lake City, UT 84105","2,312", No, 4, 3, 3,"Home values in East Central have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in East Central will increase 4.1% (↑) in the next year.This home is valued 36.8% higher (↑) than the median home in East Central.The median Zestimate® for this neighborhood is $475,000.",https://www.zillow.com/homedetails/744-E-Emerson-Ave-Salt-Lake-City-UT-84105/12769004_zpid/,,
