,Type,Year built,Heating,Cooling,Parking,Lot,Price/sqft,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,Half bathrooms,neighborhood_stats,URL,HOA,Status
10,Single Family,1976,"Forced air, Gas",Central,6 spaces,"10,018 sqft",$206,"$400,000","17 S River Rd, Naperville, IL 60540","1,944", No, 4, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Wil-O-Way Park will rise 1.3% (↑) in the next year.This home is valued 3.2% lower (↓) than the median home in Wil-O-Way Park.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/17-S-River-Rd-Naperville-IL-60540/4507929_zpid/,,For Sale
11,Single Family,1976,"Other, Gas",Central,2 spaces,0.51 Acres,$177,"$314,900","29W222 Wagner Rd, Naperville, IL 60564","1,775", No, 4, 2, 2,,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Wheatland South will increase 0.7% (↑) in the next year.This home is valued 27% lower (↓) than the median home in Wheatland South.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/29W222-Wagner-Rd-Naperville-IL-60564/5369608_zpid/,,For Sale
12,Condo,1979,Baseboard,Central,2 spaces,,$135,"$139,900","1056 N Mill St APT 105, Naperville, IL 60563","1,036", No, 2, 2, 2,,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60563 will rise 0.9% (↑) in the next year.This home is valued 56.5% lower (↓) than the median home in 60563.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/1056-N-Mill-St-APT-105-Naperville-IL-60563/4505910_zpid/,$394/month,For Sale
13,Townhouse,2006,Forced air,Central,2 spaces,No Data,$153,"$289,624","1927 Oxley Cir UNIT 1927, Naperville, IL 60563","1,887", No, 2, 3, 2, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60563 will rise 0.9% (↑) in the next year.This home is valued 9.9% lower (↓) than the median home in 60563.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/1927-Oxley-Cir-UNIT-1927-Naperville-IL-60563/2077653184_zpid/,$273/month,For Sale
14,Single Family,No Data,"Forced air, Gas",Central,3 spaces,No Data,$299,"$924,662","Buildable plan: The Addison I, DJK Custom Homes of Downtown Naperville, Naperville, IL 60540",, Yes, 4, 4, 3, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will increase 1.3% (↑) in the next year.This home is valued 123.8% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/community/djk-custom-homes-of-downtown-naperville/2080097685_zpid/,,For Sale
15,Single Family,No Data,No Data,No Data,2 spaces,No Data,$181,"$434,990","Buildable plan: Belfort, Ashwood Crossing, Naperville, IL 60564",, Yes, 2, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Ashwood Crossing will increase 0.7% (↑) in the next year.This home is valued 0.9% higher (↑) than the median home in Ashwood Crossing.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/community/ashwood-crossing/2088230663_zpid/,,For Sale
16,Single Family,2020,No Data,No Data,3 spaces,No Data,$168,"$530,990","Buildable plan: Willwood, Wagner Farms, Naperville, IL 60564",, Yes, 4, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will increase 0.7% (↑) in the next year.This home is valued 23.1% higher (↑) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/community/wagner-farms/2083326196_zpid/,,For Sale
17,Single Family,1985,Gas,Central,3 spaces,0.33 acres,$188,"$849,900","801 Ramsgate Ct, Naperville, IL 60540","4,529", No, 5, 5, 4, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 105.7% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/801-Ramsgate-Ct-Naperville-IL-60540/4539979_zpid/,$49/month,For Sale
18,Single Family,1890,Gas,Central,4 spaces,0.25 Acres,$543,"$699,000","321 W Franklin Ave, Naperville, IL 60540","1,287", No, 3, 1, 1,,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 69.1% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/321-W-Franklin-Ave-Naperville-IL-60540/4506695_zpid/,,For Sale
19,Single Family,1998,Forced air,Central,2 spaces,"8,712 sqft",$179,"$475,000","2735 Freeland Cir, Naperville, IL 60564","2,652", No, 4, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Harmony Grove will rise 0.7% (↑) in the next year.This home is valued 10.1% higher (↑) than the median home in Harmony Grove.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/2735-Freeland-Cir-Naperville-IL-60564/5373142_zpid/,$16/month,For Sale
20,Townhouse,1992,Forced air,Central,2 spaces,"2,178 sqft",$187,"$320,000","415 Dillman Ct, Naperville, IL 60540","1,711", No, 2, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 22.6% lower (↓) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/415-Dillman-Ct-Naperville-IL-60540/4536799_zpid/,$300/month,For Sale
21,Single Family,1975,Gas,Central,2 spaces,"3,863 sqft",$208,"$314,500","24W795 Malibu Ct, Naperville, IL 60540","1,512", No, 4, 2, 2,,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Steeple Run will rise 1.3% (↑) in the next year.This home is valued 23.9% lower (↓) than the median home in Steeple Run.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/24W795-Malibu-Ct-Naperville-IL-60540/4528400_zpid/,,For Sale
22,Single Family,1999,"Forced air, Gas",Central,2 spaces,"9,583 sqft",$237,"$414,900","3608 Rosecroft Ln, Naperville, IL 60564","1,749", No, 3, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Heatherstone will increase 0.7% (↑) in the next year.This home is valued 3.8% lower (↓) than the median home in Heatherstone.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/3608-Rosecroft-Ln-Naperville-IL-60564/5368347_zpid/,,For Sale
23,Single Family,2020,No Data,No Data,2 spaces,No Data,$185,"$447,990","Buildable plan: Lyon, Ashwood Crossing, Naperville, IL 60564",, Yes, 2, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Ashwood Crossing will increase 0.7% (↑) in the next year.This home is valued 3.9% higher (↑) than the median home in Ashwood Crossing.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/community/ashwood-crossing/2088230665_zpid/,,For Sale
24,Single Family,2020,No Data,No Data,3 spaces,No Data,$194,"$653,682","Buildable plan: Castleton, Ashwood Park, Naperville, IL 60564",, Yes, 4, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Ashwood Park will increase 0.7% (↑) in the next year.This home is valued 51.6% higher (↑) than the median home in Ashwood Park.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/community/ashwood-park/2088230692_zpid/,,For Sale
25,Single Family,No Data,No Data,No Data,2 spaces,No Data,$154,"$500,990","Buildable plan: Waverly, Wagner Farms, Naperville, IL 60564",, Yes, 4, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will increase 0.7% (↑) in the next year.This home is valued 16.2% higher (↑) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/community/wagner-farms/2083326199_zpid/,,For Sale
26,Townhouse,1992,No Data,Central,Attached Garage,"5,662 sqft",,"$327,832","917 Heathrow Ln, Naperville, IL 60540","1,940", No, 2, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in The Fields will increase 1.3% (↑) in the next year.This home is valued 20.7% lower (↓) than the median home in The Fields.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/917-Heathrow-Ln-Naperville-IL-60540/4515249_zpid/,$300/month,For Sale
27,Condo,1984,Forced air,Central,2 spaces,,$172,"$214,900","2163 Sunderland Ct APT 202-A, Naperville, IL 60565","1,250", No, 3, 2, 2,,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Old Farm will increase 1.2% (↑) in the next year.This home is valued 45.8% lower (↓) than the median home in Old Farm.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/2163-Sunderland-Ct-APT-202-A-Naperville-IL-60565/4551958_zpid/,$338/month,For Sale
28,Single Family,1986,"Forced air, Gas",Central,2 spaces,"10,301 sqft",$127,"$419,000","90 Quail Hollow Ct, Naperville, IL 60540","3,300", No, 4, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 1.4% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/90-Quail-Hollow-Ct-Naperville-IL-60540/4537264_zpid/,,For Sale
29,Townhouse,2020,Gas,Central,2 spaces,No Data,$195,"$303,610","4407 Monroe Ct LOT 10.03, Naperville, IL 60564","1,555", Yes, 2, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will increase 0.7% (↑) in the next year.This home is valued 29.6% lower (↓) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/4407-Monroe-Ct-LOT-10-03-Naperville-IL-60564/2077677083_zpid/,,For Sale
30,Townhouse,2019,"Forced air, Gas",Central,2 spaces,No Data,$202,"$529,900","908 Coletta Cir, Naperville, IL 60563","2,629", No, 4, 4, 3, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60563 will rise 0.9% (↑) in the next year.This home is valued 64.9% higher (↑) than the median home in 60563.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/908-Coletta-Cir-Naperville-IL-60563/2088082906_zpid/,,For Sale
31,Townhouse,2013,"Forced air, Gas",Central,2 spaces,"1,306 sqft",$182,"$324,900","2640 Dunraven Ave, Naperville, IL 60540","1,783", No, 2, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 21.4% lower (↓) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/2640-Dunraven-Ave-Naperville-IL-60540/111938324_zpid/,,For Sale
32,Single Family,2020,No Data,No Data,2 spaces,No Data,$177,"$459,990","Buildable plan: Mercer, Wagner Farms, Naperville, IL 60564",, Yes, 3, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will rise 0.7% (↑) in the next year.This home is valued 6.7% higher (↑) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/community/wagner-farms/2083326194_zpid/,,For Sale
33,Townhouse,No Data,No Data,No Data,2 spaces,No Data,$139,"$277,990","Buildable plan: Foster, Emerson Park, Naperville, IL 60564",, Yes, 2, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will increase 0.7% (↑) in the next year.This home is valued 35.5% lower (↓) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/community/emerson-park/2093088003_zpid/,,For Sale
34,Single Family,1990,Forced air,No Data,2 spaces,No Data,$218,"$460,000","3240 Barnes Ln, Naperville, IL 60564","2,108", No, 4, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Ashbury will rise 0.7% (↑) in the next year.This home is valued 6.7% higher (↑) than the median home in Ashbury.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/3240-Barnes-Ln-Naperville-IL-60564/5369867_zpid/,$50/month,For Sale
35,Single Family,1980,Forced air,Central,2 spaces,0.27 acres,$230,"$795,000","1097 Onwentsia Ct, Naperville, IL 60563","3,464", No, 4, 5, 4, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Cress Creek Commons will rise 0.9% (↑) in the next year.This home is valued 147.4% higher (↑) than the median home in Cress Creek Commons.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/1097-Onwentsia-Ct-Naperville-IL-60563/4503670_zpid/,$41/month,For Sale
36,Townhouse,2020,"Forced air, Gas",Central,2 spaces,No Data,$190,"$388,225","2943 Reflection Dr, Naperville, IL 60564",, Yes, 3, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will rise 0.7% (↑) in the next year.This home is valued 10% lower (↓) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/2943-Reflection-Dr-Naperville-IL-60564/2077693436_zpid/,,For Sale
37,Townhouse,2020,Forced air,Central,2 spaces,No Data,$202,"$452,480","3117 Anna Marie Ln, Naperville, IL 60564",, Yes, 3, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will rise 0.7% (↑) in the next year.This home is valued 4.9% higher (↑) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/3117-Anna-Marie-Ln-Naperville-IL-60564/2077693708_zpid/,$250/month,For Sale
38,Single Family,1988,"Forced air, Gas",Central,2 spaces,"8,712 sqft",$181,"$499,900","1904 Slippery Rock Rd, Naperville, IL 60565","2,758", No, 4, 3, 3,,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in University Heights will increase 1.2% (↑) in the next year.This home is valued 26.1% higher (↑) than the median home in University Heights.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/1904-Slippery-Rock-Rd-Naperville-IL-60565/4554498_zpid/,,For Sale
39,Condo,1979,Other,Wall,2 spaces,,$129,"$154,700","1049 W Ogden Ave APT 317, Naperville, IL 60563","1,200", No, 2, 2, 2,,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Cress Creek will increase 0.9% (↑) in the next year.This home is valued 51.9% lower (↓) than the median home in Cress Creek.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/1049-W-Ogden-Ave-APT-317-Naperville-IL-60563/4504040_zpid/,$453/month,For Sale
40,Single Family,2010,Forced air,Central,2 spaces,No Data,$213,"$449,900","2919 Raleigh Ct, Naperville, IL 60564","2,113", No, 2, 2, 2,,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Carillon Club will increase 0.7% (↑) in the next year.This home is valued 4.3% higher (↑) than the median home in Carillon Club.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/2919-Raleigh-Ct-Naperville-IL-60564/82635718_zpid/,$252/month,For Sale
41,Single Family,1985,Forced air,Central,2 spaces,"10,018 sqft",$120,"$439,900","1139 Lakeside Ct, Naperville, IL 60564","3,668", No, 4, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Brook Crossings will rise 0.7% (↑) in the next year.This home is valued 2% higher (↑) than the median home in Brook Crossings.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/1139-Lakeside-Ct-Naperville-IL-60564/5366842_zpid/,None,For Sale
42,Townhouse,No Data,No Data,No Data,2 spaces,No Data,$161,"$298,990","Buildable plan: Diversey, Emerson Park, Naperville, IL 60564",, Yes, 2, 2, 2,,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will increase 0.7% (↑) in the next year.This home is valued 30.7% lower (↓) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/community/emerson-park/2093088008_zpid/,,For Sale
43,Single Family,2000,No Data,No Data,No Data,"6,969 sqft",,"$392,936","844 N Brainard St, Naperville, IL 60563","1,801", No,, 3,,,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60563 will rise 0.9% (↑) in the next year.This home is valued 22.3% higher (↑) than the median home in 60563.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/844-N-Brainard-St-Naperville-IL-60563/63771309_zpid/,,For Sale
44,Single Family,1959,Forced air,Central,2 spaces,0.31 acres,,"$259,405","342 Redbud Dr, Naperville, IL 60540","2,158", No, 3, 2, 2,,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Moser Highlands will rise 1.3% (↑) in the next year.This home is valued 37.2% lower (↓) than the median home in Moser Highlands.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/342-Redbud-Dr-Naperville-IL-60540/4513317_zpid/,None,For Sale
45,Single Family,1928,No Data,No Data,2 spaces,0.25 acres,$218,"$609,900","18 S Columbia St, Naperville, IL 60540","2,800", No, 4, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Naperville Historic District will increase 1.3% (↑) in the next year.This home is valued 47.6% higher (↑) than the median home in Naperville Historic District.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/18-S-Columbia-St-Naperville-IL-60540/4537220_zpid/,,For Sale
46,Single Family,2020,No Data,No Data,3 spaces,No Data,$201,"$389,990","Buildable plan: Ascend, Ashwood Crossing, Naperville, IL 60564",, Yes, 2, 2, 2,,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Ashwood Crossing will increase 0.7% (↑) in the next year.This home is valued 9.6% lower (↓) than the median home in Ashwood Crossing.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/community/ashwood-crossing/2088230662_zpid/,,For Sale
47,Multi Family,1980,Baseboard,No Data,10 spaces,,No Data,"$580,000","9 N Whispering Hills Dr, Naperville, IL 60540",, No, 8, 5, 4, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 40.4% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/9-N-Whispering-Hills-Dr-Naperville-IL-60540/2077706554_zpid/,,For Sale
48,Single Family,1988,"Forced air, Gas",Central,2 spaces,0.29 Acres,$180,"$349,900","25W016 Malibu Ct, Naperville, IL 60540","1,942", No, 3, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Steeple Run will rise 1.3% (↑) in the next year.This home is valued 15.3% lower (↓) than the median home in Steeple Run.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/25W016-Malibu-Ct-Naperville-IL-60540/4527965_zpid/,,For Sale
49,Townhouse,2001,Forced air,Central,2 spaces,No Data,$163,"$284,900","3317 Rosecroft Ln #3317, Naperville, IL 60564","1,750", No, 2, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Heatherstone will increase 0.7% (↑) in the next year.This home is valued 33.9% lower (↓) than the median home in Heatherstone.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/3317-Rosecroft-Ln-3317-Naperville-IL-60564/2077707561_zpid/,$314/month,For Sale
50,Single Family,1996,"Forced air, Gas",Central,3 spaces,0.40 Acres,$191,"$849,900","3647 White Eagle Dr, Naperville, IL 60564","4,447", No, 4, 7, 5, 2,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in White Eagle Club will increase 0.7% (↑) in the next year.This home is valued 97.1% higher (↑) than the median home in White Eagle Club.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/3647-White-Eagle-Dr-Naperville-IL-60564/5368026_zpid/,,For Sale
51,Townhouse,2020,No Data,No Data,2 spaces,No Data,$149,"$264,990","Buildable plan: Belmont, Emerson Park, Naperville, IL 60564",, Yes, 2, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will increase 0.7% (↑) in the next year.This home is valued 38.6% lower (↓) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/community/emerson-park/2093088007_zpid/,,For Sale
52,Single Family,1988,Forced air,Central,2 spaces,0.26 acres,$145,"$524,900","4124 Kingshill Cir, Naperville, IL 60564","3,629", No, 5, 4, 3, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in White Eagle Club will increase 0.7% (↑) in the next year.This home is valued 21.7% higher (↑) than the median home in White Eagle Club.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/4124-Kingshill-Cir-Naperville-IL-60564/4523052_zpid/,$80/month,For Sale
53,Townhouse,2020,Forced air,Central,2 spaces,No Data,$217,"$440,580","2941 Reflection Dr, Naperville, IL 60564","2,027", Yes, 3, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will rise 0.7% (↑) in the next year.This home is valued 2.2% higher (↑) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/2941-Reflection-Dr-Naperville-IL-60564/2077713829_zpid/,$250/month,For Sale
54,Townhouse,1996,"Forced air, Gas",Central,1 space,7.30 Acres,$174,"$245,000","667 Beaver Ct, Naperville, IL 60563","1,406", No, 2, 2, 1, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60563 will rise 0.9% (↑) in the next year.This home is valued 23.8% lower (↓) than the median home in 60563.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/667-Beaver-Ct-Naperville-IL-60563/4506982_zpid/,,For Sale
