,Type,Year built,Heating,Cooling,Parking,HOA,Lot,Price/sqft,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Half bathrooms
10,Condo,1972,Gas,Central,1 space,$221/mo,,$116,"$93,900","11000 Kilpatrick Ave APT 4SE, Oak Lawn, IL 60453",812, No, 2, 1, 1,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 55.4% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/11000-Kilpatrick-Ave-APT-4SE-Oak-Lawn-IL-60453/4086187_zpid/,
11,Single Family,1957,Forced air,Central,2 spaces,None,"5,823 sqft",$251,"$239,000","5718 W 88th Pl, Oak Lawn, IL 60453",954, No, 3, 2, 1,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 13.5% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/5718-W-88th-Pl-Oak-Lawn-IL-60453/4060432_zpid/, 1
12,Condo,2005,Forced air,Central,1 space,$262/month,,$155,"$214,900","5100 W 96th St APT 302, Oak Lawn, IL 60453","1,389", No, 2, 2, 2,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 2.1% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/5100-W-96th-St-APT-302-Oak-Lawn-IL-60453/87698377_zpid/,
13,Condo,1968,Electric,No Data,2 spaces,$211/mo,,$104,"$99,900","9725 S Keeler Ave APT 206, Oak Lawn, IL 60453",960, No, 2, 1, 1,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 52.6% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/9725-S-Keeler-Ave-APT-206-Oak-Lawn-IL-60453/2124821217_zpid/,
14,Condo,2004,"Forced air, Gas",Central,1 space,$285/mo,,$174,"$194,900","9440 S 51st Ave APT 308, Oak Lawn, IL 60453","1,123", No, 2, 1, 1,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 7.4% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/9440-S-51st-Ave-APT-308-Oak-Lawn-IL-60453/80828386_zpid/,
15,Condo,1979,No Data,No Data,2 spaces,$319/mo,,$110,"$169,000","4041 W 97th St APT 2N, Oak Lawn, IL 60453","1,532", No, 3, 2, 2,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 19.7% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/4041-W-97th-St-APT-2N-Oak-Lawn-IL-60453/4070786_zpid/,
16,Condo,1973,"Forced air, Gas",Central,1 space,$202/mo,,$114,"$79,900","4913 W 109th St APT 102, Oak Lawn, IL 60453",700, No, 1, 1, 1,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 62.1% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/4913-W-109th-St-APT-102-Oak-Lawn-IL-60453/2089929167_zpid/,
17,Single Family,1961,Forced air,Central,2 spaces,None,0.33 acres,$175,"$325,000","10807 S Tripp Ave, Oak Lawn, IL 60453","1,860", No, 3, 2, 2,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 54.4% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/10807-S-Tripp-Ave-Oak-Lawn-IL-60453/4086550_zpid/,
18,Single Family,1953,Forced air,None,2 spaces,None,"3,484 sqft",$308,"$207,000","9640 Nashville Ave, Oak Lawn, IL 60453",672, No, 3, 2, 2,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 1.7% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/9640-Nashville-Ave-Oak-Lawn-IL-60453/4064456_zpid/,
19,Condo,1980,"Forced air, Gas",Central,2 spaces,$242/mo,,$102,"$132,000","9126 S Pulaski Rd APT 1E, Oak Lawn, IL 60453","1,300", No, 2, 2, 2,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 37.3% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/9126-S-Pulaski-Rd-APT-1E-Oak-Lawn-IL-60453/4056729_zpid/,
20,Single Family,1966,Baseboard,Central,2 spaces,None,"3,659 sqft",$124,"$329,900","5644 W 87th Pl, Oak Lawn, IL 60453","2,650", No, 5, 2, 2,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 56.7% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/5644-W-87th-Pl-Oak-Lawn-IL-60453/4060217_zpid/,
21,Single Family,1987,Forced air,Central,2 spaces,None,"9,670 sqft",$161,"$289,000","6623 W 91st St, Oak Lawn, IL 60453","1,800", No, 4, 3, 3,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 37.3% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/6623-W-91st-St-Oak-Lawn-IL-60453/4063343_zpid/,
22,Condo,1968,Electric,No Data,No Data,No Data,,$115,"$137,500","9815 S Keeler Ave #2D, Oak Lawn, IL 60453","1,200", No, 2, 2, 2,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 34.7% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/9815-S-Keeler-Ave-2D-Oak-Lawn-IL-60453/2078026033_zpid/,
23,Single Family,1987,"Forced air, Gas",Central,8 spaces,,"5,353 sqft",$227,"$299,000","5840 W 89th Pl, Oak Lawn, IL 60453","1,318", No, 4, 2, 2,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 42% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/5840-W-89th-Pl-Oak-Lawn-IL-60453/4060646_zpid/,
24,Single Family,1975,Gas,Central,2 spaces,,"7,492 sqft",$135,"$329,900","9225 S Karlov Ave, Oak Lawn, IL 60453","2,449", No, 3, 3, 2,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 56.7% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/9225-S-Karlov-Ave-Oak-Lawn-IL-60453/4056679_zpid/, 1
25,Single Family,1947,Gas,Central,3 spaces,,"10,759 sqft",$125,"$230,000","6530 W 91st St, Oak Lawn, IL 60453","1,834", No, 3, 2, 2,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 9.2% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/6530-W-91st-St-Oak-Lawn-IL-60453/4062720_zpid/,
26,Single Family,1961,"Forced air, Gas",Central,8 spaces,,"7,315 sqft",$132,"$324,900","9908 S Kilbourn Ave, Oak Lawn, IL 60453","2,460", No, 5, 3, 2,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 54.3% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/9908-S-Kilbourn-Ave-Oak-Lawn-IL-60453/4072128_zpid/, 1
27,Single Family,1999,No Data,No Data,2 spaces,,"6,969 sqft",,"$391,993","5229 W 108th Pl, Oak Lawn, IL 60453","2,949", No, 4, 3,,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 100% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/5229-W-108th-Pl-Oak-Lawn-IL-60453/50895617_zpid/,
28,Condo,2008,Forced air,Central,1 space,$281/month,,$167,"$198,500","9530 Cook Ave UNIT 507, Oak Lawn, IL 60453","1,186", No, 2, 2, 2,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 5.7% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/9530-Cook-Ave-UNIT-507-Oak-Lawn-IL-60453/2078095754_zpid/,
29,Mobile / Manufactured,1987,Forced air,Central,3 spaces,None,,$24,"$20,000","9001 S Cicero Ave TRLR 319, Oak Lawn, IL 60453",840, No, 2, 1, 1,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 90.5% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/9001-S-Cicero-Ave-TRLR-319-Oak-Lawn-IL-60453/2111292743_zpid/,
30,Condo,1978,"Forced air, Gas",Central,2 spaces,$200/mo,,$157,"$179,000","5800 W 105th St APT 2C, Oak Lawn, IL 60453","1,140", No, 2, 2, 1,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 15% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/5800-W-105th-St-APT-2C-Oak-Lawn-IL-60453/4090385_zpid/, 1
31,Condo,1976,Gas,Central,1 space,$241/month,,$119,"$119,000","8820 Mobile Ave APT 2A, Oak Lawn, IL 60453","1,000", No, 2, 2, 2,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 43.5% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/8820-Mobile-Ave-APT-2A-Oak-Lawn-IL-60453/4059703_zpid/,
32,Condo,1960,Forced air,Other,1 space,$150/month,,$117,"$93,500","4631 W 95th St APT 2N, Oak Lawn, IL 60453",800, No, 1, 1, 1,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 55.6% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/4631-W-95th-St-APT-2N-Oak-Lawn-IL-60453/2095398778_zpid/,
33,Condo,2007,"Forced air, Gas",Central,1 space,$249/mo,,$173,"$164,999","9530 Cook Ave UNIT 204, Oak Lawn, IL 60453",955, No, 1, 2, 1,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 21.6% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/9530-Cook-Ave-UNIT-204-Oak-Lawn-IL-60453/101391426_zpid/, 1
34,Single Family,1952,Forced air,Central,2 spaces,,"6,185 sqft",$122,"$284,000","5519 W 87th St, Oak Lawn, IL 60453","2,320", No, 4, 2, 2,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 34.9% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/5519-W-87th-St-Oak-Lawn-IL-60453/4057154_zpid/,
35,Single Family,1954,"Baseboard, Forced air",Central,2 spaces,None,"8,010 sqft",$81,"$284,900","9657 Massasoit Ave, Oak Lawn, IL 60453","3,500", No, 4, 2, 1,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 35.3% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/9657-Massasoit-Ave-Oak-Lawn-IL-60453/4066060_zpid/, 1
36,Single Family,1941,"Forced air, Gas",Central,1 space,,"8,040 sqft",$80,"$299,000","9121 Monitor Ave, Oak Lawn, IL 60453","3,727", No, 5, 3, 3,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 42% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/9121-Monitor-Ave-Oak-Lawn-IL-60453/4061943_zpid/,
37,Multiple Occupancy,1990,"Forced air, Gas",Central,4 spaces,,,$120,"$299,000","4921 W 95th St, Oak Lawn, IL 60453","2,500", No, 3, 1, 1,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 42% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/4921-W-95th-St-Oak-Lawn-IL-60453/2090793223_zpid/,
38,Condo,2008,"Forced air, Gas",Central,1 space,$221/mo,,$160,"$159,900","9530 Cook Ave UNIT 211, Oak Lawn, IL 60453","1,000", No, 1, 2, 1,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 24.1% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/9530-Cook-Ave-UNIT-211-Oak-Lawn-IL-60453/101290455_zpid/, 1
39,Single Family,1999,"Other, Gas",Central,2 spaces,,"7,126 sqft",$152,"$455,000","10808 Cook Ave, Oak Lawn, IL 60453","3,000", No, 5, 4, 3,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 116.1% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/10808-Cook-Ave-Oak-Lawn-IL-60453/54541923_zpid/, 1
40,Single Family,1999,Forced air,Central,2 spaces,None,"6,873 sqft",$183,"$374,999","5241 W 108th Pl, Oak Lawn, IL 60453","2,048", No, 4, 4, 3,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 78.1% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/5241-W-108th-Pl-Oak-Lawn-IL-60453/4088199_zpid/, 1
41,Single Family,2008,Gas,Central,2 spaces,,"6,664 sqft",$163,"$479,000","9613 Oak Park Ave, Oak Lawn, IL 60453","2,946", No, 4, 4, 4,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 127.5% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/9613-Oak-Park-Ave-Oak-Lawn-IL-60453/99358941_zpid/,
42,Condo,1969,Other,Refrigeration,1 space,$278/month,,No Data,"$118,500","10324 S Pulaski Rd APT 309, Oak Lawn, IL 60453",, No, 2, 2, 2,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 43.7% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/10324-S-Pulaski-Rd-APT-309-Oak-Lawn-IL-60453/4085396_zpid/,
43,Condo,1974,Forced air,Central,1 space,$269/month,,$150,"$134,900","10002 S Pulaski Rd APT 307, Oak Lawn, IL 60453",900, No, 2, 2, 1,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 35.9% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/10002-S-Pulaski-Rd-APT-307-Oak-Lawn-IL-60453/4072503_zpid/, 1
44,Single Family,1962,Baseboard,Central,2 spaces,None,"7,370 sqft",$166,"$279,000","10313 Long Ave, Oak Lawn, IL 60453","1,677", No, 3, 2, 1,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 32.5% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/10313-Long-Ave-Oak-Lawn-IL-60453/4087100_zpid/, 1
45,Townhouse,1994,Forced air,Central,1 space,$200/month,"1,421 sqft",$126,"$207,000","11009 Jodan Dr, Oak Lawn, IL 60453","1,641", No, 2, 3, 2,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 1.7% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/11009-Jodan-Dr-Oak-Lawn-IL-60453/4088966_zpid/, 1
46,Condo,1970,Forced air,Central,1 space,$225/month,,$100,"$89,873","4825 W 109th St APT 102, Oak Lawn, IL 60453",900, No, 2, 1, 1,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 57.3% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/4825-W-109th-St-APT-102-Oak-Lawn-IL-60453/2083621262_zpid/,
47,Condo,1973,Other,Wall,No Data,$244/month,,,"$84,266","4929 W 87th St APT 1NE, Oak Lawn, IL 60453",746, No, 1, 1,,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 60% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/4929-W-87th-St-APT-1NE-Oak-Lawn-IL-60453/49909381_zpid/,
48,Single Family,1913,Baseboard,No Data,8 spaces,,"8,886 sqft",$86,"$175,000","10048 S Kostner Ave, Oak Lawn, IL 60453","2,042", No, 3, 2, 1,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will rise 1.3% (↑) in the next year.This home is valued 16.9% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/10048-S-Kostner-Ave-Oak-Lawn-IL-60453/4072026_zpid/, 1
49,Apartment,2005,Forced air,Other,1 space,$255/month,,$157,"$219,900","9440 S 51st Ave APT 309, Oak Lawn, IL 60453","1,400", No, 3, 2, 2,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 4.4% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/9440-S-51st-Ave-APT-309-Oak-Lawn-IL-60453/80853239_zpid/,
50,Condo,1970,"Forced air, Gas",Central,1 space,$258/mo,,$111,"$100,000","10720 Kilpatrick Ave APT 303, Oak Lawn, IL 60453",900, No, 2, 2, 1,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 52.5% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/10720-Kilpatrick-Ave-APT-303-Oak-Lawn-IL-60453/4085675_zpid/, 1
51,Condo,1977,Forced air,Central,1 space,$239/month,,$112,"$122,900","9905 Ridgeland Ave #1, Oak Lawn, IL 60453","1,100", No, 3, 2, 1,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 41.6% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/9905-Ridgeland-Ave-1-Oak-Lawn-IL-60453/89905411_zpid/, 1
52,Single Family,1959,"Baseboard, Forced air, Electric, Gas",Central,4 spaces,,"7,315 sqft",$148,"$369,900","10916 S Kolmar Ave, Oak Lawn, IL 60453","2,500", No, 4, 2, 2,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 75.7% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/10916-S-Kolmar-Ave-Oak-Lawn-IL-60453/4086444_zpid/,
53,Single Family,1941,Forced air,No Data,2 spaces,,"3,750 sqft",$151,"$169,900","10005 Melvina Ave, Oak Lawn, IL 60453","1,126", No, 3, 2, 1,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 19.3% lower (↓) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/10005-Melvina-Ave-Oak-Lawn-IL-60453/4066650_zpid/, 1
54,Single Family,2005,Gas,Central,2 spaces,None,"5,610 sqft",$157,"$409,900","9730 Merrimac Ave, Oak Lawn, IL 60453","2,604", No, 4, 3, 2,"Home values in 60453 have risen 1.3 % (↑) over the past 12 months.Zillow predicts the home values in 60453 will increase 1.3% (↑) in the next year.This home is valued 94.7% higher (↑) than the median home in 60453.The median Zestimate® for this neighborhood is $210,544.",https://www.zillow.com/homedetails/9730-Merrimac-Ave-Oak-Lawn-IL-60453/70478766_zpid/, 1
