,Type,Year built,Heating,Cooling,Parking,Lot,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Half bathrooms,HOA,zip,median_nhv,location,Parking_Binned,address_clean
22,Single Family,1875.0,"Other, Electric, Gas, Wood / Pellet",Other,,50529.6,9400000.0,"1494 S 1000 W, Salt Lake City, UT 84104",2340.0, No,3.0,1.0,1.0,"Home values in Glendale have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in Glendale will increase 7.8% (↑) in the next year.This home is valued 3315.1% higher (↑) than the median home in Glendale.The median Zestimate® for this neighborhood is $275,245.",https://www.zillow.com/homedetails/1494-S-1000-W-Salt-Lake-City-UT-84104/12740905_zpid/,0,Yes,84104,275245.0,Salt Lake City,No,"1494 S 1000 W, Salt Lake City, UT 84104"
23,Condo,1964.0,"Heat pump, Other",Central,1 space,,180000.0,"2220 E Murray Holladay Rd APT 108, Holladay, UT 84117",731.0, No,1.0,1.0,1.0,"Home values in 84117 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84117 will rise 3.4% (↑) in the next year.This home is valued 62.1% lower (↓) than the median home in 84117.The median Zestimate® for this neighborhood is $474,747.",https://www.zillow.com/homedetails/2220-E-Murray-Holladay-Rd-APT-108-Holladay-UT-84117/12860547_zpid/,0,No,84117,474747.0,Holladay,Yes,2220 E Murray Holladay Rd Holladay UT 84117
24,Single Family,1913.0,Other,None,2 spaces,10890.0,349000.0,"8553 S 100 E, Sandy, UT 84070",984.0, No,2.0,1.0,1.0,"Home values in 84070 have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in 84070 will rise 5.3% (↑) in the next year.This home is valued 1.7% lower (↓) than the median home in 84070.The median Zestimate® for this neighborhood is $355,188.",https://www.zillow.com/homedetails/8553-S-100-E-Sandy-UT-84070/12881733_zpid/,0,Yes,84070,355188.0,Sandy,Yes,"8553 S 100 E, Sandy, UT 84070"
25,Single Family,1952.0,Forced air,Central,2 spaces,7840.0,315000.0,"8770 W 3150 S, Magna, UT 84044",1928.0, No,5.0,2.0,2.0,"Home values in 84044 have risen 5.6 % (↑) over the past 12 months.Zillow predicts the home values in 84044 will increase 5.5% (↑) in the next year.This home is valued 11.9% higher (↑) than the median home in 84044.The median Zestimate® for this neighborhood is $281,589.",https://www.zillow.com/homedetails/8770-W-3150-S-Magna-UT-84044/12727023_zpid/,0,Yes,84044,281589.0,Magna,Yes,"8770 W 3150 S, Magna, UT 84044"
26,Single Family,1916.0,Other,Central,1 space,4356.0,350000.0,"378 E Harrison Ave, Salt Lake City, UT 84115",1264.0, No,2.0,2.0,2.0,"Home values in Liberty Wells have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in Liberty Wells will increase 5.9% (↑) in the next year.This home is valued 8.4% lower (↓) than the median home in Liberty Wells.The median Zestimate® for this neighborhood is $382,242.",https://www.zillow.com/homedetails/378-E-Harrison-Ave-Salt-Lake-City-UT-84115/12771623_zpid/,0,Yes,84115,382242.0,Salt Lake City,Yes,"378 E Harrison Ave, Salt Lake City, UT 84115"
27,Single Family,1949.0,"Forced air, Gas","Central, Evaporative",3 spaces,10018.0,799900.0,"3136 S 2900 E, Salt Lake City, UT 84109",4594.0, No,4.0,3.0,3.0,"Home values in Canyon Rim have risen 3.8 % (↑) over the past 12 months.Zillow predicts the home values in Canyon Rim will increase 2.3% (↑) in the next year.This home is valued 66.1% higher (↑) than the median home in Canyon Rim.The median Zestimate® for this neighborhood is $481,438.",https://www.zillow.com/homedetails/3136-S-2900-E-Salt-Lake-City-UT-84109/12780978_zpid/,0,Yes,84109,481438.0,Salt Lake City,Yes,"3136 S 2900 E, Salt Lake City, UT 84109"
28,Condo,1978.0,Forced air,None,,,169900.0,"4629 S Quail Vista Cv E #J, Salt Lake City, UT 84117",680.0, No,1.0,1.0,1.0,"Home values in 84117 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84117 will rise 3.4% (↑) in the next year.This home is valued 64.2% lower (↓) than the median home in 84117.The median Zestimate® for this neighborhood is $474,747.",https://www.zillow.com/homedetails/4629-S-Quail-Vista-Cv-E-J-Salt-Lake-City-UT-84117/2077541577_zpid/,0,Yes,84117,474747.0,Salt Lake City,No,4629 S Quail Vista Cv E Salt Lake City UT 84117
29,Townhouse,2005.0,Other,Central,,1306.0,330000.0,"102 E 7320 S, Midvale, UT 84047",2015.0, No,3.0,3.0,0.0,"Home values in 84047 have risen 4.5 % (↑) over the past 12 months.Zillow predicts the home values in 84047 will rise 4.8% (↑) in the next year.This home is valued 1% lower (↓) than the median home in 84047.The median Zestimate® for this neighborhood is $333,183.",https://www.zillow.com/homedetails/102-E-7320-S-Midvale-UT-84047/65730465_zpid/,0,Yes,84047,333183.0,Midvale,No,"102 E 7320 S, Midvale, UT 84047"
30,Condo,2008.0,Other,Central,1 space,,230000.0,"10734 S Topview Rd, South Jordan, UT 84009",1181.0, No,2.0,2.0,2.0,"Home values in 84009 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84009 will rise 3.6% (↑) in the next year.This home is valued 46.4% lower (↓) than the median home in 84009.The median Zestimate® for this neighborhood is $428,858.",https://www.zillow.com/homedetails/10734-S-Topview-Rd-South-Jordan-UT-84009/89420920_zpid/,0,No,84009,428858.0,South Jordan,Yes,"10734 S Topview Rd, South Jordan, UT 84009"
31,Single Family,1984.0,Other,None,1 space,4791.0,374900.0,"1448 W Countrywood Ln, West Jordan, UT 84088",2202.0, No,6.0,3.0,3.0,"Home values in 84088 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84088 will increase 5.2% (↑) in the next year.This home is valued 1.1% lower (↓) than the median home in 84088.The median Zestimate® for this neighborhood is $378,893.",https://www.zillow.com/homedetails/1448-W-Countrywood-Ln-West-Jordan-UT-84088/12891570_zpid/,0,Yes,84088,378893.0,West Jordan,Yes,"1448 W Countrywood Ln, West Jordan, UT 84088"
32,Townhouse,2019.0,,None,2 spaces,1742.0,350000.0,"5191 W Copeland Dr, Herriman, UT 84096",2320.0, No,3.0,3.0,2.0,"Home values in 84096 have risen 3.4 % (↑) over the past 12 months.Zillow predicts the home values in 84096 will rise 3.6% (↑) in the next year.This home is valued 20.1% lower (↓) than the median home in 84096.The median Zestimate® for this neighborhood is $437,903.",https://www.zillow.com/homedetails/5191-W-Copeland-Dr-Herriman-UT-84096/2077542108_zpid/,1,Yes,84096,437903.0,Herriman,Yes,"5191 W Copeland Dr, Herriman, UT 84096"
33,Single Family,1983.0,Other,Central,2 spaces,12632.4,381999.0,"3853 W 8890 S, West Jordan, UT 84088",2132.0, No,5.0,2.0,2.0,"Home values in 84088 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84088 will rise 5.2% (↑) in the next year.This home is valued 0.8% higher (↑) than the median home in 84088.The median Zestimate® for this neighborhood is $378,893.",https://www.zillow.com/homedetails/3853-W-8890-S-West-Jordan-UT-84088/12892617_zpid/,0,Yes,84088,378893.0,West Jordan,Yes,"3853 W 8890 S, West Jordan, UT 84088"
34,Townhouse,2020.0,,None,2 spaces,1306.0,369900.0,"11003 S Lake Run Rd W #229, South Jordan, UT 84009",1741.0, Yes,3.0,3.0,2.0,"Home values in 84009 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84009 will increase 3.6% (↑) in the next year.This home is valued 13.7% lower (↓) than the median home in 84009.The median Zestimate® for this neighborhood is $428,858.",https://www.zillow.com/homedetails/11003-S-Lake-Run-Rd-W-229-South-Jordan-UT-84009/2077542722_zpid/,1,Yes,84009,428858.0,South Jordan,Yes,11003 S Lake Run Rd W South Jordan UT 84009
35,Single Family,2013.0,Other,Central,3 spaces,6534.0,545000.0,"14311 S Attleboro Dr, Herriman, UT 84096",3323.0, No,5.0,3.0,2.0,"Home values in 84096 have risen 3.4 % (↑) over the past 12 months.Zillow predicts the home values in 84096 will rise 3.6% (↑) in the next year.This home is valued 24.5% higher (↑) than the median home in 84096.The median Zestimate® for this neighborhood is $437,903.",https://www.zillow.com/homedetails/14311-S-Attleboro-Dr-Herriman-UT-84096/119547746_zpid/,1,Yes,84096,437903.0,Herriman,Yes,"14311 S Attleboro Dr, Herriman, UT 84096"
36,Condo,2011.0,,None,1 space,,315000.0,"170 E Belmont Ave #B-8, Salt Lake City, UT 84111",1254.0, No,3.0,2.0,2.0,"Home values in Central City-Liberty Wells have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in Central City-Liberty Wells will rise 7% (↑) in the next year.This home is valued 16.1% lower (↓) than the median home in Central City-Liberty Wells.The median Zestimate® for this neighborhood is $375,558.",https://www.zillow.com/homedetails/170-E-Belmont-Ave-B-8-Salt-Lake-City-UT-84111/2077543018_zpid/,0,No,84111,375558.0,Salt Lake City,Yes,170 E Belmont Ave Salt Lake City UT 84111
37,Single Family,2004.0,"Forced air, Gas",Central,4 spaces,10018.0,460000.0,"13972 S Curry Peak Cir, Herriman, UT 84096",3101.0, No,5.0,2.0,2.0,"Home values in 84096 have risen 3.4 % (↑) over the past 12 months.Zillow predicts the home values in 84096 will increase 3.6% (↑) in the next year.This home is valued 5% higher (↑) than the median home in 84096.The median Zestimate® for this neighborhood is $437,903.",https://www.zillow.com/homedetails/13972-S-Curry-Peak-Cir-Herriman-UT-84096/61172684_zpid/,0,Yes,84096,437903.0,Herriman,Yes,"13972 S Curry Peak Cir, Herriman, UT 84096"
38,Single Family,1993.0,"Forced air, Gas",Central,2 spaces,6534.0,350000.0,"5525 W Shadberry Cir, West Jordan, UT 84081",1789.0, No,4.0,2.0,2.0,"Home values in 84081 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84081 will rise 5.1% (↑) in the next year.This home is valued 9.3% lower (↓) than the median home in 84081.The median Zestimate® for this neighborhood is $385,804.",https://www.zillow.com/homedetails/5525-W-Shadberry-Cir-West-Jordan-UT-84081/12806895_zpid/,0,Yes,84081,385804.0,West Jordan,Yes,"5525 W Shadberry Cir, West Jordan, UT 84081"
39,Single Family,1987.0,Other,Central,1 space,5662.0,289900.0,"3947 W Marlis Cir, Taylorsville, UT 84129",1406.0, No,2.0,2.0,1.0,"Home values in 84129 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84129 will increase 5.7% (↑) in the next year.This home is valued 11.2% lower (↓) than the median home in 84129.The median Zestimate® for this neighborhood is $326,516.",https://www.zillow.com/homedetails/3947-W-Marlis-Cir-Taylorsville-UT-84129/12831141_zpid/,1,Yes,84129,326516.0,Taylorsville,Yes,"3947 W Marlis Cir, Taylorsville, UT 84129"
40,Single Family,1992.0,Forced air,Central,,7405.0,370000.0,"2177 N Sunset Dr, Lehi, UT 84043",1737.0, No,4.0,2.0,0.0,"Home values in 84043 have risen 4.9 % (↑) over the past 12 months.Zillow predicts the home values in 84043 will increase 4.9% (↑) in the next year.This home is valued 5.7% lower (↓) than the median home in 84043.The median Zestimate® for this neighborhood is $392,315.",https://www.zillow.com/homedetails/2177-N-Sunset-Dr-Lehi-UT-84043/11950222_zpid/,0,Yes,84043,392315.0,Lehi,No,"2177 N Sunset Dr, Lehi, UT 84043"
41,Townhouse,2015.0,"Forced air, Other",Central,2 spaces,1306.0,299900.0,"5293 W Canonbury Ln, West Valley, UT 84120",2000.0, No,3.0,3.0,0.0,"Home values in 84120 have risen 5.8 % (↑) over the past 12 months.Zillow predicts the home values in Highbury will increase 5.7% (↑) in the next year.This home is valued 2% lower (↓) than the median home in Highbury.The median Zestimate® for this neighborhood is $306,114.",https://www.zillow.com/homedetails/5293-W-Canonbury-Ln-West-Valley-UT-84120/145678193_zpid/,0,Yes,84120,306114.0,West Valley,Yes,"5293 W Canonbury Ln, West Valley, UT 84120"
42,Condo,2002.0,,None,1 space,,334000.0,"4988 S Timber Way UNIT 208, Salt Lake City, UT 84117",1424.0, No,3.0,2.0,2.0,"Home values in 84117 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84117 will increase 3.4% (↑) in the next year.This home is valued 29.6% lower (↓) than the median home in 84117.The median Zestimate® for this neighborhood is $474,747.",https://www.zillow.com/homedetails/4988-S-Timber-Way-UNIT-208-Salt-Lake-City-UT-84117/2077544344_zpid/,0,No,84117,474747.0,Salt Lake City,Yes,4988 S Timber Way Salt Lake City UT 84117
43,Condo,2002.0,,None,1 space,,235000.0,"1646 W Vivante Way S #B8, West Valley City, UT 84119",1163.0, No,3.0,2.0,2.0,"Home values in 84119 have risen 5.8 % (↑) over the past 12 months.Zillow predicts the home values in 84119 will rise 5.9% (↑) in the next year.This home is valued 20% lower (↓) than the median home in 84119.The median Zestimate® for this neighborhood is $293,648.",https://www.zillow.com/homedetails/1646-W-Vivante-Way-S-B8-West-Valley-City-UT-84119/2077544396_zpid/,0,No,84119,293648.0,West Valley City,Yes,1646 W Vivante Way S West Valley City UT 84119
44,Single Family,1958.0,Other,None,1 space,6534.0,259000.0,"3096 W Appleton Dr, West Valley, UT 84119",976.0, No,3.0,1.0,1.0,"Home values in 84119 have risen 5.8 % (↑) over the past 12 months.Zillow predicts the home values in 84119 will rise 5.9% (↑) in the next year.This home is valued 11.8% lower (↓) than the median home in 84119.The median Zestimate® for this neighborhood is $293,648.",https://www.zillow.com/homedetails/3096-W-Appleton-Dr-West-Valley-UT-84119/12743148_zpid/,0,Yes,84119,293648.0,West Valley,Yes,"3096 W Appleton Dr, West Valley, UT 84119"
45,Single Family,1994.0,"Other, Gas",Central,,14810.4,530000.0,"2952 W Southpointe Rd, South Jordan, UT 84095",3280.0, No,7.0,3.0,3.0,"Home values in 84095 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84095 will increase 3.7% (↑) in the next year.This home is valued 1.9% higher (↑) than the median home in 84095.The median Zestimate® for this neighborhood is $520,177.",https://www.zillow.com/homedetails/2952-W-Southpointe-Rd-South-Jordan-UT-84095/12896414_zpid/,0,Yes,84095,520177.0,South Jordan,No,"2952 W Southpointe Rd, South Jordan, UT 84095"
46,Single Family,2018.0,Forced air,None,,3049.0,355000.0,"6827 W Pomona Ct S, West Jordan, UT 84081",2334.0, No,3.0,3.0,2.0,"Home values in 84081 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84081 will rise 5.1% (↑) in the next year.This home is valued 8% lower (↓) than the median home in 84081.The median Zestimate® for this neighborhood is $385,804.",https://www.zillow.com/homedetails/6827-W-Pomona-Ct-S-West-Jordan-UT-84081/2077545635_zpid/,1,Yes,84081,385804.0,West Jordan,No,"6827 W Pomona Ct S, West Jordan, UT 84081"
47,Single Family,1919.0,Other,None,,6969.0,340000.0,"2327 S 600 E, Salt Lake City, UT 84106",1654.0, No,2.0,1.0,1.0,"Home values in Sugar House have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in Sugar House will increase 4.5% (↑) in the next year.This home is valued 27.4% lower (↓) than the median home in Sugar House.The median Zestimate® for this neighborhood is $468,204.",https://www.zillow.com/homedetails/2327-S-600-E-Salt-Lake-City-UT-84106/12774305_zpid/,0,Yes,84106,468204.0,Salt Lake City,No,"2327 S 600 E, Salt Lake City, UT 84106"
48,Single Family,1953.0,"Forced air, Gas",None,,6098.0,340000.0,"350 E Vidas Ave, South Salt Lake, UT 84115",1038.0, No,3.0,1.0,1.0,"Home values in 84115 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84115 will increase 6.3% (↑) in the next year.This home is valued 4.9% higher (↑) than the median home in 84115.The median Zestimate® for this neighborhood is $324,148.",https://www.zillow.com/homedetails/350-E-Vidas-Ave-South-Salt-Lake-UT-84115/12774826_zpid/,0,Yes,84115,324148.0,South Salt Lake,No,"350 E Vidas Ave, South Salt Lake, UT 84115"
49,Single Family,2003.0,Other,Central,2 spaces,3920.0,365000.0,"5682 W Cliffhaven Ln, West Valley, UT 84128",2715.0, No,3.0,3.0,2.0,"Home values in 84128 have risen 5.8 % (↑) over the past 12 months.Zillow predicts the home values in 84128 will increase 6.4% (↑) in the next year.This home is valued 13.1% higher (↑) than the median home in 84128.The median Zestimate® for this neighborhood is $322,819.",https://www.zillow.com/homedetails/5682-W-Cliffhaven-Ln-West-Valley-UT-84128/83822740_zpid/,1,Yes,84128,322819.0,West Valley,Yes,"5682 W Cliffhaven Ln, West Valley, UT 84128"
