,Type,Year built,Heating,Cooling,Parking,HOA,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Half bathrooms,zip,median_nhv,Parking_Binned,cool_temp,Bathrooms_adj
10,Condo,1954.0,Gas,None,1 space,No,145000.0,"4968 N Menard Ave APT 204, Chicago, IL 60630",700.0, No,2.0,1.0,1.0,"Home values in Jefferson Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Jefferson Park will decrease 2.4% (↓) in the next year.This home is valued 52.2% lower (↓) than the median home in Jefferson Park.The median Zestimate® for this neighborhood is $303,165.",https://www.zillow.com/homedetails/4968-N-Menard-Ave-APT-204-Chicago-IL-60630/3635483_zpid/,0,60630,152450.0,Yes,None,0.0
11,Condo,1974.0,Forced air,Central,Attached Garage,Yes,279000.0,"2650 N Lakeview Ave APT 806, Chicago, IL 60614",800.0, No,1.0,1.0,1.0,"Home values in Lincoln Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Lincoln Park will decrease 0.8% (↓) in the next year.This home is valued 49.5% lower (↓) than the median home in Lincoln Park.The median Zestimate® for this neighborhood is $552,789.",https://www.zillow.com/homedetails/2650-N-Lakeview-Ave-APT-806-Chicago-IL-60614/3726204_zpid/,0,60614,575000.0,Yes,Central,0.0
12,Condo,1987.0,Forced air,Central,1 space,No,420000.0,"3660 N Lake Shore Dr APT 1901, Chicago, IL 60613",1250.0, No,2.0,2.0,2.0,"Home values in Lake View East have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Lake View East will decrease 0.6% (↓) in the next year.This home is valued 33.1% higher (↑) than the median home in Lake View East.The median Zestimate® for this neighborhood is $315,541.",https://www.zillow.com/homedetails/3660-N-Lake-Shore-Dr-APT-1901-Chicago-IL-60613/60201343_zpid/,0,60613,331950.0,Yes,Central,0.0
13,Condo,1960.0,Forced air,None,1 space,No,495000.0,"1550 N Lake Shore Dr APT 12B, Chicago, IL 60610",1506.0, No,2.0,2.0,2.0,"Home values in Gold Coast have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Gold Coast will decrease 2% (↓) in the next year.This home is valued 7% lower (↓) than the median home in Gold Coast.The median Zestimate® for this neighborhood is $532,399.",https://www.zillow.com/homedetails/1550-N-Lake-Shore-Dr-APT-12B-Chicago-IL-60610/3843166_zpid/,0,60610,299900.0,Yes,None,0.0
14,Condo,2001.0,"Forced air, Gas",Central,1 space,No,239000.0,"1500 W Monroe St UNIT 518, Chicago, IL 60607",950.0, No,1.0,1.0,1.0,"Home values in Near West Side have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Near West Side will increase 1.8% (↑) in the next year.This home is valued 43.2% lower (↓) than the median home in Near West Side.The median Zestimate® for this neighborhood is $420,759.",https://www.zillow.com/homedetails/1500-W-Monroe-St-UNIT-518-Chicago-IL-60607/70473264_zpid/,0,60607,562450.0,Yes,Central,0.0
15,Condo,1967.0,"Forced air, Gas",Central,2 spaces,No,210000.0,"6833 N Kedzie Ave APT 616, Chicago, IL 60645",1900.0, No,3.0,2.0,2.0,"Home values in West Rogers Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in West Rogers Park will increase 1.7% (↑) in the next year.This home is valued 30.9% lower (↓) than the median home in West Rogers Park.The median Zestimate® for this neighborhood is $303,895.",https://www.zillow.com/homedetails/6833-N-Kedzie-Ave-APT-616-Chicago-IL-60645/3560843_zpid/,0,60645,204950.0,Yes,Central,0.0
16,Single Family,1920.0,Gas,Central,2 spaces,Yes,270000.0,"3409 N Natchez Ave, Chicago, IL 60634",1720.0, No,3.0,2.0,2.0,"Home values in Schorsch Village have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Schorsch Village will fall 3.8% (↓) in the next year.This home is valued 4.5% lower (↓) than the median home in Schorsch Village.The median Zestimate® for this neighborhood is $282,834.",https://www.zillow.com/homedetails/3409-N-Natchez-Ave-Chicago-IL-60634/3657993_zpid/,0,60634,339950.0,Yes,Central,0.0
17,Condo,1969.0,"Baseboard, Heat pump, Electric",Central,2 spaces,No,410000.0,"6007 N Sheridan Rd APT 8A, Chicago, IL 60660",1704.0, No,2.0,2.0,2.0,"Home values in Edgewater have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Edgewater will increase 1.3% (↑) in the next year.This home is valued 69.3% higher (↑) than the median home in Edgewater.The median Zestimate® for this neighborhood is $242,192.",https://www.zillow.com/homedetails/6007-N-Sheridan-Rd-APT-8A-Chicago-IL-60660/3692216_zpid/,0,60660,269900.0,Yes,Central,0.0
18,Condo,1927.0,,None,,No,135000.0,"6509 N Mozart St #1A, Chicago, IL 60645",800.0, No,1.0,1.0,1.0,"Home values in West Rogers Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in West Rogers Park will rise 1.7% (↑) in the next year.This home is valued 55.6% lower (↓) than the median home in West Rogers Park.The median Zestimate® for this neighborhood is $303,895.",https://www.zillow.com/homedetails/6509-N-Mozart-St-1A-Chicago-IL-60645/2077600554_zpid/,0,60645,204950.0,No,None,0.0
19,Single Family,1955.0,"Forced air, Gas",Central,2 spaces,Yes,171900.0,"4744 W 83rd Pl, Chicago, IL 60652",998.0, No,3.0,1.0,1.0,"Home values in Scottsdale have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Scottsdale will rise 3.9% (↑) in the next year.This home is valued 15.8% lower (↓) than the median home in Scottsdale.The median Zestimate® for this neighborhood is $204,139.",https://www.zillow.com/homedetails/4744-W-83rd-Pl-Chicago-IL-60652/2077600594_zpid/,0,60652,189900.0,Yes,Central,0.0
20,Single Family,1885.0,Forced air,Central,3 spaces,Yes,299900.0,"210 S Troy St, Chicago, IL 60612",1900.0, No,4.0,3.0,2.0,"Home values in East Garfield Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in East Garfield Park will increase 8.8% (↑) in the next year.This home is valued 87.3% higher (↑) than the median home in East Garfield Park.The median Zestimate® for this neighborhood is $160,150.",https://www.zillow.com/homedetails/210-S-Troy-St-Chicago-IL-60612/2142580631_zpid/,1,60612,472450.0,Yes,Central,1.0
21,Condo,2008.0,Forced air,Central,1 space,No,315000.0,"3637 N Spaulding Ave APT 208, Chicago, IL 60618",1064.0, No,2.0,2.0,2.0,"Home values in Irving Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Irving Park will fall 1.1% (↓) in the next year.This home is valued 21.5% lower (↓) than the median home in Irving Park.The median Zestimate® for this neighborhood is $401,421.",https://www.zillow.com/homedetails/3637-N-Spaulding-Ave-APT-208-Chicago-IL-60618/89938736_zpid/,0,60618,295000.0,Yes,Central,0.0
22,Condo,1902.0,"Forced air, Gas",Central,1 space,No,389000.0,"809 N Racine Ave UNIT 204, Chicago, IL 60642",1200.0, No,1.0,2.0,1.0,"Home values in Goose Island have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Goose Island will decrease 0.6% (↓) in the next year.This home is valued 16.2% lower (↓) than the median home in Goose Island.The median Zestimate® for this neighborhood is $463,950.",https://www.zillow.com/homedetails/809-N-Racine-Ave-UNIT-204-Chicago-IL-60642/3859599_zpid/,1,60642,424900.0,Yes,Central,1.0
23,Multi Family,1890.0,Forced air,Central,2 spaces,Yes,499900.0,"3618 S Wood St, Chicago, IL 60609",, No,5.0,4.0,4.0,"Home values in McKinley Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in McKinley Park will decrease 2.5% (↓) in the next year.This home is valued 110.1% higher (↑) than the median home in McKinley Park.The median Zestimate® for this neighborhood is $237,941.",https://www.zillow.com/homedetails/3618-S-Wood-St-Chicago-IL-60609/2080512429_zpid/,0,60609,241500.0,Yes,Central,0.0
24,Condo,2004.0,Forced air,Central,1 space,No,525000.0,"125 E 13th St UNIT 1009, Chicago, IL 60605",1100.0, No,3.0,2.0,2.0,"Home values in South Loop have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in South Loop will rise 3.2% (↑) in the next year.This home is valued 39.3% higher (↑) than the median home in South Loop.The median Zestimate® for this neighborhood is $376,901.",https://www.zillow.com/homedetails/125-E-13th-St-UNIT-1009-Chicago-IL-60605/70474756_zpid/,0,60605,465000.0,Yes,Central,0.0
25,Single Family,1949.0,"Forced air, Gas",Central,2 spaces,Yes,234900.0,"3642 W 87th St, Chicago, IL 60652",1584.0, No,4.0,2.0,2.0,"Home values in Parkview have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Parkview will rise 4.1% (↑) in the next year.This home is valued 30.1% higher (↑) than the median home in Parkview.The median Zestimate® for this neighborhood is $180,520.",https://www.zillow.com/homedetails/3642-W-87th-St-Chicago-IL-60652/3976338_zpid/,0,60652,189900.0,Yes,Central,0.0
26,Single Family,1918.0,"Baseboard, Gas",None,2 spaces,Yes,225000.0,"4951 N Mcvicker Ave, Chicago, IL 60630",1328.0, No,4.0,2.0,2.0,"Home values in Jefferson Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Jefferson Park will fall 2.4% (↓) in the next year.This home is valued 25.8% lower (↓) than the median home in Jefferson Park.The median Zestimate® for this neighborhood is $303,165.",https://www.zillow.com/homedetails/4951-N-Mcvicker-Ave-Chicago-IL-60630/3634836_zpid/,0,60630,450000.0,Yes,None,0.0
27,Single Family,1918.0,"Forced air, Gas",Central,2 spaces,Yes,234900.0,"8051 S Elizabeth St, Chicago, IL 60620",1104.0, No,5.0,3.0,3.0,"Home values in Gresham have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Gresham will decrease 3.6% (↓) in the next year.This home is valued 86.3% higher (↑) than the median home in Gresham.The median Zestimate® for this neighborhood is $126,118.",https://www.zillow.com/homedetails/8051-S-Elizabeth-St-Chicago-IL-60620/4014639_zpid/,0,60620,152000.0,Yes,Central,0.0
28,Condo,1962.0,,None,1 space,No,350000.0,"4250 N Marine Dr APT 1701, Chicago, IL 60613",1450.0, No,2.0,2.0,2.0,"Home values in Uptown have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Uptown will increase 2% (↑) in the next year.This home is valued 15.3% higher (↑) than the median home in Uptown.The median Zestimate® for this neighborhood is $303,469.",https://www.zillow.com/homedetails/4250-N-Marine-Dr-APT-1701-Chicago-IL-60613/3703272_zpid/,0,60613,331950.0,Yes,None,0.0
29,Condo,1951.0,Forced air,Central,,No,295000.0,"1737 W Summerdale Ave APT 2E, Chicago, IL 60640",, No,2.0,1.0,1.0,"Home values in Andersonville have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Andersonville will rise 3.3% (↑) in the next year.This home is valued 36.5% lower (↓) than the median home in Andersonville.The median Zestimate® for this neighborhood is $464,364.",https://www.zillow.com/homedetails/1737-W-Summerdale-Ave-APT-2E-Chicago-IL-60640/2078481875_zpid/,0,60640,220000.0,No,Central,0.0
30,Condo,2006.0,Forced air,Central,1 space,No,365000.0,"1305 S Michigan Ave APT 712, Chicago, IL 60605",1052.0, No,2.0,2.0,2.0,"Home values in South Loop have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in South Loop will increase 3.2% (↑) in the next year.This home is valued 3.2% lower (↓) than the median home in South Loop.The median Zestimate® for this neighborhood is $376,901.",https://www.zillow.com/homedetails/1305-S-Michigan-Ave-APT-712-Chicago-IL-60605/2085354596_zpid/,0,60605,465000.0,Yes,Central,0.0
31,Multi Family,1895.0,Gas,None,,Yes,89900.0,"4543 S Justine St, Chicago, IL 60609",, No,4.0,3.0,2.0,"Home values in Back of the Yards have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Back of the Yards will increase 12.3% (↑) in the next year.This home is valued 3.9% lower (↓) than the median home in Back of the Yards.The median Zestimate® for this neighborhood is $93,520.",https://www.zillow.com/homedetails/4543-S-Justine-St-Chicago-IL-60609/2077601404_zpid/,1,60609,241500.0,No,None,1.0
32,Townhouse,1898.0,Gas,None,,Yes,45000.0,"5038 W Jackson Blvd APT B, Chicago, IL 60644",1062.0, No,2.0,1.0,1.0,"Home values in South Austin have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in South Austin will rise 3.4% (↑) in the next year.This home is valued 73.5% lower (↓) than the median home in South Austin.The median Zestimate® for this neighborhood is $169,507.",https://www.zillow.com/homedetails/5038-W-Jackson-Blvd-APT-B-Chicago-IL-60644/2077601403_zpid/,0,60644,45000.0,No,None,0.0
33,Condo,1913.0,Forced air,Central,1 space,No,370000.0,"212 W Washington St APT 2109, Chicago, IL 60606",, No,2.0,2.0,2.0,"Home values in The Loop have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in The Loop will fall 3.3% (↓) in the next year.This home is valued 0.2% higher (↑) than the median home in The Loop.The median Zestimate® for this neighborhood is $369,141.",https://www.zillow.com/homedetails/212-W-Washington-St-APT-2109-Chicago-IL-60606/159467397_zpid/,0,60606,399900.0,Yes,Central,0.0
34,Condo,2008.0,Forced air,Central,1 space,No,800000.0,"1201 S Prairie Ave #5305, Chicago, IL 60605",1639.0, No,2.0,2.0,2.0,"Home values in South Loop have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in South Loop will rise 3.2% (↑) in the next year.This home is valued 112.3% higher (↑) than the median home in South Loop.The median Zestimate® for this neighborhood is $376,901.",https://www.zillow.com/homedetails/1201-S-Prairie-Ave-5305-Chicago-IL-60605/2129749461_zpid/,0,60605,465000.0,Yes,Central,0.0
35,Single Family,1967.0,Gas,Central,2 spaces,Yes,208500.0,"7819 S Kimbark Ave, Chicago, IL 60619",1020.0, No,4.0,2.0,2.0,"Home values in Grand Crossing have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Grand Crossing will decrease 16.8% (↓) in the next year.This home is valued 117.6% higher (↑) than the median home in Grand Crossing.The median Zestimate® for this neighborhood is $95,799.",https://www.zillow.com/homedetails/7819-S-Kimbark-Ave-Chicago-IL-60619/4004612_zpid/,0,60619,208500.0,Yes,Central,0.0
36,Condo,2003.0,"Forced air, Gas",Central,1 space,No,489900.0,"811 W 15th Pl UNIT 908, Chicago, IL 60608",1800.0, No,3.0,2.0,2.0,"Home values in University Village - Little Italy have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in University Village - Little Italy will fall 0.9% (↓) in the next year.This home is valued 39.5% higher (↑) than the median home in University Village - Little Italy.The median Zestimate® for this neighborhood is $351,164.",https://www.zillow.com/homedetails/811-W-15th-Pl-UNIT-908-Chicago-IL-60608/2077601429_zpid/,0,60608,335000.0,Yes,Central,0.0
37,Single Family,1966.0,"Forced air, Gas",Central,2 spaces,Yes,168500.0,"11635 S Ada St, Chicago, IL 60643",1120.0, No,3.0,2.0,1.0,"Home values in West Pullman have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in West Pullman will increase 11.3% (↑) in the next year.This home is valued 75% higher (↑) than the median home in West Pullman.The median Zestimate® for this neighborhood is $96,277.",https://www.zillow.com/homedetails/11635-S-Ada-St-Chicago-IL-60643/4151191_zpid/,1,60643,154900.0,Yes,Central,1.0
38,Condo,1928.0,Forced air,Central,1 space,No,209000.0,"2543 S Wallace St #2, Chicago, IL 60616",900.0, No,2.0,2.0,2.0,"Home values in Bridgeport have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Bridgeport will fall 0.2% (↓) in the next year.This home is valued 42.3% lower (↓) than the median home in Bridgeport.The median Zestimate® for this neighborhood is $362,289.",https://www.zillow.com/homedetails/2543-S-Wallace-St-2-Chicago-IL-60616/3877174_zpid/,0,60616,320000.0,Yes,Central,0.0
39,Multi Family,1916.0,Forced air,None,2 spaces,Yes,329000.0,"6334 S California Ave, Chicago, IL 60629",, No,7.0,3.0,3.0,"Home values in Marquette Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Marquette Park will increase 0.3% (↑) in the next year.This home is valued 103.3% higher (↑) than the median home in Marquette Park.The median Zestimate® for this neighborhood is $161,845.",https://www.zillow.com/homedetails/6334-S-California-Ave-Chicago-IL-60629/2094676593_zpid/,0,60629,280000.0,Yes,None,0.0
40,Condo,2001.0,"Forced air, Electric",Central,1 space,No,269999.0,"501 N Clinton St APT 3101, Chicago, IL 60654",795.0, No,1.0,1.0,1.0,"Home values in Fulton River District have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Fulton River District will fall 0.3% (↓) in the next year.This home is valued 42% lower (↓) than the median home in Fulton River District.The median Zestimate® for this neighborhood is $465,877.",https://www.zillow.com/homedetails/501-N-Clinton-St-APT-3101-Chicago-IL-60654/70466428_zpid/,0,60654,365000.0,Yes,Central,0.0
43,Condo,2012.0,Forced air,Central,1 space,No,405000.0,"2103 N Campbell St #GN, Chicago, IL 60612",, No,2.0,2.0,2.0,"Home values in Near West Side have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Near West Side will increase 1.8% (↑) in the next year.This home is valued 3.7% lower (↓) than the median home in Near West Side.The median Zestimate® for this neighborhood is $420,759.",https://www.zillow.com/homedetails/2103-N-Campbell-St-GN-Chicago-IL-60612/2077601436_zpid/,0,60612,275000.0,Yes,Central,0.0
46,Single Family,1922.0,Forced air,Central,2 spaces,Yes,259000.0,"5616 S Homan Ave, Chicago, IL 60629",1015.0, No,6.0,2.0,2.0,"Home values in Gage Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Gage Park will increase 4.9% (↑) in the next year.This home is valued 58.9% higher (↑) than the median home in Gage Park.The median Zestimate® for this neighborhood is $163,019.",https://www.zillow.com/homedetails/5616-S-Homan-Ave-Chicago-IL-60629/3934966_zpid/,0,60629,182500.0,Yes,Central,0.0
47,Multi Family,1958.0,Forced air,Other,2 spaces,Yes,649000.0,"5443 N Artesian Ave, Chicago, IL 60625",650.0, No,5.0,5.0,3.0,"Home values in Budlong Woods have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Budlong Woods will rise 1.9% (↑) in the next year.This home is valued 104.4% higher (↑) than the median home in Budlong Woods.The median Zestimate® for this neighborhood is $317,495.",https://www.zillow.com/homedetails/5443-N-Artesian-Ave-Chicago-IL-60625/2112669006_zpid/,2,60625,660000.0,Yes,Other,2.0
48,Condo,1995.0,Forced air,Central,2 spaces,No,550000.0,"1700 W School St #2, Chicago, IL 60657",2000.0, No,3.0,2.0,2.0,"Home values in Roscoe Village have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Roscoe Village will increase 0.6% (↑) in the next year.This home is valued 28.4% lower (↓) than the median home in Roscoe Village.The median Zestimate® for this neighborhood is $768,333.",https://www.zillow.com/homedetails/1700-W-School-St-2-Chicago-IL-60657/54534020_zpid/,0,60657,348750.0,Yes,Central,0.0
49,Condo,1920.0,Forced air,Central,1 space,No,589000.0,"1130 W Armitage Ave APT 2, Chicago, IL 60614",, No,3.0,2.0,2.0,"Home values in Sheffield Neighbors have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Sheffield Neighbors will fall 0.6% (↓) in the next year.This home is valued 42.8% lower (↓) than the median home in Sheffield Neighbors.The median Zestimate® for this neighborhood is $1,029,586.",https://www.zillow.com/homedetails/1130-W-Armitage-Ave-APT-2-Chicago-IL-60614/3735748_zpid/,0,60614,575000.0,Yes,Central,0.0
50,Condo,2015.0,Forced air,Central,2 spaces,No,489900.0,"2447 W Walton St #1, Chicago, IL 60622",2100.0, No,3.0,3.0,3.0,"Home values in Humboldt Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Humboldt Park will rise 4.2% (↑) in the next year.This home is valued 63.2% higher (↑) than the median home in Humboldt Park.The median Zestimate® for this neighborhood is $300,127.",https://www.zillow.com/homedetails/2447-W-Walton-St-1-Chicago-IL-60622/65544922_zpid/,0,60622,582500.0,Yes,Central,0.0
51,Condo,2020.0,"Forced air, Gas",Central,1 space,No,659900.0,"5015 N Clark St #303, Chicago, IL 60640",, Yes,3.0,2.0,2.0,"Home values in Uptown have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Uptown will increase 2% (↑) in the next year.This home is valued 117.5% higher (↑) than the median home in Uptown.The median Zestimate® for this neighborhood is $303,469.",https://www.zillow.com/homedetails/5015-N-Clark-St-303-Chicago-IL-60640/2077601439_zpid/,0,60640,220000.0,Yes,Central,0.0
52,Multi Family,1926.0,Forced air,Central,2 spaces,Yes,469900.0,"3742 N Newland Ave, Chicago, IL 60634",952.0, No,5.0,3.0,3.0,"Home values in Dunning have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Dunning will fall 0.3% (↓) in the next year.This home is valued 77.4% higher (↑) than the median home in Dunning.The median Zestimate® for this neighborhood is $264,849.",https://www.zillow.com/homedetails/3742-N-Newland-Ave-Chicago-IL-60634/3655971_zpid/,0,60634,579450.0,Yes,Central,0.0
53,Multiple Occupancy,1954.0,Gas,None,2 spaces,Yes,379500.0,"3514 N Oak Park Ave, Chicago, IL 60634",, No,4.0,3.0,3.0,"Home values in Schorsch Village have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Schorsch Village will fall 3.8% (↓) in the next year.This home is valued 34.2% higher (↑) than the median home in Schorsch Village.The median Zestimate® for this neighborhood is $282,834.",https://www.zillow.com/homedetails/3514-N-Oak-Park-Ave-Chicago-IL-60634/2077601431_zpid/,0,60634,484250.0,Yes,None,0.0
54,Condo,1911.0,Gas,None,,No,250000.0,"2049 W Ainslie St #3, Chicago, IL 60625",970.0, No,2.0,1.0,1.0,"Home values in Ravenswood have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Ravenswood will rise 2.6% (↑) in the next year.This home is valued 49.9% lower (↓) than the median home in Ravenswood.The median Zestimate® for this neighborhood is $498,877.",https://www.zillow.com/homedetails/2049-W-Ainslie-St-3-Chicago-IL-60625/3698251_zpid/,0,60625,244500.0,No,None,0.0
55,Condo,2012.0,"Forced air, Heat pump",Central,1 space,No,1350000.0,"2550 N Lakeview Ave UNIT S1805, Chicago, IL 60614",1561.0, No,2.0,2.0,2.0,"Home values in Lincoln Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Lincoln Park will fall 0.8% (↓) in the next year.This home is valued 144.2% higher (↑) than the median home in Lincoln Park.The median Zestimate® for this neighborhood is $552,789.",https://www.zillow.com/homedetails/2550-N-Lakeview-Ave-UNIT-S1805-Chicago-IL-60614/123056557_zpid/,0,60614,575000.0,Yes,Central,0.0
