,Type,Year built,Heating,Cooling,Parking,Price/sqft,Total Price,Address,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Lot,Square Feet,HOA,Half bathrooms,Status
22,Single Family,1894,"Baseboard, Forced air",Central,4 spaces,$452,"$2,499,500","1932-1934 N Seminary Ave, Chicago, IL 60614", No, 5, 4, 4,"Home values in Wrightwood Neighbors have risen 0.6% () over the past 12 months.Zillow predicts the home values in Wrightwood Neighbors will fall 0.5% () in the next year.This home is valued 269.1% higher () than the median home in Wrightwood Neighbors.The median Zestimate for this neighborhood is $677,229.",https://www.zillow.com/homedetails/1932-1934-N-Seminary-Ave-Chicago-IL-60614/2077617229_zpid/,"6,451 sqft","5,534",None,,For Sale
23,Condo,1920,Gas,Central,1 space,$164,"$229,900","4647 N Drake Ave #G, Chicago, IL 60625", No, 2, 2, 2,"Home values in Albany Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Albany Park will decrease 1.1% () in the next year.This home is valued 26.9% lower () than the median home in Albany Park.The median Zestimate for this neighborhood is $314,708.",https://www.zillow.com/homedetails/4647-N-Drake-Ave-G-Chicago-IL-60625/2077617318_zpid/,,"1,400",$196/month,,For Sale
24,Condo,2001,Forced air,Central,1 space,$282,"$700,000","3048 N Greenview Ave #2, Chicago, IL 60657", No, 4, 3, 2,"Home values in Lake View have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View will fall 0.3% () in the next year.This home is valued 29.5% higher () than the median home in Lake View.The median Zestimate for this neighborhood is $540,603.",https://www.zillow.com/homedetails/3048-N-Greenview-Ave-2-Chicago-IL-60657/65547529_zpid/,,"2,481",$283/month, 1,For Sale
25,Single Family,1921,"Forced air, Gas",Central,2 spaces,$263,"$499,900","4987 N Kolmar Ave, Chicago, IL 60630", No, 3, 4, 3,"Home values in Albany Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Albany Park will decrease 1.1% () in the next year.This home is valued 58.8% higher () than the median home in Albany Park.The median Zestimate for this neighborhood is $314,708.",https://www.zillow.com/homedetails/4987-N-Kolmar-Ave-Chicago-IL-60630/3638896_zpid/,"4,260 sqft","1,900",, 1,For Sale
26,Single Family,1954,Forced air,Central,2 spaces,,"$144,648","346 W 106th St, Chicago, IL 60628", No, 5,,,"Home values in Fernwood have risen 0.6% () over the past 12 months.Zillow predicts the home values in Fernwood will increase 0.8% () in the next year.This home is valued 100% lower () than the median home in Fernwood.The median Zestimate for this neighborhood is $91,990.",https://www.zillow.com/homedetails/346-W-106th-St-Chicago-IL-60628/4141795_zpid/,"3,998 sqft","1,500",,,For Sale
27,Condo,1923,Gas,No Data,None,$184,"$125,000","3555 W Sunnyside Ave APT 2, Chicago, IL 60625", No, 1, 1, 1,"Home values in Albany Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Albany Park will fall 1.1% () in the next year.This home is valued 60.3% lower () than the median home in Albany Park.The median Zestimate for this neighborhood is $314,708.",https://www.zillow.com/homedetails/3555-W-Sunnyside-Ave-APT-2-Chicago-IL-60625/49917060_zpid/,,680,$254/month,,For Sale
28,Condo,1924,Forced air,Central,No Data,,"$139,000","4007 N Leamington Ave #1, Chicago, IL 60641", No, 2, 1, 1,"Home values in Portage Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Portage Park will decrease 2% () in the next year.This home is valued 52% lower () than the median home in Portage Park.The median Zestimate for this neighborhood is $289,874.",https://www.zillow.com/homedetails/4007-N-Leamington-Ave-1-Chicago-IL-60641/80846248_zpid/,,,$162/mo,,For Sale
29,Single Family,1930,"Forced air, Gas",Central,2 spaces,$67,"$129,900","8057 S Princeton Ave, Chicago, IL 60620", No, 4, 2, 2,"Home values in 60620 have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Chatham will decrease 1.9% () in the next year.This home is valued 0.1% lower () than the median home in West Chatham.The median Zestimate for this neighborhood is $130,070.",https://www.zillow.com/homedetails/8057-S-Princeton-Ave-Chicago-IL-60620/4017070_zpid/,"3,836 sqft","1,944",,,For Sale
30,Single Family,No Data,"Forced air, Gas",Central,1 space,$674,"$1,440,000","Buildable plan: Plan D, Parkline Chicago, Chicago, IL 60601", Yes, 3, 4, 3,"Home values in The Loop have risen 0.6% () over the past 12 months.Zillow predicts the home values in The Loop will decrease 3.3% () in the next year.This home is valued 290.1% higher () than the median home in The Loop.The median Zestimate for this neighborhood is $369,141.",https://www.zillow.com/community/parkline-chicago/2078738227_zpid/,No Data,,, 1,For Sale
31,Multi Family,1910,Forced air,Central,2 spaces,No Data,"$1,095,000","1829 N Sheffield Ave, Chicago, IL 60614", No, 6, 3, 3,"Home values in Ranch Triangle have risen 0.6% () over the past 12 months.Zillow predicts the home values in Ranch Triangle will fall 3% () in the next year.This home is valued 54.1% higher () than the median home in Ranch Triangle.The median Zestimate for this neighborhood is $710,767.",https://www.zillow.com/homedetails/1829-N-Sheffield-Ave-Chicago-IL-60614/2085554155_zpid/,,,,,For Sale
32,Condo,2005,"Forced air, Gas",Central,1 space,$290,"$360,000","1101 S State St APT 704, Chicago, IL 60605", No, 2, 2, 2,"Home values in South Loop have risen 0.6% () over the past 12 months.Zillow predicts the home values in South Loop will increase 3.2% () in the next year.This home is valued 4.5% lower () than the median home in South Loop.The median Zestimate for this neighborhood is $376,901.",https://www.zillow.com/homedetails/1101-S-State-St-APT-704-Chicago-IL-60605/2078705652_zpid/,,"1,241","$1,026/mo",,For Sale
33,Condo,2002,Forced air,Central,1 space,No Data,"$260,000","1333 N Halsted St APT 1N, Chicago, IL 60642", No, 1, 1, 1,"Home values in Goose Island have risen 0.6% () over the past 12 months.Zillow predicts the home values in Goose Island will fall 0.6% () in the next year.This home is valued 44% lower () than the median home in Goose Island.The median Zestimate for this neighborhood is $463,950.",https://www.zillow.com/homedetails/1333-N-Halsted-St-APT-1N-Chicago-IL-60642/63697218_zpid/,,,$185/month,,For Sale
34,Multiple Occupancy,1927,"Forced air, Gas",No Data,No Data,,"$120,000","8346 S Colfax Ave, Chicago, IL 60617", No, 5, 2, 2,"Home values in South Chicago have risen 0.6% () over the past 12 months.Zillow predicts the home values in South Chicago will fall 5.1% () in the next year.This home is valued 24% higher () than the median home in South Chicago.The median Zestimate for this neighborhood is $96,782.",https://www.zillow.com/homedetails/8346-S-Colfax-Ave-Chicago-IL-60617/2120997247_zpid/,,,,,For Sale
35,Single Family,1961,Gas,Central,2 spaces,$161,"$257,000","(Undisclosed Address), Chicago, IL 60628", No, 4, 2, 2,"Home values in Longwood Manor have risen 0.6% () over the past 12 months.Zillow predicts the home values in Longwood Manor will decrease 4.4% () in the next year.This home is valued 88.1% higher () than the median home in Longwood Manor.The median Zestimate for this neighborhood is $136,662.",https://www.zillow.com/homedetails/Chicago-IL-60628/2123598574_zpid/,"4,051 sqft","1,600",,,For Sale
36,Condo,1968,No Data,No Data,None,No Data,"$239,900","2930 N Sheridan Rd APT 1410, Chicago, IL 60657", No, 1, 1, 1,"Home values in Lake View East have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View East will fall 0.6% () in the next year.This home is valued 24% lower () than the median home in Lake View East.The median Zestimate for this neighborhood is $315,541.",https://www.zillow.com/homedetails/2930-N-Sheridan-Rd-APT-1410-Chicago-IL-60657/89905106_zpid/,,,$351/month,,For Sale
37,Townhouse,1966,Baseboard,No Data,1 space,$41,"$39,900","8216 S Dobson Ave APT E, Chicago, IL 60619", No, 2, 2, 1,"Home values in East Chatham have risen 0.6% () over the past 12 months.Zillow predicts the home values in East Chatham will decrease 9.5% () in the next year.This home is valued 46.4% lower () than the median home in East Chatham.The median Zestimate for this neighborhood is $74,450.",https://www.zillow.com/homedetails/8216-S-Dobson-Ave-APT-E-Chicago-IL-60619/2077618251_zpid/,No Data,980,None, 1,For Sale
38,Condo,2005,Forced air,Central,1 space,$275,"$495,000","520 N Halsted St APT 510, Chicago, IL 60642", No, 3, 2, 2,"Home values in Fulton River District have risen 0.6% () over the past 12 months.Zillow predicts the home values in Fulton River District will fall 0.3% () in the next year.This home is valued 6.3% higher () than the median home in Fulton River District.The median Zestimate for this neighborhood is $465,877.",https://www.zillow.com/homedetails/520-N-Halsted-St-APT-510-Chicago-IL-60642/70465767_zpid/,,"1,800",$557/month,,For Sale
39,Multi Family,1908,No Data,No Data,2 spaces,No Data,"$200,000","3839 W Jackson Blvd, Chicago, IL 60624", No, 8, 5, 4,"Home values in East Garfield Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in East Garfield Park will increase 8.8% () in the next year.This home is valued 24.9% higher () than the median home in East Garfield Park.The median Zestimate for this neighborhood is $160,150.",https://www.zillow.com/homedetails/3839-W-Jackson-Blvd-Chicago-IL-60624/2077618941_zpid/,,,, 1,For Sale
40,Condo,1974,Forced air,Central,1 space,$242,"$379,000","4170 N Marine Dr APT 10L, Chicago, IL 60613", No, 3, 2, 2,"Home values in Uptown have risen 0.6% () over the past 12 months.Zillow predicts the home values in Uptown will increase 2% () in the next year.This home is valued 24.9% higher () than the median home in Uptown.The median Zestimate for this neighborhood is $303,469.",https://www.zillow.com/homedetails/4170-N-Marine-Dr-APT-10L-Chicago-IL-60613/3704707_zpid/,,"1,568","$1,050/month",,For Sale
41,Single Family,1941,"Forced air, Gas",Central,2 spaces,$231,"$340,000","5851 N Bernard St, Chicago, IL 60659", No, 3, 2, 1,"Home values in Hollywood Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Hollywood Park will rise 2.4% () in the next year.This home is valued 3% lower () than the median home in Hollywood Park.The median Zestimate for this neighborhood is $350,566.",https://www.zillow.com/homedetails/5851-N-Bernard-St-Chicago-IL-60659/3621091_zpid/,"3,746 sqft","1,475",, 1,For Sale
42,Single Family,1951,Gas,No Data,1 space,$118,"$175,000","12322 S Yale Ave, Chicago, IL 60628", No, 3, 2, 2,"Home values in West Pullman have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Pullman will increase 11.3% () in the next year.This home is valued 81.8% higher () than the median home in West Pullman.The median Zestimate for this neighborhood is $96,277.",https://www.zillow.com/homedetails/12322-S-Yale-Ave-Chicago-IL-60628/4158399_zpid/,"4,438 sqft","1,485",,,For Sale
43,Condo,1912,Gas,Central,1 space,$272,"$462,500","2335 W Iowa St APT 2R, Chicago, IL 60622", No, 2, 3, 3,"Home values in Ukrainian Village have risen 0.6% () over the past 12 months.Zillow predicts the home values in Ukrainian Village will rise 2.5% () in the next year.This home is valued 7.4% lower () than the median home in Ukrainian Village.The median Zestimate for this neighborhood is $499,489.",https://www.zillow.com/homedetails/2335-W-Iowa-St-APT-2R-Chicago-IL-60622/101453826_zpid/,,"1,700",$472/month,,For Sale
44,Condo,1920,Other,Refrigeration,1 space,No Data,"$200,000","1413 W Jonquil Ave #2, Chicago, IL 60626", No, 2, 2, 2,"Home values in Rogers Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Rogers Park will increase 1.4% () in the next year.This home is valued 11.5% lower () than the median home in Rogers Park.The median Zestimate for this neighborhood is $226,102.",https://www.zillow.com/homedetails/1413-W-Jonquil-Ave-2-Chicago-IL-60626/60260953_zpid/,,,$346/month,,For Sale
45,Condo,2002,Forced air,Central,1 space,$250,"$375,000","1450 S Halsted St APT 2A, Chicago, IL 60607", No, 3, 2, 2,"Home values in University Village - Little Italy have risen 0.6% () over the past 12 months.Zillow predicts the home values in University Village - Little Italy will fall 0.9% () in the next year.This home is valued 6.8% higher () than the median home in University Village - Little Italy.The median Zestimate for this neighborhood is $351,164.",https://www.zillow.com/homedetails/1450-S-Halsted-St-APT-2A-Chicago-IL-60607/63704069_zpid/,,"1,500",$527/month,,For Sale
46,Single Family,1956,Forced air,Central,2 spaces,$214,"$384,900","5105 S Nashville Ave, Chicago, IL 60638", No, 3, 3, 3,"Home values in Garfield Ridge have risen 0.6% () over the past 12 months.Zillow predicts the home values in Garfield Ridge will increase 4.1% () in the next year.This home is valued 59.5% higher () than the median home in Garfield Ridge.The median Zestimate for this neighborhood is $241,329.",https://www.zillow.com/homedetails/5105-S-Nashville-Ave-Chicago-IL-60638/3919828_zpid/,"3,876 sqft","1,800",,,For Sale
47,Single Family,1957,"Forced air, Gas",Central,1 space,$190,"$215,000","(Undisclosed Address), Chicago, IL 60620", No, 3, 1, 1,"Home values in Gresham have risen 0.6% () over the past 12 months.Zillow predicts the home values in Gresham will decrease 3.6% () in the next year.This home is valued 70.5% higher () than the median home in Gresham.The median Zestimate for this neighborhood is $126,118.",https://www.zillow.com/homedetails/Chicago-IL-60620/2077621105_zpid/,"3,702 sqft","1,134",,,For Sale
48,Single Family,1959,Gas,Central,2 spaces,$157,"$194,900","8404 S Kostner Ave, Chicago, IL 60652", No, 3, 1, 1,"Home values in Scottsdale have risen 0.6% () over the past 12 months.Zillow predicts the home values in Scottsdale will increase 3.9% () in the next year.This home is valued 4.5% lower () than the median home in Scottsdale.The median Zestimate for this neighborhood is $204,139.",https://www.zillow.com/homedetails/8404-S-Kostner-Ave-Chicago-IL-60652/3972488_zpid/,"4,007 sqft","1,240",,,For Sale
49,Single Family,2001,Forced air,Central,2 spaces,$128,"$274,900","8940 S Indiana Ave, Chicago, IL 60619", No, 4, 3, 2,"Home values in West Chesterfield have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Chesterfield will rise 2.5% () in the next year.This home is valued 87.4% higher () than the median home in West Chesterfield.The median Zestimate for this neighborhood is $146,685.",https://www.zillow.com/homedetails/8940-S-Indiana-Ave-Chicago-IL-60619/54542134_zpid/,"3,528 sqft","2,144",$22/month, 1,For Sale
50,Single Family,1908,Gas,Central,2 spaces,$427,"$1,195,000","1029 N Honore St, Chicago, IL 60622", No, 3, 4, 3,"Home values in East Ukrainian Village have risen 0.6% () over the past 12 months.Zillow predicts the home values in East Ukrainian Village will rise 1.7% () in the next year.This home is valued 124.9% higher () than the median home in East Ukrainian Village.The median Zestimate for this neighborhood is $531,329.",https://www.zillow.com/homedetails/1029-N-Honore-St-Chicago-IL-60622/87718929_zpid/,"2,787 sqft","2,800",, 1,For Sale
51,Single Family,1890,Gas,Central,2 spaces,$84,"$109,000","10721 S Mackinaw Ave, Chicago, IL 60617", No, 4, 1, 1,"Home values in East Side have risen 0.6% () over the past 12 months.Zillow predicts the home values in East Side will rise 6.4% () in the next year.This home is valued 15.5% lower () than the median home in East Side.The median Zestimate for this neighborhood is $128,946.",https://www.zillow.com/homedetails/10721-S-Mackinaw-Ave-Chicago-IL-60617/4173098_zpid/,"3,123 sqft","1,295",None,,For Sale
52,Single Family,1898,"Forced air, Gas",Central,4 spaces,$194,"$350,000","5444 W Ohio St, Chicago, IL 60644", No, 5, 3, 3,"Home values in South Austin have risen 0.6% () over the past 12 months.Zillow predicts the home values in South Austin will increase 3.4% () in the next year.This home is valued 106.5% higher () than the median home in South Austin.The median Zestimate for this neighborhood is $169,507.",https://www.zillow.com/homedetails/5444-W-Ohio-St-Chicago-IL-60644/3808397_zpid/,"3,576 sqft","1,800",,,For Sale
53,Condo,1987,Other,Central,None,$333,"$199,900","3660 N Lake Shore Dr APT 613, Chicago, IL 60613", No, 1, 1, 1,"Home values in Lake View East have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View East will decrease 0.6% () in the next year.This home is valued 36.6% lower () than the median home in Lake View East.The median Zestimate for this neighborhood is $315,541.",https://www.zillow.com/homedetails/3660-N-Lake-Shore-Dr-APT-613-Chicago-IL-60613/60201379_zpid/,,600,$375/month,,For Sale
54,Single Family,1919,Forced air,Other,6 spaces,$125,"$364,900","9805 S Winston Ave, Chicago, IL 60643", No, 5, 3, 3,"Home values in Longwood Manor have risen 0.6% () over the past 12 months.Zillow predicts the home values in Longwood Manor will fall 4.4% () in the next year.This home is valued 167% higher () than the median home in Longwood Manor.The median Zestimate for this neighborhood is $136,662.",https://www.zillow.com/homedetails/9805-S-Winston-Ave-Chicago-IL-60643/4127467_zpid/,"4,530 sqft","2,910",,,For Sale
55,Single Family,1915,Gas,None,None,$12,"$19,900","11844 S La Salle St, Chicago, IL 60628", No, 6, 2, 2,"Home values in West Pullman have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Pullman will increase 11.3% () in the next year.This home is valued 79.3% lower () than the median home in West Pullman.The median Zestimate for this neighborhood is $96,277.",https://www.zillow.com/homedetails/11844-S-La-Salle-St-Chicago-IL-60628/4154717_zpid/,"4,530 sqft","1,690",,,For Sale
56,Single Family,1914,Forced air,No Data,2 spaces,$49,"$185,000","6217 S Campbell Ave, Chicago, IL 60629", No, 5, 2, 2,"Home values in Chicago Lawn have risen 0.6% () over the past 12 months.Zillow predicts the home values in Chicago Lawn will increase 1.8% () in the next year.This home is valued 12.1% higher () than the median home in Chicago Lawn.The median Zestimate for this neighborhood is $165,068.",https://www.zillow.com/homedetails/6217-S-Campbell-Ave-Chicago-IL-60629/2077622110_zpid/,"3,746 sqft","3,750",,,For Sale
