,Type,Year built,Heating,Cooling,Parking,HOA,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Lot,Half bathrooms,Status
13,Multi Family,No Data,Forced air,Central,2 spaces,," $370,000","5925 S Kilbourn Ave, Chicago, IL 60629",, No, 5, 3, 3,"Home values in West Lawn have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in West Lawn will increase 1.5% (↑) in the next year.This home is valued 81.2% higher (↑) than the median home in West Lawn.The median Zestimate® for this neighborhood is $204,144.",https://www.zillow.com/homedetails/5925-S-Kilbourn-Ave-Chicago-IL-60629/2102608807_zpid/,,,Sold
14,Multi Family,1898,Forced air,"Central, Other",2 spaces,," $640,000","2325 S Hoyne Ave, Chicago, IL 60608",, No, 7, 5, 5,"Home values in Heart of Chicago have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Heart of Chicago will decrease 7.8% (↓) in the next year.This home is valued 157.6% higher (↑) than the median home in Heart of Chicago.The median Zestimate® for this neighborhood is $248,475.",https://www.zillow.com/homedetails/2325-S-Hoyne-Ave-Chicago-IL-60608/2137361525_zpid/,,,Sold
15,Multi Family,1900,Forced air,No Data,None,," $293,000","6908 S Union Ave, Chicago, IL 60621",, No, 5, 3, 3,"Home values in Englewood have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Englewood will increase 9% (↑) in the next year.This home is valued 501.1% higher (↑) than the median home in Englewood.The median Zestimate® for this neighborhood is $48,744.",https://www.zillow.com/homedetails/6908-S-Union-Ave-Chicago-IL-60621/2079760214_zpid/,,,Sold
16,Single Family,1950,Forced air,Central,2 spaces,None," $260,000","5549 S Kilbourn Ave, Chicago, IL 60629","1,376", No, 4, 1, 1,"Home values in West Elsdon have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in West Elsdon will increase 7% (↑) in the next year.This home is valued 26.5% higher (↑) than the median home in West Elsdon.The median Zestimate® for this neighborhood is $205,548.",https://www.zillow.com/homedetails/5549-S-Kilbourn-Ave-Chicago-IL-60629/3937454_zpid/,"3,781 sqft",,Sold
17,Condo,1958,Baseboard,No Data,1 space,$225/month," $105,500","2245 W Farwell Ave APT 1B, Chicago, IL 60645",700, No, 1, 1, 1,"Home values in West Rogers Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in West Rogers Park will increase 1.7% (↑) in the next year.This home is valued 65.3% lower (↓) than the median home in West Rogers Park.The median Zestimate® for this neighborhood is $303,895.",https://www.zillow.com/homedetails/2245-W-Farwell-Ave-APT-1B-Chicago-IL-60645/65556975_zpid/,,,Sold
18,Condo,1969,Forced air,Central,1 space,$928/month," $400,000","2800 N Lake Shore Dr APT 2717, Chicago, IL 60657","1,350", No, 2, 2, 2,"Home values in Lake View East have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Lake View East will decrease 0.6% (↓) in the next year.This home is valued 26.8% higher (↑) than the median home in Lake View East.The median Zestimate® for this neighborhood is $315,541.",https://www.zillow.com/homedetails/2800-N-Lake-Shore-Dr-APT-2717-Chicago-IL-60657/3723706_zpid/,,,Sold
19,Single Family,1905,Gas,No Data,2 spaces,None," $586,000","2555 N Bernard St, Chicago, IL 60647","1,632", No, 3, 2, 2,"Home values in Logan Square have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Logan Square will increase 1.6% (↑) in the next year.This home is valued 45.2% higher (↑) than the median home in Logan Square.The median Zestimate® for this neighborhood is $403,670.",https://www.zillow.com/homedetails/2555-N-Bernard-St-Chicago-IL-60647/3670633_zpid/,"4,687 sqft",,Sold
20,Condo,1891,Electric,No Data,None,$186/month," $94,000","2800 N Pine Grove Ave UNIT 2I, Chicago, IL 60657",300, No, 0, 1, 1,"Home values in Lake View East have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Lake View East will decrease 0.6% (↓) in the next year.This home is valued 70.2% lower (↓) than the median home in Lake View East.The median Zestimate® for this neighborhood is $315,541.",https://www.zillow.com/homedetails/2800-N-Pine-Grove-Ave-UNIT-2I-Chicago-IL-60657/3721470_zpid/,,,Sold
21,Condo,1920,Gas,Central,1 space,$264/month," $183,500","1528 W Fargo Ave APT 3N, Chicago, IL 60626","1,100", No, 2, 2, 2,"Home values in Rogers Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Rogers Park will rise 1.4% (↑) in the next year.This home is valued 18.8% lower (↓) than the median home in Rogers Park.The median Zestimate® for this neighborhood is $226,102.",https://www.zillow.com/homedetails/1528-W-Fargo-Ave-APT-3N-Chicago-IL-60626/65556723_zpid/,,,Sold
22,Condo,1909,Forced air,Central,None,$325/month," $385,000","2712 N Kedzie Ave #1, Chicago, IL 60647","1,514", No, 3, 3, 3,"Home values in Logan Square have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Logan Square will increase 1.6% (↑) in the next year.This home is valued 4.6% lower (↓) than the median home in Logan Square.The median Zestimate® for this neighborhood is $403,670.",https://www.zillow.com/homedetails/2712-N-Kedzie-Ave-1-Chicago-IL-60647/87717740_zpid/,,,Sold
23,Apartment,No Data,No Data,No Data,Attached Garage,$252/month," $701,000","2219 N Campbell Ave APT 2S, Chicago, IL 60647","2,200", No, 3, 3,,"Home values in Logan Square have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Logan Square will increase 1.6% (↑) in the next year.This home is valued 73.7% higher (↑) than the median home in Logan Square.The median Zestimate® for this neighborhood is $403,670.",https://www.zillow.com/homedetails/2219-N-Campbell-Ave-APT-2S-Chicago-IL-60647/113950630_zpid/,,,Sold
24,Multi Family,1906,Forced air,No Data,2 spaces,," $375,000","2442 N Avers Ave, Chicago, IL 60647",, No, 4, 3, 3,"Home values in Logan Square have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Logan Square will increase 1.6% (↑) in the next year.This home is valued 7.1% lower (↓) than the median home in Logan Square.The median Zestimate® for this neighborhood is $403,670.",https://www.zillow.com/homedetails/2442-N-Avers-Ave-Chicago-IL-60647/2143703973_zpid/,,,Sold
25,Single Family,2020,Forced air,Central,2 spaces,," $699,000","5135 W Carmen Ave, Chicago, IL 60630","3,100", No, 3, 4, 3,"Home values in Jefferson Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Jefferson Park will fall 2.4% (↓) in the next year.This home is valued 130.6% higher (↑) than the median home in Jefferson Park.The median Zestimate® for this neighborhood is $303,165.",https://www.zillow.com/homedetails/5135-W-Carmen-Ave-Chicago-IL-60630/3638065_zpid/,"3,049 sqft", 1,Sold
26,Condo,1969,Forced air,Central,1 space,$928/month," $400,000","2800 N Lake Shore Dr APT 2717, Chicago, IL 60657","1,350", No, 2, 2, 2,"Home values in Lake View East have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Lake View East will decrease 0.6% (↓) in the next year.This home is valued 26.8% higher (↑) than the median home in Lake View East.The median Zestimate® for this neighborhood is $315,541.",https://www.zillow.com/homedetails/2800-N-Lake-Shore-Dr-APT-2717-Chicago-IL-60657/3723706_zpid/,,,Sold
27,Condo,2013,Forced air,Central,1 space,$332/month," $320,000","3510 W Palmer St APT 2E, Chicago, IL 60647","1,386", No, 2, 2, 2,"Home values in Logan Square have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Logan Square will increase 1.6% (↑) in the next year.This home is valued 20.7% lower (↓) than the median home in Logan Square.The median Zestimate® for this neighborhood is $403,670.",https://www.zillow.com/homedetails/3510-W-Palmer-St-APT-2E-Chicago-IL-60647/61962845_zpid/,,,Sold
28,Condo,1960,Forced air,Other,1 space,"$1,021/month"," $235,000","3600 N Lake Shore Dr APT 2015, Chicago, IL 60613","1,200", No, 2, 2, 2,"Home values in Lake View East have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Lake View East will fall 0.6% (↓) in the next year.This home is valued 25.5% lower (↓) than the median home in Lake View East.The median Zestimate® for this neighborhood is $315,541.",https://www.zillow.com/homedetails/3600-N-Lake-Shore-Dr-APT-2015-Chicago-IL-60613/3715581_zpid/,,,Sold
29,Single Family,1958,Forced air,Central,1 space,None," $365,000","8552 W Saint Joseph Ave, Chicago, IL 60656","1,437", No, 4, 2, 2,"Home values in O'Hare have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in O'Hare will increase 1.6% (↑) in the next year.This home is valued 21.8% higher (↑) than the median home in O'Hare.The median Zestimate® for this neighborhood is $299,617.",https://www.zillow.com/homedetails/8552-W-Saint-Joseph-Ave-Chicago-IL-60656/3582669_zpid/,"5,000 sqft",,Sold
30,Single Family,1947,Gas,No Data,None,," $426,750","3633 N Plainfield Ave, Chicago, IL 60634","1,833", No, 4, 2, 2,"Home values in Irving Woods have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Irving Woods will decrease 3.6% (↓) in the next year.This home is valued 57% higher (↑) than the median home in Irving Woods.The median Zestimate® for this neighborhood is $271,872.",https://www.zillow.com/homedetails/3633-N-Plainfield-Ave-Chicago-IL-60634/3595852_zpid/,"3,720 sqft",,Sold
31,Condo,1998,Gas,Central,1 space,$350/month," $565,000","3924 N Southport Ave APT 4N, Chicago, IL 60613","1,700", No, 3, 2, 2,"Home values in Lake View have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Lake View will decrease 0.3% (↓) in the next year.This home is valued 4.5% higher (↑) than the median home in Lake View.The median Zestimate® for this neighborhood is $540,603.",https://www.zillow.com/homedetails/3924-N-Southport-Ave-APT-4N-Chicago-IL-60613/54534040_zpid/,,,Sold
32,Condo,1896,Forced air,Central,1 space,$150/month," $347,000","1415 W Roscoe St #G, Chicago, IL 60657","1,200", No, 3, 1, 1,"Home values in Lake View have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Lake View will decrease 0.3% (↓) in the next year.This home is valued 35.8% lower (↓) than the median home in Lake View.The median Zestimate® for this neighborhood is $540,603.",https://www.zillow.com/homedetails/1415-W-Roscoe-St-G-Chicago-IL-60657/65559831_zpid/,,,Sold
33,Single Family,2018,Forced air,Central,2 spaces,None," $767,000","4167 W Cornelia Ave, Chicago, IL 60641","3,500", No, 5, 4, 3,"Home values in Irving Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Irving Park will decrease 1.1% (↓) in the next year.This home is valued 91.1% higher (↑) than the median home in Irving Park.The median Zestimate® for this neighborhood is $401,421.",https://www.zillow.com/homedetails/4167-W-Cornelia-Ave-Chicago-IL-60641/2086970641_zpid/,"7,448 sqft", 1,Sold
34,Condo,1970,Baseboard,Central,2 spaces,$285/month," $104,500","6171 N Sheridan Rd APT 1305, Chicago, IL 60660",447, No, 0, 1, 1,"Home values in Edgewater have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Edgewater will increase 1.3% (↑) in the next year.This home is valued 56.9% lower (↓) than the median home in Edgewater.The median Zestimate® for this neighborhood is $242,192.",https://www.zillow.com/homedetails/6171-N-Sheridan-Rd-APT-1305-Chicago-IL-60660/3691620_zpid/,,,Sold
35,Townhouse,1996,Forced air,Central,2 spaces,$275/month," $980,000","1055 W Lill Ave, Chicago, IL 60614","3,000", No, 4, 3, 3,"Home values in Wrightwood Neighbors have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Wrightwood Neighbors will fall 0.5% (↓) in the next year.This home is valued 44.7% higher (↑) than the median home in Wrightwood Neighbors.The median Zestimate® for this neighborhood is $677,229.",https://www.zillow.com/homedetails/1055-W-Lill-Ave-Chicago-IL-60614/3730544_zpid/,952 sqft,,Sold
36,Single Family,1920,Forced air,Central,2 spaces,None," $280,000","432 E 89th St, Chicago, IL 60619","2,685", No, 4, 3, 3,"Home values in Burnside have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Burnside will increase 2.4% (↑) in the next year.This home is valued 126.1% higher (↑) than the median home in Burnside.The median Zestimate® for this neighborhood is $123,820.",https://www.zillow.com/homedetails/432-E-89th-St-Chicago-IL-60619/4116130_zpid/,"3,123 sqft",,Sold
37,Condo,No Data,No Data,No Data,No Data,No Data," $565,000","2869 W Lyndale St UNIT 2, Chicago, IL 60647",, No, 0,,,"Home values in Logan Square have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Logan Square will increase 1.6% (↑) in the next year.This home is valued 40% higher (↑) than the median home in Logan Square.The median Zestimate® for this neighborhood is $403,670.",https://www.zillow.com/homedetails/2869-W-Lyndale-St-UNIT-2-Chicago-IL-60647/306332516_zpid/,,,Sold
38,Condo,1961,No Data,No Data,None,$462/month," $95,000","555 W Cornelia Ave APT 803, Chicago, IL 60657",473, No, 0, 1, 1,"Home values in Lake View East have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Lake View East will decrease 0.6% (↓) in the next year.This home is valued 69.9% lower (↓) than the median home in Lake View East.The median Zestimate® for this neighborhood is $315,541.",https://www.zillow.com/homedetails/555-W-Cornelia-Ave-APT-803-Chicago-IL-60657/3717106_zpid/,,,Sold
39,Multi Family,1880,Gas,Central,1 space,," $1,050,000","1501 W Ohio St, Chicago, IL 60642","1,003", No, 7, 6, 5,"Home values in West Town have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in West Town will rise 1.7% (↑) in the next year.This home is valued 106.9% higher (↑) than the median home in West Town.The median Zestimate® for this neighborhood is $507,475.",https://www.zillow.com/homedetails/1501-W-Ohio-St-Chicago-IL-60642/158779453_zpid/,, 1,Sold
40,Single Family,1938,Gas,Central,1 space,," $467,500","5721 N Kerbs Ave, Chicago, IL 60646","1,519", No, 3, 2, 1,"Home values in Sauganash have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Sauganash will increase 1.5% (↑) in the next year.This home is valued 7% higher (↑) than the median home in Sauganash.The median Zestimate® for this neighborhood is $436,778.",https://www.zillow.com/homedetails/5721-N-Kerbs-Ave-Chicago-IL-60646/3623462_zpid/,"4,835 sqft", 1,Sold
41,Condo,2007,Forced air,Central,1 space,$319/month," $368,000","657 W Fulton St UNIT 504, Chicago, IL 60661",970, No, 2, 2, 2,"Home values in Fulton River District have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Fulton River District will decrease 0.3% (↓) in the next year.This home is valued 21% lower (↓) than the median home in Fulton River District.The median Zestimate® for this neighborhood is $465,877.",https://www.zillow.com/homedetails/657-W-Fulton-St-UNIT-504-Chicago-IL-60661/87722100_zpid/,,,Sold
42,Condo,1994,Forced air,Central,1 space,$243/month," $580,000","2415 N Janssen Ave APT D, Chicago, IL 60614","1,600", No, 3, 3, 2,"Home values in West De Paul have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in West De Paul will decrease 0.9% (↓) in the next year.This home is valued 26% lower (↓) than the median home in West De Paul.The median Zestimate® for this neighborhood is $783,255.",https://www.zillow.com/homedetails/2415-N-Janssen-Ave-APT-D-Chicago-IL-60614/3729866_zpid/,, 1,Sold
43,Condo,1887,Forced air,Central,None,$401/month," $310,000","701 W Jackson Blvd APT 201, Chicago, IL 60661","1,255", No, 2, 2, 1,"Home values in West Loop Gate have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in West Loop Gate will fall 0.5% (↓) in the next year.This home is valued 8.5% lower (↓) than the median home in West Loop Gate.The median Zestimate® for this neighborhood is $338,772.",https://www.zillow.com/homedetails/701-W-Jackson-Blvd-APT-201-Chicago-IL-60661/3871279_zpid/,, 1,Sold
44,Condo,1892,Gas,Central,None,$165/month," $168,000","4529 S Prairie Ave APT 2S, Chicago, IL 60653",, No, 2, 2, 2,"Home values in Bronzeville have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Bronzeville will rise 2.7% (↑) in the next year.This home is valued 36.6% lower (↓) than the median home in Bronzeville.The median Zestimate® for this neighborhood is $265,069.",https://www.zillow.com/homedetails/4529-S-Prairie-Ave-APT-2S-Chicago-IL-60653/63706146_zpid/,,,Sold
45,Single Family,1918,Forced air,Central,2 spaces,None," $370,000","4633 N Karlov Ave, Chicago, IL 60630","1,203", No, 5, 2, 2,"Home values in Albany Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Albany Park will fall 1.1% (↓) in the next year.This home is valued 17.6% higher (↑) than the median home in Albany Park.The median Zestimate® for this neighborhood is $314,708.",https://www.zillow.com/homedetails/4633-N-Karlov-Ave-Chicago-IL-60630/3646566_zpid/,"3,750 sqft",,Sold
46,Single Family,1942,"Baseboard, Forced air",Central,2 spaces,None," $675,000","3532 N Whipple St, Chicago, IL 60618","4,400", No, 5, 3, 2,"Home values in Avondale have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Avondale will increase 0% (↑) in the next year.This home is valued 70.9% higher (↑) than the median home in Avondale.The median Zestimate® for this neighborhood is $394,918.",https://www.zillow.com/homedetails/3532-N-Whipple-St-Chicago-IL-60618/3668270_zpid/,"5,619 sqft", 1,Sold
47,Condo,2008,Gas,Central,1 space,$991/month," $580,000","8 E Randolph St UNIT 3301, Chicago, IL 60601","1,365", No, 2, 2, 2,"Home values in The Loop have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in The Loop will fall 3.3% (↓) in the next year.This home is valued 57.1% higher (↑) than the median home in The Loop.The median Zestimate® for this neighborhood is $369,141.",https://www.zillow.com/homedetails/8-E-Randolph-St-UNIT-3301-Chicago-IL-60601/101345548_zpid/,,,Sold
48,Condo,2018,Forced air,Central,2 spaces,$280/month," $590,000","1310 N Cleveland Ave APT 2, Chicago, IL 60610","1,650", No, 3, 2, 2,"Home values in Old Town have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Old Town will decrease 0.2% (↓) in the next year.This home is valued 48.1% higher (↑) than the median home in Old Town.The median Zestimate® for this neighborhood is $398,382.",https://www.zillow.com/homedetails/1310-N-Cleveland-Ave-APT-2-Chicago-IL-60610/2083245764_zpid/,,,Sold
49,Condo,1919,Other,Central,1 space,$240/month," $161,000","6906 N Ashland Blvd #GS, Chicago, IL 60626","1,200", No, 2, 2, 2,"Home values in Rogers Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Rogers Park will increase 1.4% (↑) in the next year.This home is valued 28.8% lower (↓) than the median home in Rogers Park.The median Zestimate® for this neighborhood is $226,102.",https://www.zillow.com/homedetails/6906-N-Ashland-Blvd-GS-Chicago-IL-60626/87695924_zpid/,,,Sold
50,Single Family,2001,Forced air,Central,2 spaces,None," $1,089,000","2330 W Dickens Ave, Chicago, IL 60647","2,300", No, 4, 4, 3,"Home values in Bucktown have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Bucktown will rise 0.5% (↑) in the next year.This home is valued 81.1% higher (↑) than the median home in Bucktown.The median Zestimate® for this neighborhood is $601,188.",https://www.zillow.com/homedetails/2330-W-Dickens-Ave-Chicago-IL-60647/3732431_zpid/,"2,400 sqft", 1,Sold
51,Townhouse,2004,Forced air,Central,1 space,$490/month," $630,000","941 N Howe St, Chicago, IL 60610","1,960", No, 3, 3, 2,"Home values in Goose Island have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Goose Island will fall 0.6% (↓) in the next year.This home is valued 35.8% higher (↑) than the median home in Goose Island.The median Zestimate® for this neighborhood is $463,950.",https://www.zillow.com/homedetails/941-N-Howe-St-Chicago-IL-60610/70464951_zpid/,2.79 acres, 1,Sold
52,Single Family,1961,Gas,Central,2 spaces,," $230,000","1351 N Lawndale Ave, Chicago, IL 60651","1,020", No, 3, 1, 1,"Home values in Humboldt Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Humboldt Park will rise 4.2% (↑) in the next year.This home is valued 23.4% lower (↓) than the median home in Humboldt Park.The median Zestimate® for this neighborhood is $300,127.",https://www.zillow.com/homedetails/1351-N-Lawndale-Ave-Chicago-IL-60651/3793494_zpid/,"3,101 sqft",,Sold
53,Condo,1998,"Forced air, Gas",Central,1 space,$342/mo," $362,500","920 W Sheridan Rd APT 203, Chicago, IL 60613","1,100", No, 1, 1, 1,"Home values in Lake View have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Lake View will decrease 0.3% (↓) in the next year.This home is valued 32.9% lower (↓) than the median home in Lake View.The median Zestimate® for this neighborhood is $540,603.",https://www.zillow.com/homedetails/920-W-Sheridan-Rd-APT-203-Chicago-IL-60613/54534078_zpid/,,,Sold
54,Condo,No Data,No Data,No Data,No Data,No Data," $1,165,000","2024 W Le Moyne St UNIT 1W, Chicago, IL 60622",, No, 0,,,"Home values in Wicker Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Wicker Park will increase 1.1% (↑) in the next year.This home is valued 98.9% higher (↑) than the median home in Wicker Park.The median Zestimate® for this neighborhood is $585,609.",https://www.zillow.com/homedetails/2024-W-Le-Moyne-St-UNIT-1W-Chicago-IL-60622/306333540_zpid/,,,Sold
55,Single Family,1902,Forced air,Central,2 spaces,," $1,050,000","4326 N Kildare Ave, Chicago, IL 60641","5,000", No, 6, 5, 4,"Home values in Irving Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Irving Park will decrease 1.1% (↓) in the next year.This home is valued 161.6% higher (↑) than the median home in Irving Park.The median Zestimate® for this neighborhood is $401,421.",https://www.zillow.com/homedetails/4326-N-Kildare-Ave-Chicago-IL-60641/2116602708_zpid/,"5,096 sqft", 1,Sold
