,Type,Year built,Heating,Cooling,Parking,Price/sqft,Total Price,Address,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Lot,Square Feet,HOA,Half bathrooms
10,Condo,1920,Other,Refrigeration,1 space,No Data,"$200,000","1413 W Jonquil Ave #2, Chicago, IL 60626", No, 2, 2, 2,"Home values in Rogers Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Rogers Park will increase 1.4% () in the next year.This home is valued 11.5% lower () than the median home in Rogers Park.The median Zestimate for this neighborhood is $226,102.",https://www.zillow.com/homedetails/1413-W-Jonquil-Ave-2-Chicago-IL-60626/60260953_zpid/,,,$346/month,
11,Condo,2002,Forced air,Central,1 space,$250,"$375,000","1450 S Halsted St APT 2A, Chicago, IL 60607", No, 3, 2, 2,"Home values in University Village - Little Italy have risen 0.6% () over the past 12 months.Zillow predicts the home values in University Village - Little Italy will fall 0.9% () in the next year.This home is valued 6.8% higher () than the median home in University Village - Little Italy.The median Zestimate for this neighborhood is $351,164.",https://www.zillow.com/homedetails/1450-S-Halsted-St-APT-2A-Chicago-IL-60607/63704069_zpid/,,"1,500",$527/month,
12,Single Family,2007,Gas,Central,2 spaces,$129,"$259,900","732 E 90th St, Chicago, IL 60619", No, 4, 4, 4,"Home values in Burnside have risen 0.6% () over the past 12 months.Zillow predicts the home values in Burnside will increase 2.4% () in the next year.This home is valued 109.9% higher () than the median home in Burnside.The median Zestimate for this neighborhood is $123,820.",https://www.zillow.com/homedetails/732-E-90th-St-Chicago-IL-60619/80852180_zpid/,"2,918 sqft","2,010",,
13,Single Family,1956,Forced air,Central,2 spaces,$214,"$384,900","5105 S Nashville Ave, Chicago, IL 60638", No, 3, 3, 3,"Home values in Garfield Ridge have risen 0.6% () over the past 12 months.Zillow predicts the home values in Garfield Ridge will rise 4.1% () in the next year.This home is valued 59.5% higher () than the median home in Garfield Ridge.The median Zestimate for this neighborhood is $241,329.",https://www.zillow.com/homedetails/5105-S-Nashville-Ave-Chicago-IL-60638/3919828_zpid/,"3,876 sqft","1,800",,
14,Single Family,1957,Forced air,Central,1 space,$190,"$215,000","(Undisclosed Address), Chicago, IL 60620", No, 3, 1, 1,"Home values in Gresham have risen 0.6% () over the past 12 months.Zillow predicts the home values in Gresham will fall 3.6% () in the next year.This home is valued 70.5% higher () than the median home in Gresham.The median Zestimate for this neighborhood is $126,118.",https://www.zillow.com/homedetails/Chicago-IL-60620/2077621105_zpid/,"3,702 sqft","1,134",None,
15,Single Family,1959,Gas,Central,2 spaces,$157,"$194,900","8404 S Kostner Ave, Chicago, IL 60652", No, 3, 1, 1,"Home values in Scottsdale have risen 0.6% () over the past 12 months.Zillow predicts the home values in Scottsdale will increase 3.9% () in the next year.This home is valued 4.5% lower () than the median home in Scottsdale.The median Zestimate for this neighborhood is $204,139.",https://www.zillow.com/homedetails/8404-S-Kostner-Ave-Chicago-IL-60652/3972488_zpid/,"4,007 sqft","1,240",,
16,Single Family,2001,"Forced air, Gas",Central,2 spaces,$128,"$274,900","8940 S Indiana Ave, Chicago, IL 60619", No, 4, 3, 2,"Home values in West Chesterfield have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Chesterfield will increase 2.5% () in the next year.This home is valued 87.4% higher () than the median home in West Chesterfield.The median Zestimate for this neighborhood is $146,685.",https://www.zillow.com/homedetails/8940-S-Indiana-Ave-Chicago-IL-60619/54542134_zpid/,"3,528 sqft","2,144",, 1
17,Single Family,1908,Gas,Central,2 spaces,$427,"$1,195,000","1029 N Honore St, Chicago, IL 60622", No, 3, 4, 3,"Home values in East Ukrainian Village have risen 0.6% () over the past 12 months.Zillow predicts the home values in East Ukrainian Village will increase 1.7% () in the next year.This home is valued 124.9% higher () than the median home in East Ukrainian Village.The median Zestimate for this neighborhood is $531,329.",https://www.zillow.com/homedetails/1029-N-Honore-St-Chicago-IL-60622/87718929_zpid/,"2,787 sqft","2,800",, 1
18,Single Family,1890,Gas,Central,2 spaces,$84,"$109,000","10721 S Mackinaw Ave, Chicago, IL 60617", No, 4, 1, 1,"Home values in East Side have risen 0.6% () over the past 12 months.Zillow predicts the home values in East Side will increase 6.4% () in the next year.This home is valued 15.5% lower () than the median home in East Side.The median Zestimate for this neighborhood is $128,946.",https://www.zillow.com/homedetails/10721-S-Mackinaw-Ave-Chicago-IL-60617/4173098_zpid/,"3,123 sqft","1,295",None,
19,Single Family,1898,"Forced air, Gas",Central,4 spaces,$194,"$350,000","5444 W Ohio St, Chicago, IL 60644", No, 5, 3, 3,"Home values in South Austin have risen 0.6% () over the past 12 months.Zillow predicts the home values in South Austin will increase 3.4% () in the next year.This home is valued 106.5% higher () than the median home in South Austin.The median Zestimate for this neighborhood is $169,507.",https://www.zillow.com/homedetails/5444-W-Ohio-St-Chicago-IL-60644/3808397_zpid/,"3,576 sqft","1,800",,
20,Condo,1987,Other,Central,None,$333,"$199,900","3660 N Lake Shore Dr APT 613, Chicago, IL 60613", No, 1, 1, 1,"Home values in Lake View East have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View East will fall 0.6% () in the next year.This home is valued 36.6% lower () than the median home in Lake View East.The median Zestimate for this neighborhood is $315,541.",https://www.zillow.com/homedetails/3660-N-Lake-Shore-Dr-APT-613-Chicago-IL-60613/60201379_zpid/,,600,$375/month,
21,Single Family,1919,Forced air,Other,6 spaces,$125,"$364,900","9805 S Winston Ave, Chicago, IL 60643", No, 5, 3, 3,"Home values in Longwood Manor have risen 0.6% () over the past 12 months.Zillow predicts the home values in Longwood Manor will fall 4.4% () in the next year.This home is valued 167% higher () than the median home in Longwood Manor.The median Zestimate for this neighborhood is $136,662.",https://www.zillow.com/homedetails/9805-S-Winston-Ave-Chicago-IL-60643/4127467_zpid/,"4,530 sqft","2,910",,
22,Single Family,1915,Gas,None,No Data,$12,"$19,900","11844 S La Salle St, Chicago, IL 60628", No, 6, 2, 2,"Home values in West Pullman have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Pullman will increase 11.3% () in the next year.This home is valued 79.3% lower () than the median home in West Pullman.The median Zestimate for this neighborhood is $96,277.",https://www.zillow.com/homedetails/11844-S-La-Salle-St-Chicago-IL-60628/4154717_zpid/,"4,530 sqft","1,690",,
23,Single Family,1914,Forced air,No Data,2 spaces,$49,"$185,000","6217 S Campbell Ave, Chicago, IL 60629", No, 5, 2, 2,"Home values in Chicago Lawn have risen 0.6% () over the past 12 months.Zillow predicts the home values in Chicago Lawn will increase 1.8% () in the next year.This home is valued 12.1% higher () than the median home in Chicago Lawn.The median Zestimate for this neighborhood is $165,068.",https://www.zillow.com/homedetails/6217-S-Campbell-Ave-Chicago-IL-60629/2077622110_zpid/,"3,746 sqft","3,750",,
24,Condo,1923,"Baseboard, Radiant",Wall,1 space,$96,"$114,900","5000 N Marine Dr #4D, Chicago, IL 60640", No, 1, 1, 1,"Home values in Uptown have risen 0.6% () over the past 12 months.Zillow predicts the home values in Uptown will rise 2% () in the next year.This home is valued 62.1% lower () than the median home in Uptown.The median Zestimate for this neighborhood is $303,469.",https://www.zillow.com/homedetails/5000-N-Marine-Dr-4D-Chicago-IL-60640/2102090954_zpid/,,"1,200","$1,350/month",
25,Multi Family,1913,Forced air,No Data,2 spaces,No Data,"$279,900","4736 W West End Ave, Chicago, IL 60644", No, 7, 2, 2,"Home values in West Garfield Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Garfield Park will rise 7.1% () in the next year.This home is valued 147% higher () than the median home in West Garfield Park.The median Zestimate for this neighborhood is $113,328.",https://www.zillow.com/homedetails/4736-W-West-End-Ave-Chicago-IL-60644/2112332329_zpid/,,,,
26,Single Family,1943,"Forced air, Gas",None,2 spaces,$111,"$189,900","3547 W 84th St, Chicago, IL 60652", No, 3, 2, 2,"Home values in Ashburn have risen 0.6% () over the past 12 months.Zillow predicts the home values in Ashburn will increase 4.6% () in the next year.This home is valued 3.4% higher () than the median home in Ashburn.The median Zestimate for this neighborhood is $183,630.",https://www.zillow.com/homedetails/3547-W-84th-St-Chicago-IL-60652/3976585_zpid/,"4,726 sqft","1,708",,
27,Condo,2009,"Forced air, Electric",Central,1 space,$426,"$310,000","303 W Ohio St APT 3504, Chicago, IL 60654", No, 1, 1, 1,"Home values in River North have risen 0.6% () over the past 12 months.Zillow predicts the home values in River North will fall 0.3% () in the next year.This home is valued 27.1% lower () than the median home in River North.The median Zestimate for this neighborhood is $425,048.",https://www.zillow.com/homedetails/303-W-Ohio-St-APT-3504-Chicago-IL-60654/113961753_zpid/,,728,$582/mo,
28,Single Family,1890,"Forced air, Gas",Central,2 spaces,$444,"$835,000","2913 N Hoyne Ave, Chicago, IL 60618", No, 4, 4, 3,"Home values in Lake View have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View will decrease 0.3% () in the next year.This home is valued 54.5% higher () than the median home in Lake View.The median Zestimate for this neighborhood is $540,603.",https://www.zillow.com/homedetails/2913-N-Hoyne-Ave-Chicago-IL-60618/3731051_zpid/,"3,125 sqft","1,881",, 1
29,Single Family,1959,Gas,Central,2 spaces,$290,"$289,900","3513 N Kolmar Ave, Chicago, IL 60641", No, 4, 2, 2,"Home values in Irving Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Irving Park will fall 1.1% () in the next year.This home is valued 27.8% lower () than the median home in Irving Park.The median Zestimate for this neighborhood is $401,421.",https://www.zillow.com/homedetails/3513-N-Kolmar-Ave-Chicago-IL-60641/3665751_zpid/,"3,150 sqft","1,000",None,
30,Multi Family,1935,Forced air,No Data,3 spaces,No Data,"$174,900","6717 S Campbell Ave, Chicago, IL 60629", No, 10, 5, 5,"Home values in Marquette Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Marquette Park will rise 0.3% () in the next year.This home is valued 8.1% higher () than the median home in Marquette Park.The median Zestimate for this neighborhood is $161,845.",https://www.zillow.com/homedetails/6717-S-Campbell-Ave-Chicago-IL-60629/2103147203_zpid/,,,,
31,Multiple Occupancy,1926,Gas,No Data,2 spaces,$89,"$329,900","6333 S Richmond St, Chicago, IL 60629", No, 5, 2, 2,"Home values in Marquette Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Marquette Park will rise 0.3% () in the next year.This home is valued 103.8% higher () than the median home in Marquette Park.The median Zestimate for this neighborhood is $161,845.",https://www.zillow.com/homedetails/6333-S-Richmond-St-Chicago-IL-60629/2126392232_zpid/,,"3,710",,
32,Single Family,1917,Gas,Central,2 spaces,$211,"$529,900","5036 N Kildare Ave, Chicago, IL 60630", No, 3, 3, 2,"Home values in Albany Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Albany Park will fall 1.1% () in the next year.This home is valued 68.4% higher () than the median home in Albany Park.The median Zestimate for this neighborhood is $314,708.",https://www.zillow.com/homedetails/5036-N-Kildare-Ave-Chicago-IL-60630/3639339_zpid/,"5,715 sqft","2,506",, 1
33,Condo,2019,"Forced air, Gas",Central,42 spaces,$663,"$825,000","1400 W Monroe St #4A, Chicago, IL 60607", Yes, 2, 2, 2,"Home values in Near West Side have risen 0.6% () over the past 12 months.Zillow predicts the home values in Near West Side will increase 1.8% () in the next year.This home is valued 96.1% higher () than the median home in Near West Side.The median Zestimate for this neighborhood is $420,759.",https://www.zillow.com/homedetails/1400-W-Monroe-St-4A-Chicago-IL-60607/2077623386_zpid/,,"1,244",$305/mo,
34,Condo,2006,"Forced air, Gas",Central,1 space,$308,"$300,000","1514 W Thomas St #4-A, Chicago, IL 60642", No, 1, 1, 1,"Home values in Noble Square have risen 0.6% () over the past 12 months.Zillow predicts the home values in Noble Square will decrease 0.4% () in the next year.This home is valued 38.4% lower () than the median home in Noble Square.The median Zestimate for this neighborhood is $486,715.",https://www.zillow.com/homedetails/1514-W-Thomas-St-4-A-Chicago-IL-60642/87707168_zpid/,,975,$279/mo,
35,Single Family,1966,"Forced air, Gas",Central,2 spaces,$140,"$148,800","8852 S Carpenter St, Chicago, IL 60620", No, 4, 3, 2,"Home values in Gresham have risen 0.6% () over the past 12 months.Zillow predicts the home values in Gresham will fall 3.6% () in the next year.This home is valued 18% higher () than the median home in Gresham.The median Zestimate for this neighborhood is $126,118.",https://www.zillow.com/homedetails/8852-S-Carpenter-St-Chicago-IL-60620/4121085_zpid/,"3,136 sqft","1,060",, 1
36,Condo,1920,"Forced air, Gas",Central,No Data,,"$239,900","6414 N Hoyne Ave APT 3W, Chicago, IL 60645", No, 3, 2, 2,"Home values in West Rogers Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Rogers Park will increase 1.7% () in the next year.This home is valued 21.1% lower () than the median home in West Rogers Park.The median Zestimate for this neighborhood is $303,895.",https://www.zillow.com/homedetails/6414-N-Hoyne-Ave-APT-3W-Chicago-IL-60645/87727349_zpid/,,,$243/mo,
37,Single Family,1959,"Forced air, Gas",Central,2 spaces,$147,"$155,000","(Undisclosed Address), Chicago, IL 60628", No, 4, 2, 2,"Home values in West Pullman have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Pullman will increase 11.3% () in the next year.This home is valued 61% higher () than the median home in West Pullman.The median Zestimate for this neighborhood is $96,277.",https://www.zillow.com/homedetails/Chicago-IL-60628/2077623460_zpid/,"4,125 sqft","1,052",,
38,Condo,1913,"Forced air, Gas",Central,1 space,,"$324,888","1040 W Adams St UNIT 435, Chicago, IL 60607", No, 1, 1, 1,"Home values in Near West Side have risen 0.6% () over the past 12 months.Zillow predicts the home values in Near West Side will rise 1.8% () in the next year.This home is valued 22.8% lower () than the median home in Near West Side.The median Zestimate for this neighborhood is $420,759.",https://www.zillow.com/homedetails/1040-W-Adams-St-UNIT-435-Chicago-IL-60607/89891720_zpid/,,,$420/mo,
39,Single Family,1890,Baseboard,No Data,No Data,$188,"$285,000","2539 S Lowe Ave, Chicago, IL 60616", No, 3, 2, 1,"Home values in Bridgeport have risen 0.6% () over the past 12 months.Zillow predicts the home values in Bridgeport will decrease 0.2% () in the next year.This home is valued 21.3% lower () than the median home in Bridgeport.The median Zestimate for this neighborhood is $362,289.",https://www.zillow.com/homedetails/2539-S-Lowe-Ave-Chicago-IL-60616/2077623515_zpid/,No Data,"1,512",, 1
40,Condo,2005,"Forced air, Gas",Central,2 spaces,$239,"$359,000","5321 N Lincoln Ave APT 4D, Chicago, IL 60625", No, 2, 2, 2,"Home values in Budlong Woods have risen 0.6% () over the past 12 months.Zillow predicts the home values in Budlong Woods will increase 1.9% () in the next year.This home is valued 13.1% higher () than the median home in Budlong Woods.The median Zestimate for this neighborhood is $317,495.",https://www.zillow.com/homedetails/5321-N-Lincoln-Ave-APT-4D-Chicago-IL-60625/80835949_zpid/,,"1,500",$359/mo,
41,Multiple Occupancy,1930,"None, Other",No Data,No Data,$16,"$36,000","5702 S Damen Ave, Chicago, IL 60636", No, 4, 4, 3,"Home values in West Englewood have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Englewood will decrease 4.3% () in the next year.This home is valued 42.3% lower () than the median home in West Englewood.The median Zestimate for this neighborhood is $62,424.",https://www.zillow.com/homedetails/5702-S-Damen-Ave-Chicago-IL-60636/2139331044_zpid/,,"2,218",, 1
42,Condo,1914,Forced air,Central,None,$185,"$240,000","4829 N Kimball Ave APT 1, Chicago, IL 60625", No, 2, 2, 2,"Home values in Albany Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Albany Park will decrease 1.1% () in the next year.This home is valued 23.7% lower () than the median home in Albany Park.The median Zestimate for this neighborhood is $314,708.",https://www.zillow.com/homedetails/4829-N-Kimball-Ave-APT-1-Chicago-IL-60625/87702432_zpid/,,"1,300",$265/month,
43,Single Family,1932,Gas,Central,2 spaces,$163,"$570,000","5817 N Navarre Ave, Chicago, IL 60631", No, 4, 3, 3,"Home values in Norwood Park East have risen 0.6% () over the past 12 months.Zillow predicts the home values in Norwood Park East will fall 1.2% () in the next year.This home is valued 70.3% higher () than the median home in Norwood Park East.The median Zestimate for this neighborhood is $334,700.",https://www.zillow.com/homedetails/5817-N-Navarre-Ave-Chicago-IL-60631/3629104_zpid/,"4,965 sqft","3,500",,
44,Condo,1899,Radiant,Wall,1 space,,"$390,000","801 W Newport Ave APT 2E, Chicago, IL 60657", No, 2, 2, 2,"Home values in Lake View have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View will decrease 0.3% () in the next year.This home is valued 27.9% lower () than the median home in Lake View.The median Zestimate for this neighborhood is $540,603.",https://www.zillow.com/homedetails/801-W-Newport-Ave-APT-2E-Chicago-IL-60657/3712517_zpid/,,,$343/mo,
45,Single Family,1890,"Forced air, Gas",Central,2 spaces,$95,"$354,900","2722 E 75th Pl, Chicago, IL 60649", No, 5, 4, 4,"Home values in South Shore have risen 0.6% () over the past 12 months.Zillow predicts the home values in South Shore will increase 4.3% () in the next year.This home is valued 226.9% higher () than the median home in South Shore.The median Zestimate for this neighborhood is $108,577.",https://www.zillow.com/homedetails/2722-E-75th-Pl-Chicago-IL-60649/4025863_zpid/,"3,750 sqft","3,750",,
46,Single Family,1960,Forced air,No Data,2 spaces,$167,"$169,900","1112 E 82nd Pl, Chicago, IL 60619", No, 3, 1, 1,"Home values in Avalon Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Avalon Park will fall 10% () in the next year.This home is valued 45.5% higher () than the median home in Avalon Park.The median Zestimate for this neighborhood is $116,783.",https://www.zillow.com/homedetails/1112-E-82nd-Pl-Chicago-IL-60619/4020287_zpid/,"4,000 sqft","1,017",,
47,Single Family,1887,Forced air,Central,2 spaces,$312,"$949,000","2643 N Sacramento Ave, Chicago, IL 60647", No, 4, 4, 3,"Home values in Logan Square have risen 0.6% () over the past 12 months.Zillow predicts the home values in Logan Square will increase 1.6% () in the next year.This home is valued 135.1% higher () than the median home in Logan Square.The median Zestimate for this neighborhood is $403,670.",https://www.zillow.com/homedetails/2643-N-Sacramento-Ave-Chicago-IL-60647/80838898_zpid/,"3,123 sqft","3,040",, 1
48,Condo,1989,"Forced air, Heat pump",Central,1 space,$389,"$544,900","1250 N Dearborn Pkwy #16C, Chicago, IL 60610", No, 2, 2, 2,"Home values in Gold Coast have risen 0.6% () over the past 12 months.Zillow predicts the home values in Gold Coast will fall 2% () in the next year.This home is valued 2.3% higher () than the median home in Gold Coast.The median Zestimate for this neighborhood is $532,399.",https://www.zillow.com/homedetails/1250-N-Dearborn-Pkwy-16C-Chicago-IL-60610/2077624450_zpid/,,"1,400","$1,208/mo",
49,Multiple Occupancy,1926,"Forced air, Gas",Central,2 spaces,,"$315,000","6510 S Maplewood Ave, Chicago, IL 60629", No, 6, 3, 3,"Home values in Marquette Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Marquette Park will increase 0.3% () in the next year.This home is valued 94.6% higher () than the median home in Marquette Park.The median Zestimate for this neighborhood is $161,845.",https://www.zillow.com/homedetails/6510-S-Maplewood-Ave-Chicago-IL-60629/2079898058_zpid/,,,,
50,Condo,1997,"Forced air, Gas",Central,1 space,$365,"$475,000","616 W Fulton St APT 504, Chicago, IL 60661", No, 2, 2, 2,"Home values in Fulton River District have risen 0.6% () over the past 12 months.Zillow predicts the home values in Fulton River District will decrease 0.3% () in the next year.This home is valued 2% higher () than the median home in Fulton River District.The median Zestimate for this neighborhood is $465,877.",https://www.zillow.com/homedetails/616-W-Fulton-St-APT-504-Chicago-IL-60661/3863062_zpid/,,"1,300",$447/mo,
51,Single Family,2009,"Forced air, Gas",Central,2 spaces,$160,"$319,900","5947 S Massasoit Ave, Chicago, IL 60638", No, 3, 3, 2,"Home values in Clearing have risen 0.6% () over the past 12 months.Zillow predicts the home values in Clearing will increase 3.9% () in the next year.This home is valued 38.8% higher () than the median home in Clearing.The median Zestimate for this neighborhood is $230,509.",https://www.zillow.com/homedetails/5947-S-Massasoit-Ave-Chicago-IL-60638/89909364_zpid/,"3,136 sqft","2,000",, 1
52,Townhouse,2005,Forced air,Central,2 spaces,$158,"$379,000","4906 W Eastwood Ave #4906, Chicago, IL 60630", No, 3, 4, 2,"Home values in Jefferson Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Jefferson Park will fall 2.4% () in the next year.This home is valued 25% higher () than the median home in Jefferson Park.The median Zestimate for this neighborhood is $303,165.",https://www.zillow.com/homedetails/4906-W-Eastwood-Ave-4906-Chicago-IL-60630/2077624614_zpid/,No Data,"2,400",$382/month, 2
53,Single Family,1914,Gas,No Data,1 space,$37,"$69,000","11140 S Esmond St, Chicago, IL 60643", No, 3, 2, 1,"Home values in Morgan Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Morgan Park will fall 1.9% () in the next year.This home is valued 55.3% lower () than the median home in Morgan Park.The median Zestimate for this neighborhood is $154,237.",https://www.zillow.com/homedetails/11140-S-Esmond-St-Chicago-IL-60643/121074420_zpid/,"6,952 sqft","1,858",None, 1
54,Multi Family,1890,Gas,No Data,3 spaces,No Data,"$110,000","2834 S Spaulding Ave, Chicago, IL 60623", No, 4, 4, 4,"Home values in Little Village have risen 0.6% () over the past 12 months.Zillow predicts the home values in Little Village will decrease 0.5% () in the next year.This home is valued 26.6% lower () than the median home in Little Village.The median Zestimate for this neighborhood is $149,958.",https://www.zillow.com/homedetails/2834-S-Spaulding-Ave-Chicago-IL-60623/2082528378_zpid/,,,,
55,Condo,2002,"Forced air, Gas",Central,1 space,$309,"$710,000","914 W Wrightwood Ave #1, Chicago, IL 60614", No, 3, 3, 2,"Home values in Wrightwood Neighbors have risen 0.6% () over the past 12 months.Zillow predicts the home values in Wrightwood Neighbors will fall 0.5% () in the next year.This home is valued 4.8% higher () than the median home in Wrightwood Neighbors.The median Zestimate for this neighborhood is $677,229.",https://www.zillow.com/homedetails/914-W-Wrightwood-Ave-1-Chicago-IL-60614/60264940_zpid/,,"2,300",, 1
56,Condo,2000,Forced air,Central,1 space,No Data,"$425,000","1955 N Leavitt St APT 3B, Chicago, IL 60647", No, 2, 2, 1,"Home values in Bucktown have risen 0.6% () over the past 12 months.Zillow predicts the home values in Bucktown will increase 0.5% () in the next year.This home is valued 29.3% lower () than the median home in Bucktown.The median Zestimate for this neighborhood is $601,188.",https://www.zillow.com/homedetails/1955-N-Leavitt-St-APT-3B-Chicago-IL-60647/58362593_zpid/,,,$290/month, 1
57,Multiple Occupancy,1925,Gas,No Data,2 spaces,$260,"$149,000","845 E 89th St, Chicago, IL 60619", No, 5, 2, 2,"Home values in Burnside have risen 0.6% () over the past 12 months.Zillow predicts the home values in Burnside will rise 2.4% () in the next year.This home is valued 20.3% higher () than the median home in Burnside.The median Zestimate for this neighborhood is $123,820.",https://www.zillow.com/homedetails/845-E-89th-St-Chicago-IL-60619/121073434_zpid/,,574,,
